"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.272987985300479,0.0226793008456267,-12.0368783481753,2.27398697529937e-33
"data$gamemodeHOSTAGE",0.0403477096169797,0.00759230718269991,5.31428835083457,1.07074951716594e-07
"data$gamemodeSECURE_AREA",0.0204058638205035,0.00545438011595547,3.74118843694283,0.00018315212938127
"data$operatorBOPE-CAVEIRA",0.173454150209228,0.0534423400674093,3.2456316469384,0.00117190365982875
"data$operatorG.E.O.-JACKAL",0.0694718557122588,0.0297755257667183,2.3331865323403,0.0196383573746865
"data$operatorG.E.O.-MIRA",0.14149602840224,0.0566524836316737,2.49761386141828,0.0125032304771778
"data$operatorGIGN-DOC",0.125924702462289,0.0541498351188361,2.3254863507144,0.0200459689288763
"data$operatorGIGN-MONTAGNE",-0.100682270565865,0.0532716019467817,-1.88998015615237,0.058760614090055
"data$operatorGIGN-RESERVE",0.00630357212835691,0.0763940935418947,0.0825138677102048,0.934238091101387
"data$operatorGIGN-ROOK",0.211583310184887,0.0532306452598738,3.974840228818,7.04265183717164e-05
"data$operatorGIGN-TWITCH",0.0567746847299071,0.0243480364378187,2.3317972631962,0.0197113590850209
"data$operatorGSG9-BANDIT",0.128936919362909,0.0533502370389657,2.41680124623883,0.0156575640453467
"data$operatorGSG9-BLITZ",-0.0536291247540536,0.0568656400496308,-0.943084870006695,0.345637494005985
"data$operatorGSG9-IQ",0.013641441564184,0.0298472599521848,0.457041671029018,0.647641093962379
"data$operatorGSG9-JAGER",0.0577031535340357,0.053684230193422,1.07486227009559,0.282436396303743
"data$operatorGSG9-RESERVE",-0.0889548571249624,0.0522644919004671,-1.70201323863186,0.0887528865901477
"data$operatorJTF2-BUCK",0.0445843632458142,0.0277223853602424,1.60824411992174,0.107781723791608
"data$operatorJTF2-FROST",0.22767271358345,0.0538853158162369,4.22513462405739,2.38797978989762e-05
"data$operatorNAVYSEAL-BLACKBEARD",0.0603257625735676,0.0264621380202072,2.27970100252298,0.022625427814837
"data$operatorNAVYSEAL-VALKYRIE",0.156243414884472,0.0534661202972995,2.92228824563438,0.00347469805341954
"data$operatorSAS-MUTE",0.130444523982259,0.0536779158743761,2.43013391741106,0.0150932448943971
"data$operatorSAS-RESERVE",-0.0890480326097709,0.0548480811931083,-1.62353961474517,0.104474102070949
"data$operatorSAS-SLEDGE",0.00216663586869868,0.0321288309157137,0.0674358763436678,0.94623470898921
"data$operatorSAS-SMOKE",0.109942876519313,0.0576966855019791,1.90553193069543,0.0567109608791108
"data$operatorSAS-THATCHER",-0.0122875179961119,0.0257255446274442,-0.477638789540083,0.632907317539614
"data$operatorSAT-ECHO",0.106778910972448,0.0597069571883611,1.78838306289142,0.0737142269825952
"data$operatorSAT-HIBANA",0.0228372781339162,0.0319762153518595,0.714195782165575,0.475106124648198
"data$operatorSPETSNAZ-FUZE",0.0109095358907586,0.0247750264698059,0.440344065991388,0.659687929593301
"data$operatorSPETSNAZ-GLAZ",0.118740778984937,0.0318831706516697,3.7242462577579,0.00019589963383599
"data$operatorSPETSNAZ-KAPKAN",0.165324220714404,0.0546667557820472,3.02421861969533,0.00249276233789275
"data$operatorSPETSNAZ-RESERVE",9.51230485113069e-05,0.0764756123289117,0.00124383506865162,0.999007563458442
"data$operatorSPETSNAZ-TACHANKA",0.100383508277152,0.0622092516345396,1.61364275633591,0.106604937066397
"data$operatorSWAT-ASH",0.0613570986685601,0.0234134656444543,2.62059020224941,0.00877777053337069
"data$operatorSWAT-CASTLE",0.0969744027365173,0.0551170896529614,1.7594253134029,0.0785052955410085
"data$operatorSWAT-PULSE",0.0541095187993652,0.054265121418043,0.997132548225976,0.318700176177725
"data$operatorSWAT-RESERVE",-0.134742761719316,0.0743966656696894,-1.81113979378531,0.0701192149906851
"data$operatorSWAT-THERMITE",0.00689697472619521,0.0245256781173112,0.2812144354666,0.778545933340279
"data$skillrankCopper",-0.08215177780092,0.0108572476564518,-7.56653807671984,3.83301869374573e-14
"data$skillrankDiamond",0.341698814336994,0.0279962308587676,12.2051720483647,2.91691283649951e-34
"data$skillrankGold",0.0825155975712936,0.0081857162103921,10.0804371236981,6.74254887109952e-24
"data$skillrankPlatinum",0.116406283823206,0.0103381815413909,11.2598413325546,2.07131311740799e-29
"data$skillrankSilver",0.0143000103096359,0.00895506180689894,1.59686338497622,0.110296163136878
"data$skillrankUnranked",-0.16865840739884,0.0105121129983567,-16.0441965782907,6.27659217128467e-58
"data$roleDefender",0.432265147444317,0.0483412638040765,8.94194966015484,3.82363772943441e-19
"data$primaryweapontypeLight_Machine_Guns",-0.0519256720770302,0.0292041133947579,-1.77802597103841,0.0753995895322959
"data$primaryweapontypeMarksman_Rifles",-0.086810733904519,0.0205480417439062,-4.22476920119475,2.39185781025355e-05
"data$primaryweapontypeShield",0.0472366756213612,0.0461731463524362,1.02303350221809,0.306292005810935
"data$primaryweapontypeShotguns",-0.138744558269217,0.0218674188310078,-6.34480728344941,2.22704051123695e-10
"data$primaryweapontypeSubmachine_Guns",-0.0855654129833996,0.0217701170901527,-3.93040665004523,8.48023138015061e-05
"data$secondaryweapontypeShotguns",-0.0182296888558066,0.0216330605689675,-0.842677290052847,0.399408951610207
"data$secondaryweapontypeSubmachine_Guns",0.0399350117722742,0.0229720147220684,1.73842008441297,0.0821368202747085
