"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.351757126587137,0.0221415377253973,-15.8867523543162,7.82794128219684e-57
"data$gamemodeHOSTAGE",0.0419876841904863,0.0077396503723364,5.42501045532517,5.79511477997182e-08
"data$gamemodeSECURE_AREA",0.0236649520900724,0.00552067297499316,4.28660639694959,1.81423328625245e-05
"data$operatorBOPE-CAVEIRA",0.168776044627581,0.0518695321495816,3.25385708397879,0.0011384954026865
"data$operatorG.E.O.-JACKAL",0.0513836183708181,0.0292840945486196,1.7546596253986,0.0793175459642285
"data$operatorG.E.O.-MIRA",0.121504602081826,0.0550481906012209,2.20724061508265,0.0272972536589673
"data$operatorGIGN-DOC",0.108366369161371,0.0525516944008233,2.06209086875177,0.0391990855435026
"data$operatorGIGN-MONTAGNE",0.0111081990851303,0.0524662970582432,0.211720660842502,0.832324968462272
"data$operatorGIGN-RESERVE",-0.192292103891976,0.0734610566932948,-2.61760601531787,0.00885489773082172
"data$operatorGIGN-ROOK",0.188376322950485,0.0516561297512897,3.64673706407092,0.000265591447869443
"data$operatorGIGN-TWITCH",0.0846260165612632,0.0237542574484497,3.56256206892235,0.000367253039959098
"data$operatorGSG9-BANDIT",0.12536700374411,0.051896271168699,2.41572276621917,0.0157040130845297
"data$operatorGSG9-BLITZ",0.0108672871896087,0.0553510659318949,0.196333837599082,0.844348878177016
"data$operatorGSG9-IQ",0.0225731739908083,0.0285644212527314,0.790254904557177,0.429378917128585
"data$operatorGSG9-JAGER",0.155515376174009,0.0520194905509889,2.98955976936327,0.00279379782382934
"data$operatorGSG9-RESERVE",-0.0632643568408867,0.0505350854146571,-1.25188977760266,0.210610030159881
"data$operatorJTF2-BUCK",0.0278511418772155,0.026465430044411,1.05235931668139,0.292634726699681
"data$operatorJTF2-FROST",0.227581571493036,0.052187659714594,4.36083113781387,1.29569333566076e-05
"data$operatorNAVYSEAL-BLACKBEARD",0.0697904477841795,0.0253601962254289,2.75196797232192,0.00592383141115287
"data$operatorNAVYSEAL-VALKYRIE",0.157146361649627,0.0520152265359213,3.02116076609035,0.00251807624265737
"data$operatorSAS-MUTE",0.0897697266916089,0.0521939495863963,1.71992591867403,0.0854459084964408
"data$operatorSAS-RESERVE",-0.0531675651667033,0.0534280871069522,-0.99512387670314,0.319676019249968
"data$operatorSAS-SLEDGE",-0.0134954067557345,0.0315825394221823,-0.427305941910923,0.669156505511438
"data$operatorSAS-SMOKE",0.0571703253313154,0.0563727242218753,1.01414870614201,0.31051180002275
"data$operatorSAS-THATCHER",0.0228135404849399,0.0266730933110871,0.85530164120324,0.392384179206712
"data$operatorSAT-ECHO",0.110877132486936,0.0588895498166436,1.88279809969951,0.0597277346967415
"data$operatorSAT-HIBANA",0.00838439256472195,0.031982540472578,0.262155302262833,0.79320171214207
"data$operatorSPETSNAZ-FUZE",0.00368310208635437,0.023883148602263,0.154213422513537,0.877441459155925
"data$operatorSPETSNAZ-GLAZ",0.0936964051266836,0.0318098754579081,2.94551310804929,0.00322419486007169
"data$operatorSPETSNAZ-KAPKAN",0.053610528591031,0.0532530006790403,1.00671376086665,0.314072347348768
"data$operatorSPETSNAZ-RESERVE",-0.11737128621911,0.0723178080514822,-1.62299286139252,0.104590930894788
"data$operatorSPETSNAZ-TACHANKA",-0.0614640654130741,0.0623352058111287,-0.986024905401065,0.32412089152455
"data$operatorSWAT-ASH",0.0627567851682447,0.0228618167971546,2.74504803030594,0.00605020421225148
"data$operatorSWAT-CASTLE",0.0669075624813498,0.0535855442966133,1.24861216508308,0.211806960728897
"data$operatorSWAT-PULSE",0.10227643937869,0.0524388755306828,1.95039345034861,0.0511292419137577
"data$operatorSWAT-RESERVE",-0.0987690933413483,0.0747660948029137,-1.32104122332064,0.186487619357449
"data$operatorSWAT-THERMITE",-0.0162327713229685,0.0254996750596115,-0.636587379447799,0.524393647991202
"data$skillrankCopper",-0.0791751313437711,0.010965633660269,-7.22029695653985,5.18741700341368e-13
"data$skillrankDiamond",0.434425643295544,0.0301083271803191,14.4287539023262,3.41189701396422e-47
"data$skillrankGold",0.0686403835378466,0.00826729876101467,8.302637357383,1.0182532018803e-16
"data$skillrankPlatinum",0.114453855946868,0.0104922383111271,10.90843083744,1.05054006824786e-27
"data$skillrankSilver",0.0296785278792031,0.00903313713260917,3.28551725092992,0.00101795308752512
"data$skillrankUnranked",-0.186875645732336,0.0105738145280191,-17.6734370777113,6.71764066050874e-70
"data$roleDefender",0.506323454916198,0.0467099381558363,10.8397372145297,2.23111001011212e-27
"data$primaryweapontypeLight_Machine_Guns",0.0189208069389368,0.027692235926008,0.683253132375878,0.494446903893069
"data$primaryweapontypeMarksman_Rifles",-0.0687193599587914,0.020428446876879,-3.36390526274262,0.000768479177252273
"data$primaryweapontypeShield",-0.028967120168668,0.0450725539901589,-0.642677585454612,0.520433328165351
"data$primaryweapontypeShotguns",-0.0462307461321664,0.0208445169493864,-2.21788522345812,0.0265626592742373
"data$primaryweapontypeSubmachine_Guns",0.00994652971249913,0.0206817465056723,0.480932773727362,0.630564278784598
"data$secondaryweapontypeShotguns",0.00775314039824232,0.0214782162105344,0.360976922955066,0.718116698424873
"data$secondaryweapontypeSubmachine_Guns",0.0587373579582521,0.0231499228516669,2.53725933924755,0.0111724155034351
