"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.213698251614457,0.0232400406663398,-9.1952615179358,3.74083533797346e-20
"data$gamemodeHOSTAGE",0.039989229911075,0.00766280679757533,5.21861387967245,1.80267127112161e-07
"data$gamemodeSECURE_AREA",0.0185533674753237,0.00542930962687722,3.41726089510115,0.000632546303776167
"data$operatorBOPE-CAVEIRA",0.0925981418969068,0.052727699400224,1.75615744571085,0.079061528545599
"data$operatorG.E.O.-JACKAL",0.0517585286181138,0.0304484371203938,1.69987472307558,0.0891544923847782
"data$operatorG.E.O.-MIRA",0.0342698538845615,0.0555006262480284,0.617467877414786,0.536926162701586
"data$operatorGIGN-DOC",0.024697942443089,0.0533587690509373,0.462865671048592,0.643460655411292
"data$operatorGIGN-MONTAGNE",-0.0647435054448925,0.0508683296166684,-1.27276649209408,0.203100914806903
"data$operatorGIGN-RESERVE",-0.14500765789271,0.0766602013311638,-1.89156374983014,0.0585491296026442
"data$operatorGIGN-ROOK",0.122039460353763,0.0523537247261168,2.33105592758107,0.0197504108162417
"data$operatorGIGN-TWITCH",0.0826200407309072,0.0249284231982763,3.3142906823172,0.000918759399842039
"data$operatorGSG9-BANDIT",0.045763736133165,0.0523843519923138,0.873614627129104,0.382328157752399
"data$operatorGSG9-BLITZ",0.0136079923596899,0.054273281001921,0.250730969428737,0.802022115187209
"data$operatorGSG9-IQ",0.0159722964855049,0.0305592164754421,0.522667081413573,0.60120594994142
"data$operatorGSG9-JAGER",-0.00766030881703266,0.0527184162132699,-0.145306125776678,0.884469178387896
"data$operatorGSG9-RESERVE",-0.149209748017714,0.0507513749749726,-2.94001390290006,0.0032819752022448
"data$operatorJTF2-BUCK",0.0287616775351929,0.0276658915166312,1.0396078332738,0.298522136129157
"data$operatorJTF2-FROST",0.125618068949174,0.0530236912045138,2.36909325049933,0.0178317569228213
"data$operatorNAVYSEAL-BLACKBEARD",0.0844970774203251,0.0269497331805332,3.13535858979712,0.00171644158619297
"data$operatorNAVYSEAL-VALKYRIE",0.0585137437679007,0.0525641732182916,1.11318679977903,0.265628210718606
"data$operatorSAS-MUTE",0.0541621654422525,0.0527000719810314,1.02774367104749,0.304070419332994
"data$operatorSAS-RESERVE",-0.104051505836133,0.0540712452157563,-1.92434084735694,0.0543118737068222
"data$operatorSAS-SLEDGE",-0.0192422815762814,0.0323072687215468,-0.595602238682842,0.551440980773627
"data$operatorSAS-SMOKE",-0.0216101724967912,0.0567171133494355,-0.381016790534639,0.703190789574518
"data$operatorSAS-THATCHER",0.0314213620189151,0.0252348261612383,1.24515864774133,0.213073439648481
"data$operatorSAT-ECHO",-0.013551937246784,0.0593544081099716,-0.228322338278144,0.819395659720018
"data$operatorSAT-HIBANA",-0.0211449985004849,0.0323635583567932,-0.653358270044694,0.513525334768053
"data$operatorSPETSNAZ-FUZE",0.0215320389765199,0.0250195984689412,0.860606895959955,0.389454586611738
"data$operatorSPETSNAZ-GLAZ",0.117266071351222,0.0333018197451018,3.52131121508669,0.000429418312345267
"data$operatorSPETSNAZ-KAPKAN",0.0289535538927989,0.0538593918738149,0.5375766952704,0.590869322910792
"data$operatorSPETSNAZ-RESERVE",-0.146550849705805,0.0723028863482177,-2.02690178923151,0.0426724575201578
"data$operatorSPETSNAZ-TACHANKA",-0.100252466858101,0.0620043784331268,-1.61686108935397,0.105908269210811
"data$operatorSWAT-ASH",0.0659246540622421,0.0240760834980698,2.73818015573536,0.00617802222740527
"data$operatorSWAT-CASTLE",0.0263520409645386,0.0545072834007706,0.483459077767321,0.628769809403652
"data$operatorSWAT-PULSE",0.0301719092351276,0.0530598025678758,0.568639681546699,0.569600689719553
"data$operatorSWAT-RESERVE",-0.228258125251486,0.0750217691943061,-3.04255854937649,0.00234576178576024
"data$operatorSWAT-THERMITE",0.0358120244625642,0.0245966704068825,1.45597041673346,0.145400797801746
"data$skillrankCopper",-0.0679004791247686,0.0106018860152671,-6.40456603919238,1.5079767327318e-10
"data$skillrankDiamond",0.379928805389386,0.0288563407717097,13.1662156471988,1.37309611814641e-39
"data$skillrankGold",0.069305146519338,0.00814968494719384,8.50402769780709,1.8312381801581e-17
"data$skillrankPlatinum",0.117082214984791,0.0102804966996355,11.3887702516302,4.75655229167978e-30
"data$skillrankSilver",0.0233537081445757,0.00892895175636619,2.61550390032346,0.00890959036584196
"data$skillrankUnranked",-0.170548352573405,0.0105365497214334,-16.1863567374885,6.29469451655265e-59
"data$roleDefender",0.360797771842575,0.0468816956158991,7.69591984894457,1.40479853306441e-14
"data$primaryweapontypeLight_Machine_Guns",-0.00210872408718843,0.0282889271514299,-0.0745423845839214,0.940578816935712
"data$primaryweapontypeMarksman_Rifles",-0.0823683982819543,0.021054137627651,-3.91221904875257,9.14519021483623e-05
"data$primaryweapontypeShield",-0.020160600945696,0.0426500951255564,-0.472697678313397,0.636428883215756
"data$primaryweapontypeShotguns",-0.113385691043839,0.0213629870636137,-5.30757663739648,1.11092302053273e-07
"data$primaryweapontypeSubmachine_Guns",-0.0447855944018901,0.0214955618208654,-2.08348098901129,0.0372074028017957
"data$secondaryweapontypeShotguns",0.01834495321199,0.0214343689694814,0.855866260308849,0.392071759327482
"data$secondaryweapontypeSubmachine_Guns",0.0831872740383841,0.0227638220335733,3.65436322229611,0.000257821061943661
