"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.00679299687321009,0.023702462299741,0.286594565041637,0.774422776413445
"data$gamemodeHOSTAGE",0.0394674493928759,0.00738756693392087,5.34241513422458,9.17163140094313e-08
"data$gamemodeSECURE_AREA",0.0219457823589266,0.00536733734583767,4.08876523774781,4.33675476845081e-05
"data$operatorBOPE-CAVEIRA",0.0778332221565532,0.0539285951169476,1.44326441265097,0.148946000637335
"data$operatorG.E.O.-JACKAL",0.0224531014436857,0.0313724598899756,0.715694641810987,0.474179920071788
"data$operatorG.E.O.-MIRA",0.0329261976061561,0.0567476262236642,0.580221584536088,0.561765199677233
"data$operatorGIGN-DOC",0.0361656421549666,0.0545499507730649,0.662982122668095,0.507342003778162
"data$operatorGIGN-MONTAGNE",-0.0961868615979912,0.0511670295806888,-1.87986018313429,0.0601271356666074
"data$operatorGIGN-RESERVE",-0.104427609743894,0.0757312137481851,-1.37892428465662,0.167918099793894
"data$operatorGIGN-ROOK",0.118964307591732,0.0535497052451315,2.22156792548448,0.026312519504168
"data$operatorGIGN-TWITCH",0.0516335195359154,0.0255309771046297,2.02238713090822,0.0431363735063497
"data$operatorGSG9-BANDIT",0.0412924951878666,0.0534382566223024,0.772714115277354,0.439691591104458
"data$operatorGSG9-BLITZ",-0.0319626819493726,0.0549853109655285,-0.581294920190789,0.561041703650496
"data$operatorGSG9-IQ",-0.0668521286923509,0.0315270910486282,-2.12046612829698,0.0339667550817668
"data$operatorGSG9-JAGER",-0.00147113928081377,0.0539508010939878,-0.0272681637896516,0.978245849037348
"data$operatorGSG9-RESERVE",-0.107846312784136,0.0520511271422731,-2.07193040199411,0.0382719322477056
"data$operatorJTF2-BUCK",-0.015099775774162,0.0283939658892103,-0.53179523540598,0.594867823085674
"data$operatorJTF2-FROST",0.143392569501231,0.0541757354857273,2.64680429745173,0.00812563622458546
"data$operatorNAVYSEAL-BLACKBEARD",0.0140614548313775,0.0278718585330843,0.504503666832491,0.613907486078576
"data$operatorNAVYSEAL-VALKYRIE",0.0834442870702701,0.0537722772833156,1.55180868815763,0.12070800647259
"data$operatorSAS-MUTE",0.0160265041710914,0.0537503849230814,0.298165384192612,0.765576940241658
"data$operatorSAS-RESERVE",-0.279137980465025,0.0556193203384457,-5.01872332790944,5.2015999492392e-07
"data$operatorSAS-SLEDGE",-0.037416070178701,0.0332710466319576,-1.12458350326623,0.260765567485236
"data$operatorSAS-SMOKE",-0.00196525972025831,0.0580202548363111,-0.033871959470064,0.972979253453957
"data$operatorSAS-THATCHER",0.0539554520873607,0.0249255776039189,2.16466205697386,0.0304135748189626
"data$operatorSAT-ECHO",0.0161907264620711,0.0604297355896523,0.26792648195607,0.788755909020788
"data$operatorSAT-HIBANA",0.00239735006635493,0.0329732124976452,0.0727059902496956,0.942040081638064
"data$operatorSPETSNAZ-FUZE",-0.00731588529663117,0.0254661393006623,-0.287278931849749,0.773898753021891
"data$operatorSPETSNAZ-GLAZ",0.104704512907804,0.033069962524116,3.16615154406204,0.00154470295286736
"data$operatorSPETSNAZ-KAPKAN",-0.00560297532537255,0.0551614541084933,-0.101574104887671,0.919094734423636
"data$operatorSPETSNAZ-RESERVE",-0.179978976269323,0.0737304586312091,-2.44103969527107,0.0146450448995378
"data$operatorSPETSNAZ-TACHANKA",-0.0342063438232503,0.0634907558788435,-0.538761010949762,0.590051769569769
"data$operatorSWAT-ASH",0.0285146615741865,0.0246947419273999,1.15468554634087,0.248219220495512
"data$operatorSWAT-CASTLE",0.0158144615563381,0.0557308074358088,0.283765161209144,0.776590354799568
"data$operatorSWAT-PULSE",0.030135331190417,0.054520190761343,0.552737082713661,0.580443456877732
"data$operatorSWAT-RESERVE",-0.117719702353278,0.0773219753494231,-1.52246113503044,0.127893576524342
"data$operatorSWAT-THERMITE",0.0264991121125381,0.0247219516636285,1.07188592846916,0.283771271269975
"data$skillrankCopper",-0.0705332900028066,0.0105963899756789,-6.65635090485499,2.80709608162839e-11
"data$skillrankDiamond",0.442042236658161,0.0279525644700878,15.8140136705951,2.49079942881887e-56
"data$skillrankGold",0.0818198160316018,0.0080298603354604,10.1894444751772,2.21023574094074e-24
"data$skillrankPlatinum",0.115513394160355,0.0101579856741443,11.3716831137474,5.78609564310836e-30
"data$skillrankSilver",0.0297548196174032,0.00880682043140721,3.37861091288866,0.000728530380262091
"data$skillrankUnranked",-0.152886024010242,0.0104253116832051,-14.6648875981844,1.08196183217155e-48
"data$roleDefender",-0.061292088086071,0.048113064632101,-1.27391777170596,0.202692559396975
"data$primaryweapontypeLight_Machine_Guns",-0.0102181396075969,0.0288395690912304,-0.354309718542362,0.723106785218937
"data$primaryweapontypeMarksman_Rifles",-0.109527682023459,0.0210943496876086,-5.19227582956959,2.07738925288554e-07
"data$primaryweapontypeShield",-0.000213130382462185,0.0426375575115569,-0.00499865364952992,0.996011668037348
"data$primaryweapontypeShotguns",-0.11715166509867,0.0223405981639436,-5.24389115452358,1.57224972915003e-07
"data$primaryweapontypeSubmachine_Guns",-0.0610137857941326,0.0225876930239662,-2.70119598886859,0.00690906117083203
"data$secondaryweapontypeShotguns",0.0128099010233878,0.0219376662084712,0.583922688113529,0.559272328016455
"data$secondaryweapontypeSubmachine_Guns",0.045631148598169,0.0233151766113399,1.95714359615768,0.0503305880344024
