"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.0739958464835726,0.0238130035990974,-3.10737140636796,0.00188759087061373
"data$gamemodeHOSTAGE",0.0336956535003952,0.00750614044572483,4.48907847435585,7.15319443201283e-06
"data$gamemodeSECURE_AREA",0.0191523637382479,0.00533213103005111,3.59187792466238,0.000328303640153349
"data$operatorBOPE-CAVEIRA",-0.00800514343523793,0.0536091117559996,-0.149324306503587,0.88129773647221
"data$operatorG.E.O.-JACKAL",0.0133453177854647,0.0310950027169,0.429178858962169,0.667793066916863
"data$operatorG.E.O.-MIRA",-0.0212443754602303,0.0565901389661656,-0.375407727359213,0.707357258852574
"data$operatorGIGN-DOC",-0.0488404460794788,0.0541593342567564,-0.901791847143801,0.36716745149174
"data$operatorGIGN-MONTAGNE",-0.0514287603411152,0.0493992831539906,-1.04108313031179,0.297836968224667
"data$operatorGIGN-RESERVE",-0.252974459324573,0.0757280985064368,-3.34056267506929,0.000836088070430612
"data$operatorGIGN-ROOK",0.00955999466722537,0.0532368728901468,0.179574684766933,0.857486480208036
"data$operatorGIGN-TWITCH",0.0207303186386531,0.02571517694923,0.806151117668039,0.420155720208467
"data$operatorGSG9-BANDIT",-0.0584782378101574,0.0532529930096286,-1.09812114784955,0.272151591996528
"data$operatorGSG9-BLITZ",0.0109878993958195,0.0532434666880839,0.206370848468412,0.83650124025617
"data$operatorGSG9-IQ",-0.0381921497532312,0.0315262431340656,-1.21143992929378,0.225726844025649
"data$operatorGSG9-JAGER",-0.0647985762968095,0.0538378627874698,-1.2035874557764,0.22874907032607
"data$operatorGSG9-RESERVE",-0.208084326817041,0.0526909436347299,-3.94914785090104,7.84298995632655e-05
"data$operatorJTF2-BUCK",-0.0204251537672022,0.0281978964968682,-0.724350263838677,0.468850725934472
"data$operatorJTF2-FROST",0.00357851025528091,0.0539496340430403,0.0663305751513721,0.947114641368461
"data$operatorNAVYSEAL-BLACKBEARD",0.00669753466510809,0.0278188814611494,0.24075499492895,0.809745012526777
"data$operatorNAVYSEAL-VALKYRIE",-0.015067320675184,0.0534619075717765,-0.281832829383334,0.778071696663586
"data$operatorSAS-MUTE",-0.0663286960566278,0.0534858972948027,-1.24011560825162,0.214932636662653
"data$operatorSAS-RESERVE",-0.204646693121975,0.0543104307277368,-3.76809188179501,0.000164500157939416
"data$operatorSAS-SLEDGE",-0.0444858292823719,0.0325721867631436,-1.36576121234541,0.17201392442289
"data$operatorSAS-SMOKE",-0.102729633357833,0.0574300369772582,-1.78877881270585,0.0736504444093745
"data$operatorSAS-THATCHER",-0.0147312520446318,0.0257794453771539,-0.571434017649071,0.567705475321948
"data$operatorSAT-ECHO",-0.121761671493448,0.05981602550058,-2.03560284178806,0.0417902522121303
"data$operatorSAT-HIBANA",-0.0341263024776445,0.032450503177382,-1.0516417046325,0.292963966122018
"data$operatorSPETSNAZ-FUZE",0.00263026257919001,0.0251203590846036,0.104706408468584,0.916608776695868
"data$operatorSPETSNAZ-GLAZ",0.0903198435345844,0.0335576929890053,2.69147952346356,0.00711358650571642
"data$operatorSPETSNAZ-KAPKAN",-0.0902758944127744,0.0548541993495371,-1.64574263198203,0.099816757826521
"data$operatorSPETSNAZ-RESERVE",-0.215148363111519,0.0739455674144425,-2.90955050632957,0.00361948899620532
"data$operatorSPETSNAZ-TACHANKA",-0.16845801114149,0.0621607209269956,-2.71003953347541,0.00672751889390117
"data$operatorSWAT-ASH",0.023508278856532,0.024689038424856,0.952174744596968,0.341008367077298
"data$operatorSWAT-CASTLE",-0.120348176334127,0.0552623331133634,-2.177761407345,0.029423804488134
"data$operatorSWAT-PULSE",-0.0627629330452327,0.0539522878009648,-1.16330438621567,0.244706026709776
"data$operatorSWAT-RESERVE",-0.249899437058417,0.0765375759718279,-3.26505554801475,0.00109442611547401
"data$operatorSWAT-THERMITE",-0.015303299781478,0.0249899963480945,-0.612377031525454,0.540288334610395
"data$skillrankCopper",-0.0729289950146472,0.0106096960192609,-6.87380626949644,6.25110891658608e-12
"data$skillrankDiamond",0.378398964238983,0.0283594280228837,13.3429688332799,1.30170383635035e-40
"data$skillrankGold",0.085135467142046,0.00794928224853302,10.7098307092766,9.15290334094616e-27
"data$skillrankPlatinum",0.122174961379248,0.0100757243362065,12.1256752668609,7.72210536416759e-34
"data$skillrankSilver",0.0380670052021254,0.00874612635586829,4.35244171570698,1.34629669693212e-05
"data$skillrankUnranked",-0.153209483680974,0.0102808164454904,-14.9024627074417,3.17651989915121e-50
"data$roleDefender",0.174036699401532,0.0479576079128874,3.62896956240312,0.000284554785438509
"data$primaryweapontypeLight_Machine_Guns",-0.00241796217878461,0.0264936196940288,-0.0912658295359158,0.927281368722078
"data$primaryweapontypeMarksman_Rifles",-0.0665043199611292,0.0212398340060091,-3.13111298055879,0.00174145150839476
"data$primaryweapontypeShield",-0.0306473849914508,0.0404959968265515,-0.756800360359485,0.449169476906675
"data$primaryweapontypeShotguns",-0.0698431209345142,0.0216560824493265,-3.22510412942606,0.00125926857396531
"data$primaryweapontypeSubmachine_Guns",-0.0227953425080971,0.0217927697716687,-1.04600483311359,0.295558800968205
"data$secondaryweapontypeShotguns",-0.0172422059887387,0.0218485359310835,-0.789169857565081,0.430012736735466
"data$secondaryweapontypeSubmachine_Guns",0.0470253098373845,0.0224881558760543,2.09111454476611,0.0365177971932599
