"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.0584713625957842,0.0227184705208721,-2.57373675494858,0.0100606787696752
"data$gamemodeHOSTAGE",0.0299893808970641,0.00795294957539417,3.77085012456875,0.000162692366154055
"data$gamemodeSECURE_AREA",0.0162558144302542,0.00566918090626902,2.86740089953355,0.00413858394502237
"data$operatorBOPE-CAVEIRA",0.0935830864477795,0.0541273130805323,1.72894387549856,0.0838191404218045
"data$operatorG.E.O.-JACKAL",-0.00859597038442037,0.0304691642733775,-0.282120320311218,0.777851252474008
"data$operatorG.E.O.-MIRA",-0.00243918759487255,0.057494489774662,-0.0424247193849784,0.966160122866278
"data$operatorGIGN-DOC",-0.00403856292815187,0.0547705988871712,-0.0737359643715311,0.941220481238309
"data$operatorGIGN-MONTAGNE",-0.140725023426807,0.0524600242495336,-2.68251922182552,0.00730699525297587
"data$operatorGIGN-RESERVE",-0.118926707466861,0.0771591488888988,-1.54131699454207,0.123239654740146
"data$operatorGIGN-ROOK",0.106835957745543,0.0538486150484782,1.98400567311456,0.0472552075022111
"data$operatorGIGN-TWITCH",0.0372345075953992,0.0245590521279967,1.51612152624379,0.129488626112399
"data$operatorGSG9-BANDIT",0.0191102704111161,0.0540395187480207,0.353635096201075,0.723612368835362
"data$operatorGSG9-BLITZ",-0.0705411817756161,0.0557483752038065,-1.2653495553499,0.2057460496573
"data$operatorGSG9-IQ",-0.0518716763770352,0.0300575951292999,-1.72574273337227,0.0843937064304417
"data$operatorGSG9-JAGER",-0.0202257453001509,0.0542057679161168,-0.373129024413974,0.709052417697288
"data$operatorGSG9-RESERVE",-0.128265695170122,0.0521280283748394,-2.4605898049279,0.0138708852800828
"data$operatorJTF2-BUCK",-0.0307986255350266,0.0275736092890723,-1.11696025036637,0.264011321340248
"data$operatorJTF2-FROST",0.102818946328745,0.0544006912598013,1.89003014387652,0.0587539286878605
"data$operatorNAVYSEAL-BLACKBEARD",0.0599037739042778,0.0262962835861424,2.27803193968618,0.0227246746974702
"data$operatorNAVYSEAL-VALKYRIE",0.0500760720498548,0.0542415210379622,0.923205527640124,0.3559001087809
"data$operatorSAS-MUTE",0.0441581061807924,0.054295649810596,0.813289947442065,0.416051839208082
"data$operatorSAS-RESERVE",-0.144861501918015,0.0557795856217639,-2.59703438638479,0.00940325100244597
"data$operatorSAS-SLEDGE",-0.0524383281702114,0.0329755944176194,-1.59021631289208,0.111786054677591
"data$operatorSAS-SMOKE",-0.0317883063160223,0.0587606267837954,-0.54097970113533,0.588521574052014
"data$operatorSAS-THATCHER",-0.0460038491457469,0.0268956420140915,-1.71045737155648,0.0871813297606965
"data$operatorSAT-ECHO",0.0178369375502338,0.0610721887414355,0.292063178311015,0.770238319288656
"data$operatorSAT-HIBANA",-0.0703268517439872,0.0332897704992182,-2.11256643375294,0.0346378942257779
"data$operatorSPETSNAZ-FUZE",0.00374057270247342,0.0245145052828099,0.152586097876362,0.878724688897954
"data$operatorSPETSNAZ-GLAZ",0.0648536846546583,0.0327083377221479,1.98278754504677,0.0473911658215073
"data$operatorSPETSNAZ-KAPKAN",-0.0123326979576762,0.0554635420707043,-0.222356840137519,0.824036107367171
"data$operatorSPETSNAZ-RESERVE",-0.206033522728256,0.0775869368485418,-2.65551819799841,0.00791866608415655
"data$operatorSPETSNAZ-TACHANKA",-0.0255306033978479,0.0647050594224746,-0.394568888827574,0.693161077517863
"data$operatorSWAT-ASH",0.0110949390145646,0.0235822064957827,0.470479258018061,0.6380126499363
"data$operatorSWAT-CASTLE",-0.0474479106660777,0.0558620873340834,-0.849375899298486,0.395672159398261
"data$operatorSWAT-PULSE",-0.018888981810509,0.0546728379887997,-0.345491152560594,0.729725160513676
"data$operatorSWAT-RESERVE",-0.133330020034736,0.0797680005911721,-1.67147250835684,0.0946283844648148
"data$operatorSWAT-THERMITE",-0.0417168876483263,0.0256935073123383,-1.62363538543815,0.104453648710745
"data$skillrankCopper",-0.0823837851228208,0.0111271528551277,-7.4038512991988,1.32290556288064e-13
"data$skillrankDiamond",0.358419443293372,0.0301890987504609,11.8724790778294,1.64519030742649e-32
"data$skillrankGold",0.0541580973528535,0.00843870884395787,6.41781798072471,1.38241398920856e-10
"data$skillrankPlatinum",0.0876928270156318,0.0106422195243764,8.24008815217244,1.72083820699335e-16
"data$skillrankSilver",0.00200298741785725,0.00927611139352716,0.215929642593008,0.829042590661033
"data$skillrankUnranked",-0.187018711699858,0.011548225050062,-16.1945849590845,5.50680140983485e-59
"data$roleDefender",0.157510610438211,0.0488443941630428,3.2247428417771,0.00126085870656229
"data$primaryweapontypeLight_Machine_Guns",0.0035099056506629,0.0282397372338,0.124289600204279,0.901085981287914
"data$primaryweapontypeMarksman_Rifles",-0.0759138807941831,0.0214645447132536,-3.53671050601455,0.000405143489082556
"data$primaryweapontypeShield",0.0204155361662696,0.044642575708092,0.457310893075755,0.64744760120926
"data$primaryweapontypeShotguns",-0.136741305628006,0.0218642555354149,-6.25410297672919,3.99807155576828e-10
"data$primaryweapontypeSubmachine_Guns",-0.0577129782848128,0.0217617980431687,-2.65203170116403,0.00800090295114203
"data$secondaryweapontypeShotguns",0.0154692972839853,0.0225336443520728,0.686497800457311,0.492399250869022
"data$secondaryweapontypeSubmachine_Guns",0.075916084654749,0.0243685085367502,3.11533570223471,0.00183735672765378
