"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.217660795645817,0.0246503809932312,-8.82991608549926,1.0475428474535e-18
"data$gamemodeHOSTAGE",0.0371816174674178,0.00752852857701064,4.93876287870605,7.86197416120322e-07
"data$gamemodeSECURE_AREA",0.0224700777026297,0.00541635782135306,4.14855857824705,3.34575240413393e-05
"data$operatorBOPE-CAVEIRA",0.18191486044507,0.0539547054236472,3.37162178936373,0.000747269907383132
"data$operatorG.E.O.-JACKAL",0.0392581013839221,0.0315489763868946,1.24435420352433,0.213369230022604
"data$operatorG.E.O.-MIRA",0.123754054372206,0.0568030496078267,2.17865159048001,0.0293575605337404
"data$operatorGIGN-DOC",0.086290132474295,0.054614022420342,1.57999957978108,0.114106962709707
"data$operatorGIGN-MONTAGNE",0.00466392545015732,0.0514932932167296,0.0905734544987709,0.927831525455174
"data$operatorGIGN-RESERVE",-0.0627100380502947,0.0761355115063182,-0.823663449678021,0.4101308128383
"data$operatorGIGN-ROOK",0.180302231688396,0.0536943514980151,3.35793666667269,0.000785266031230245
"data$operatorGIGN-TWITCH",0.0615925961612524,0.0263400914822847,2.33835923473072,0.0193686205742663
"data$operatorGSG9-BANDIT",0.0722296062789133,0.0536530878943055,1.34623390961584,0.178227092395243
"data$operatorGSG9-BLITZ",0.0340878159069731,0.0552711001608273,0.616738509054183,0.537407216618991
"data$operatorGSG9-IQ",-0.0153943767934027,0.0321635061580694,-0.478628689227665,0.632202804886348
"data$operatorGSG9-JAGER",0.104636180495951,0.0541103959057315,1.93375374074592,0.053143412881707
"data$operatorGSG9-RESERVE",-0.156169980550215,0.0523667165079104,-2.98223740124368,0.00286150012827426
"data$operatorJTF2-BUCK",-0.000754550466738062,0.0294162120788995,-0.025650837188494,0.979535837178916
"data$operatorJTF2-FROST",0.215654884717573,0.0545099700626891,3.95624661817939,7.61365623301927e-05
"data$operatorNAVYSEAL-BLACKBEARD",0.0544453097953949,0.0284313675804377,1.91497329987236,0.055495908764249
"data$operatorNAVYSEAL-VALKYRIE",0.140245677555563,0.0539359829026429,2.60022474808169,0.00931627233844073
"data$operatorSAS-MUTE",0.107706430328992,0.0539112864763672,1.9978456714478,0.0457333941561748
"data$operatorSAS-RESERVE",-0.0883323283857854,0.0558249099640419,-1.582310270499,0.113578757267387
"data$operatorSAS-SLEDGE",-0.0359998059922695,0.0336376732511629,-1.07022283388834,0.284519018708393
"data$operatorSAS-SMOKE",0.0519192275435851,0.0580237350557709,0.894792923855757,0.370897793682493
"data$operatorSAS-THATCHER",0.0533100094394924,0.0259955051592387,2.05073950719309,0.0402923213929546
"data$operatorSAT-ECHO",0.0489849126060041,0.0602351071116074,0.81322861292903,0.416086997342862
"data$operatorSAT-HIBANA",-0.0400293528630886,0.0335164773463505,-1.1943186167638,0.232353357981546
"data$operatorSPETSNAZ-FUZE",0.0352216258963502,0.0260947633747656,1.3497583936864,0.177093494763297
"data$operatorSPETSNAZ-GLAZ",0.0865932099208832,0.0343758511712462,2.51901282355197,0.0117684370593053
"data$operatorSPETSNAZ-KAPKAN",0.118292713505691,0.0552797625324991,2.13989185348157,0.0323635076282931
"data$operatorSPETSNAZ-RESERVE",-0.15851501168675,0.0740837736699743,-2.13967247933262,0.0323812446399332
"data$operatorSPETSNAZ-TACHANKA",0.023732702463386,0.0628881646677619,0.377379473367777,0.705891619029979
"data$operatorSWAT-ASH",0.0452578582462535,0.0255157672870687,1.77372123428912,0.0761092722892295
"data$operatorSWAT-CASTLE",0.0818139879273529,0.0556307994200202,1.47065993622788,0.141383106094585
"data$operatorSWAT-PULSE",0.0663476665109378,0.0543962415703097,1.21971049093861,0.222574643201719
"data$operatorSWAT-RESERVE",-0.148571783126947,0.0782874072197353,-1.8977737084834,0.0577258980370121
"data$operatorSWAT-THERMITE",0.0369793148106311,0.0256377938914952,1.44237507201812,0.149196592257985
"data$skillrankCopper",-0.0725837607803833,0.0107730119829512,-6.73755500274673,1.61073975927807e-11
"data$skillrankDiamond",0.401478909071562,0.0282681633639558,14.2025112810647,8.83872993101478e-46
"data$skillrankGold",0.0714334580999165,0.00815246368888217,8.76219273412197,1.91488509964365e-18
"data$skillrankPlatinum",0.123910683824162,0.0104087923632592,11.904424596031,1.12234803463421e-32
"data$skillrankSilver",0.0162477812540682,0.00890326856453143,1.82492318818682,0.068012621449523
"data$skillrankUnranked",-0.174800230289461,0.0104762426727647,-16.6853933943219,1.67399692555371e-62
"data$roleDefender",0.262242707189887,0.0478407226600473,5.48157913611308,4.21546085072262e-08
"data$primaryweapontypeLight_Machine_Guns",0.0124008046025789,0.0278036402535182,0.446013705022302,0.655587346171833
"data$primaryweapontypeMarksman_Rifles",-0.0793540949879091,0.0214292497369424,-3.70307388088854,0.000213002817448876
"data$primaryweapontypeShield",-0.07368495965916,0.0422891363353456,-1.74240871402175,0.0814369522043884
"data$primaryweapontypeShotguns",-0.0536491539791944,0.0219295139484334,-2.44643607265299,0.0144276380654994
"data$primaryweapontypeSubmachine_Guns",0.0113020733786119,0.0220650726179153,0.512215553255666,0.608500159038941
"data$secondaryweapontypeShotguns",-0.0237465959514451,0.0215586926787669,-1.10148589737229,0.270685238981008
"data$secondaryweapontypeSubmachine_Guns",0.0669326878612302,0.0230404826957251,2.90500371650845,0.00367248739461717
