"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.0232975700543238,0.0230613367971522,1.01024369312367,0.312378550500242
"data$gamemodeHOSTAGE",0.0417270310576367,0.00767547059606414,5.43641338148487,5.43637481835582e-08
"data$gamemodeSECURE_AREA",0.0233089698729377,0.00547289940522271,4.25898013961196,2.0536171335928e-05
"data$operatorBOPE-CAVEIRA",0.188393649944631,0.052352633829744,3.59855151810137,0.000319994467268531
"data$operatorG.E.O.-JACKAL",0.0609557337035336,0.0322039403502008,1.89280358368176,0.0583839948278788
"data$operatorG.E.O.-MIRA",0.156298935141798,0.0562973212199606,2.77631211849528,0.00549794008443321
"data$operatorGIGN-DOC",0.144150314717139,0.0527527375076086,2.73256557911043,0.00628431595354943
"data$operatorGIGN-MONTAGNE",-0.0159763452143704,0.0522569691013925,-0.305726594731739,0.759812822565156
"data$operatorGIGN-RESERVE",-0.141192010401467,0.073960334124035,-1.90902342551186,0.0562590698096072
"data$operatorGIGN-ROOK",0.223010827325004,0.0517535847404803,4.30908947550778,1.63928042354858e-05
"data$operatorGIGN-TWITCH",0.079682513744297,0.0253595840519243,3.14210649437883,0.00167737014643689
"data$operatorGSG9-BANDIT",0.178175824503346,0.0517369373285231,3.44388040157754,0.000573429297968203
"data$operatorGSG9-BLITZ",-0.00273898621603133,0.0552630399125479,-0.0495627135308822,0.96047086038636
"data$operatorGSG9-IQ",-0.0111604654474646,0.0310800380157477,-0.35908789563931,0.719529336453884
"data$operatorGSG9-JAGER",0.137891067432634,0.0520716380120769,2.64810312670888,0.008094482866062
"data$operatorGSG9-RESERVE",-0.0872061136834088,0.0496234566550758,-1.75735669301644,0.0788570300813585
"data$operatorJTF2-BUCK",0.0424412958718671,0.0273843863633155,1.54983556355026,0.121180988742086
"data$operatorJTF2-FROST",0.236232741936042,0.0523799197438149,4.50998671039272,6.48316870803314e-06
"data$operatorNAVYSEAL-BLACKBEARD",0.0531927355797028,0.0276100643923358,1.92657050066382,0.0540331779201807
"data$operatorNAVYSEAL-VALKYRIE",0.177710246087987,0.0521042578738221,3.4106664856131,0.000648043070998112
"data$operatorSAS-MUTE",0.18645352175755,0.0519382368678181,3.58990857221571,0.000330793965763518
"data$operatorSAS-RESERVE",-0.0910506275392884,0.053531187929572,-1.7008893518126,0.0889637664997928
"data$operatorSAS-SLEDGE",-0.0290422396768905,0.0321889034447993,-0.90224383463994,0.366927353996945
"data$operatorSAS-SMOKE",0.060627908947364,0.0560879975736162,1.08094265386795,0.279722623480545
"data$operatorSAS-THATCHER",0.0584904402991073,0.0253302391896709,2.30911519868152,0.020937189586229
"data$operatorSAT-ECHO",0.0544674061371497,0.0588527127822055,0.925486754344113,0.354712770518043
"data$operatorSAT-HIBANA",-0.0254581076061365,0.0320458352244652,-0.794427963191318,0.426946330479829
"data$operatorSPETSNAZ-FUZE",0.040535004605218,0.0245820850333655,1.64896527492275,0.099154748955692
"data$operatorSPETSNAZ-GLAZ",0.122839961925524,0.032408413161557,3.79037262062672,0.000150421457877887
"data$operatorSPETSNAZ-KAPKAN",0.124617726051239,0.0531849986406898,2.34309916773973,0.01912429918567
"data$operatorSPETSNAZ-RESERVE",-0.18841362044464,0.0713430946055797,-2.64095104769824,0.00826736637832922
"data$operatorSPETSNAZ-TACHANKA",0.0452735221600061,0.0645895352318478,0.700942064337423,0.483339171885326
"data$operatorSWAT-ASH",0.0606034331080132,0.0239477382008176,2.53065373438666,0.0113850180463287
"data$operatorSWAT-CASTLE",0.116599764694054,0.0539986382675207,2.1593093536247,0.030826174963043
"data$operatorSWAT-PULSE",0.142340199033841,0.0523325075579838,2.71991933266583,0.00652978436583309
"data$operatorSWAT-RESERVE",-0.120238486515292,0.0732899222450501,-1.64058690242932,0.100883195625739
"data$operatorSWAT-THERMITE",0.0646785305096867,0.0244072469050076,2.64997239391292,0.00804983481044321
"data$skillrankCopper",-0.0671709875254399,0.0108470462557389,-6.19256025481604,5.91947088435872e-10
"data$skillrankDiamond",0.34274653610462,0.0279097449782793,12.2805327089646,1.15236965076859e-34
"data$skillrankGold",0.0744777811940314,0.00825902462559923,9.0177453840232,1.91999955674492e-19
"data$skillrankPlatinum",0.11703288396625,0.0104629385444408,11.1854698820183,4.80354208814887e-29
"data$skillrankSilver",0.0228744776625705,0.00902567909720123,2.53437745971531,0.011264731831188
"data$skillrankUnranked",-0.198805753934332,0.0105130783665432,-18.9103274039134,9.37727770529164e-80
"data$roleDefender",-0.243311931282047,0.046350286479947,-5.24941591002494,1.52582230210753e-07
"data$primaryweapontypeLight_Machine_Guns",-0.00983845546019069,0.0270494502314839,-0.363721087711399,0.716066294676041
"data$primaryweapontypeMarksman_Rifles",-0.0866146334011595,0.0212772816104677,-4.07075654620034,4.68607027400268e-05
"data$primaryweapontypeShield",-0.0285824756744285,0.0438859263377951,-0.65129024403919,0.514859144901463
"data$primaryweapontypeShotguns",-0.0973882674014026,0.0207103306930361,-4.70240040320311,2.57120649439226e-06
"data$primaryweapontypeSubmachine_Guns",-0.0297737501361927,0.0213009098001936,-1.39776894111453,0.162182463986177
"data$secondaryweapontypeShotguns",-0.024643884908856,0.024424951552116,-1.00896351242592,0.312992133441365
"data$secondaryweapontypeSubmachine_Guns",0.0957582776031135,0.0227040987619544,4.21766477529498,2.468454281418e-05
