"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.221611994278101,0.0244787606611187,-9.05323587848557,1.38793056061452e-19
"data$gamemodeHOSTAGE",0.0353951008403756,0.00749660285710585,4.72148538678762,2.34128455423868e-06
"data$gamemodeSECURE_AREA",0.018331320268605,0.00538148231531133,3.40637006581792,0.000658328782971561
"data$operatorBOPE-CAVEIRA",0.214922454492354,0.0544705708821035,3.94566186863607,7.95798497273325e-05
"data$operatorG.E.O.-JACKAL",0.0324969567017191,0.0320497543845155,1.01395337735941,0.31060499959137
"data$operatorG.E.O.-MIRA",0.202023222321504,0.0570465235245384,3.54137657897075,0.000398045030973592
"data$operatorGIGN-DOC",0.17516129951149,0.0546755484096107,3.20364961315505,0.00135697513727138
"data$operatorGIGN-MONTAGNE",-0.0251847131802262,0.0529183031353603,-0.475916869741759,0.634133603224961
"data$operatorGIGN-RESERVE",-0.00855708285346037,0.077044635687071,-0.111066562612046,0.911563563821346
"data$operatorGIGN-ROOK",0.248358318270965,0.053754886740796,4.62019982422322,3.8337063269936e-06
"data$operatorGIGN-TWITCH",0.0559599163144039,0.0262558483721953,2.13133148550877,0.0330618429380892
"data$operatorGSG9-BANDIT",0.186963260760393,0.0537521679691654,3.47824595405423,0.000504706595162696
"data$operatorGSG9-BLITZ",-0.00186852798777307,0.0563913473305935,-0.033135012306389,0.973566922287813
"data$operatorGSG9-IQ",0.0222806900618887,0.0322678461238185,0.690492014136704,0.489884830235288
"data$operatorGSG9-JAGER",0.153375568686284,0.0541481587177099,2.83251678946047,0.00461831407890466
"data$operatorGSG9-RESERVE",0.0106592618085112,0.052060163053595,0.204748913243658,0.837768302629844
"data$operatorJTF2-BUCK",0.025655779742891,0.029333973607747,0.874609764294444,0.38178627310314
"data$operatorJTF2-FROST",0.242781028407553,0.0543796235875615,4.46455882535909,8.02339031523086e-06
"data$operatorNAVYSEAL-BLACKBEARD",0.0608261333272329,0.0284920463496434,2.13484607531513,0.0327735852872036
"data$operatorNAVYSEAL-VALKYRIE",0.19941228047883,0.0539497688543741,3.69625829198825,0.000218800373053362
"data$operatorSAS-MUTE",0.176301021619797,0.053965101574772,3.26694505291573,0.00108714778707264
"data$operatorSAS-RESERVE",-0.0644484378670714,0.0555090484020869,-1.16104382478746,0.24562407764791
"data$operatorSAS-SLEDGE",0.013006659302809,0.0335765406635646,0.387373417444492,0.698479780387366
"data$operatorSAS-SMOKE",0.111397246660216,0.0582088534404473,1.91375091718968,0.0556519897362115
"data$operatorSAS-THATCHER",0.0591264783082386,0.0257877811964514,2.29280983337856,0.021858955646696
"data$operatorSAT-ECHO",0.146218937960376,0.0605645132709374,2.41426753165274,0.0157668806683126
"data$operatorSAT-HIBANA",0.0149923034328281,0.0334980087153538,0.447558049202979,0.65447218482566
"data$operatorSPETSNAZ-FUZE",0.0258270825384651,0.0261012348958197,0.989496575221484,0.322420244656068
"data$operatorSPETSNAZ-GLAZ",0.0834875613991147,0.0338505057831043,2.46636082586351,0.0136493759637469
"data$operatorSPETSNAZ-KAPKAN",0.186346725762819,0.05526224085083,3.37204432708089,0.000746124387761116
"data$operatorSPETSNAZ-RESERVE",0.0381575131453604,0.0736391774172371,0.51816864994514,0.604340605908003
"data$operatorSPETSNAZ-TACHANKA",0.0707477517394681,0.0632310619085725,1.11887653953628,0.263192812835358
"data$operatorSWAT-ASH",0.0645834251321591,0.025378806263022,2.54477789312966,0.0109347265759033
"data$operatorSWAT-CASTLE",0.103486025223383,0.055906614312967,1.85105155257774,0.0641621369351423
"data$operatorSWAT-PULSE",0.13290643814369,0.0545730742156354,2.43538484965195,0.0148759585380405
"data$operatorSWAT-RESERVE",-0.0287830221203417,0.0782304362238855,-0.367926136036982,0.712928311360297
"data$operatorSWAT-THERMITE",0.0352623864961942,0.025360575020033,1.39044112636798,0.164394965279937
"data$skillrankCopper",-0.0683593500985159,0.0107229093376194,-6.37507489303199,1.82873563879403e-10
"data$skillrankDiamond",0.359055293803533,0.0288250229374615,12.4563749552788,1.29107038437988e-35
"data$skillrankGold",0.0801187619069089,0.00809835035390613,9.89322002699781,4.45464122076728e-23
"data$skillrankPlatinum",0.12790057086819,0.0102029362981233,12.5356629827941,4.76360972600221e-36
"data$skillrankSilver",0.0428380224956795,0.00883723891074454,4.84744419929578,1.25062193237837e-06
"data$skillrankUnranked",-0.164442871847697,0.0104229303112938,-15.7770288140096,4.47775532314268e-56
"data$roleDefender",0.198115113111274,0.0479228730667747,4.13404081252025,3.56440135422811e-05
"data$primaryweapontypeLight_Machine_Guns",-0.0533226196425391,0.0283522135810726,-1.88072157011883,0.0600098038807385
"data$primaryweapontypeMarksman_Rifles",-0.06104991542856,0.0214609800490768,-2.84469373201744,0.00444541434983193
"data$primaryweapontypeShield",-0.0137709286120826,0.044232514942975,-0.311330446162427,0.755549423877056
"data$primaryweapontypeShotguns",-0.0562792847231089,0.0214866871791834,-2.61926300009771,0.00881199804451364
"data$primaryweapontypeSubmachine_Guns",-0.0205089893406263,0.0218478830778479,-0.938717461437759,0.347875825865257
"data$secondaryweapontypeShotguns",-0.000435498865862435,0.022144276628247,-0.019666429984302,0.984309470589605
"data$secondaryweapontypeSubmachine_Guns",0.0443624583883665,0.0231539217151591,1.91598032221565,0.0553676004421676
