"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.00465347854526712,0.0235287511389559,0.197778391117516,0.843218453595828
"data$gamemodeHOSTAGE",0.0416894478607645,0.00733715368121305,5.68196465170292,1.33156186185601e-08
"data$gamemodeSECURE_AREA",0.0179685720123856,0.00526493254183528,3.41287791811327,0.000642807312040278
"data$operatorBOPE-CAVEIRA",0.191655061194109,0.0551037992206317,3.47807345237187,0.00050503151336608
"data$operatorG.E.O.-JACKAL",0.0757883382639243,0.0315328865662588,2.40346972690474,0.0162403116170034
"data$operatorG.E.O.-MIRA",0.22986553578396,0.057120134892155,4.02424707536063,5.71578851992275e-05
"data$operatorGIGN-DOC",0.204811768163122,0.0549150736263426,3.72960927917021,0.000191776920221836
"data$operatorGIGN-MONTAGNE",-0.113575183720881,0.052519612129801,-2.16252898898381,0.0305774251089516
"data$operatorGIGN-RESERVE",-0.0652821354832799,0.0760809782106632,-0.858061200297899,0.390858670468509
"data$operatorGIGN-ROOK",0.254016222364492,0.0540827928239719,4.69680297745091,2.64265132225784e-06
"data$operatorGIGN-TWITCH",0.0753398785615902,0.0255267988295741,2.95140331008936,0.00316333569400517
"data$operatorGSG9-BANDIT",0.18331199760927,0.0540278259545176,3.39291826703498,0.000691522683197917
"data$operatorGSG9-BLITZ",-0.110722672200859,0.0564854017483648,-1.96019978213334,0.0499724439547263
"data$operatorGSG9-IQ",-0.0115603785169263,0.0321949861544224,-0.359073877574515,0.719539822924842
"data$operatorGSG9-JAGER",0.178104877336057,0.0545722147073269,3.2636549257024,0.00109985033382393
"data$operatorGSG9-RESERVE",0.0157132622066744,0.0532244336095331,0.295226480415943,0.767820874583427
"data$operatorJTF2-BUCK",0.0196610854808701,0.0286810794100308,0.685507166581531,0.493023939877094
"data$operatorJTF2-FROST",0.262272421744154,0.0548148817706033,4.78469374141401,1.7124824503361e-06
"data$operatorNAVYSEAL-BLACKBEARD",0.0775414322264194,0.027227167113978,2.84794344934295,0.00440027428050675
"data$operatorNAVYSEAL-VALKYRIE",0.228015892024241,0.0544293047966306,4.18921191215281,2.79924904632242e-05
"data$operatorSAS-MUTE",0.183634520365366,0.0541351509361136,3.39214941105601,0.000693466142732358
"data$operatorSAS-RESERVE",-0.105108981094961,0.0558293468490031,-1.8826833381956,0.0597432947732725
"data$operatorSAS-SLEDGE",-0.00827517743640442,0.0331698548562569,-0.249478855794373,0.802990394568116
"data$operatorSAS-SMOKE",0.148328457777564,0.0584853332945857,2.53616504210458,0.0112073901042468
"data$operatorSAS-THATCHER",0.0592129534448805,0.0245173524473284,2.41514468465101,0.0157289603359792
"data$operatorSAT-ECHO",0.152540882453608,0.0606563738622658,2.51483682160076,0.0119087488242725
"data$operatorSAT-HIBANA",0.0118645892384864,0.0329216743994473,0.360388390169048,0.718556707469089
"data$operatorSPETSNAZ-FUZE",0.0512648439950652,0.0252197041822777,2.03272979034742,0.0420798298353162
"data$operatorSPETSNAZ-GLAZ",0.120179537657426,0.0317973102087717,3.77955043581871,0.000157111768116541
"data$operatorSPETSNAZ-KAPKAN",0.139553749139324,0.0557958465261066,2.50114941932151,0.0123790937649034
"data$operatorSPETSNAZ-RESERVE",-0.0892304390275555,0.0764774936922292,-1.16675422689253,0.243309636854478
"data$operatorSPETSNAZ-TACHANKA",0.0815079949233428,0.062451666894669,1.30513722012919,0.191846126821344
"data$operatorSWAT-ASH",0.0555642421337954,0.0245394214659524,2.26428492663891,0.0235565960608747
"data$operatorSWAT-CASTLE",0.156029771104671,0.0559138782495933,2.79053744775441,0.00526206126835532
"data$operatorSWAT-PULSE",0.157716478431236,0.0549217269638032,2.87165912563494,0.00408323150117554
"data$operatorSWAT-RESERVE",-0.173839330930729,0.076750044482246,-2.26500625639301,0.0235122955903378
"data$operatorSWAT-THERMITE",0.0720788344699018,0.024339013631299,2.9614525700093,0.00306191649565734
"data$skillrankCopper",-0.0805169524174328,0.0104062261882758,-7.73738250165536,1.01484395770056e-14
"data$skillrankDiamond",0.352201414911416,0.0268318591739886,13.1262396924343,2.32939316692928e-39
"data$skillrankGold",0.0773707700739973,0.00795156123256892,9.73026149344021,2.24016339130915e-22
"data$skillrankPlatinum",0.108682159541551,0.0100703822501357,10.7922576166448,3.74475489880852e-27
"data$skillrankSilver",0.0243702882373063,0.00866431701157308,2.81271890268494,0.00491245740633889
"data$skillrankUnranked",-0.171014315473957,0.0102130087102447,-16.7447537083183,6.18459105146442e-63
"data$roleDefender",-0.256462769686443,0.0489295820418781,-5.24146659309169,1.5930532148398e-07
"data$primaryweapontypeLight_Machine_Guns",-0.0168687711873596,0.0281785385400164,-0.598638966439095,0.549413665418102
"data$primaryweapontypeMarksman_Rifles",-0.0702796878104534,0.0202592616066193,-3.46901526694789,0.000522369768902237
"data$primaryweapontypeShield",0.0388146852645107,0.0440750202103043,0.88065042464657,0.378507057191622
"data$primaryweapontypeShotguns",-0.102710778132453,0.0221928423567301,-4.6281038039864,3.69029044689738e-06
"data$primaryweapontypeSubmachine_Guns",-0.0163487311843868,0.0227541156475207,-0.718495565270109,0.472451781318086
"data$secondaryweapontypeShotguns",-0.0356469279066701,0.0217861213363383,-1.63622185685768,0.101793163628796
"data$secondaryweapontypeSubmachine_Guns",0.0425022314509584,0.0232626783578963,1.82705666119187,0.0676912505400895
