"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.19027050693166,0.0221574809950492,-8.58719034777346,8.91219142502839e-18
"data$gamemodeHOSTAGE",0.0457354456902915,0.0075469072567523,6.0601573776293,1.35988427286399e-09
"data$gamemodeSECURE_AREA",0.0209806206430588,0.00534480471948786,3.92542323699138,8.65773768864969e-05
"data$operatorBOPE-CAVEIRA",0.224556617678731,0.0522828503303499,4.29503395969935,1.74666597198217e-05
"data$operatorG.E.O.-JACKAL",0.0840954699451422,0.0292559662002892,2.87447248774546,0.00404703027455619
"data$operatorG.E.O.-MIRA",0.168602959137907,0.0552911668650563,3.04936518249649,0.00229325535476279
"data$operatorGIGN-DOC",0.174179462230077,0.052942251090778,3.28998972732418,0.00100191040452517
"data$operatorGIGN-MONTAGNE",-0.00856178509432671,0.0491419468232366,-0.174225598451022,0.861688168533068
"data$operatorGIGN-RESERVE",-0.182253845254571,0.0753690647994297,-2.41815187357811,0.0155995643930317
"data$operatorGIGN-ROOK",0.24697232865431,0.052031245815516,4.74661570722302,2.06848416631249e-06
"data$operatorGIGN-TWITCH",0.108496697689806,0.0238402202056759,4.5509939402311,5.33930860372329e-06
"data$operatorGSG9-BANDIT",0.182061395374649,0.0521890309721824,3.48849924942447,0.00048574018537141
"data$operatorGSG9-BLITZ",0.0146515100072341,0.0525214864071577,0.27896221164901,0.780273824720201
"data$operatorGSG9-IQ",0.0312817740320415,0.0291944978298119,1.07149553365834,0.283946677868531
"data$operatorGSG9-JAGER",0.151752588158664,0.0520937478720223,2.9130671982264,0.00357897575323638
"data$operatorGSG9-RESERVE",-0.0801347356732326,0.050376475952266,-1.59071737668121,0.11167319449981
"data$operatorJTF2-BUCK",0.0466532034230724,0.026372683998383,1.76899717245059,0.07689434645262
"data$operatorJTF2-FROST",0.283311321049702,0.052618669630272,5.38423572926501,7.2753106861411e-08
"data$operatorNAVYSEAL-BLACKBEARD",0.103985630776175,0.0254119177611811,4.09200249085577,4.27664056963258e-05
"data$operatorNAVYSEAL-VALKYRIE",0.197332992154126,0.0522104598738851,3.77956816758147,0.00015710058072704
"data$operatorSAS-MUTE",0.159987890542557,0.0525261861303625,3.04586916220206,0.00232008770331741
"data$operatorSAS-RESERVE",-0.0283242682122452,0.0540044607450019,-0.524480159999868,0.59994461560647
"data$operatorSAS-SLEDGE",0.0201108336339728,0.0315778765189281,0.636864661305459,0.524213003103367
"data$operatorSAS-SMOKE",0.0784473822288896,0.0564903932341079,1.38868536290387,0.164928447010194
"data$operatorSAS-THATCHER",0.0472941070316818,0.0258173284204192,1.83187455578387,0.0669701121823302
"data$operatorSAT-ECHO",0.0923689820232949,0.0587028258427916,1.573501457505,0.115602751097607
"data$operatorSAT-HIBANA",0.0129761513669909,0.0317028215204027,0.40930588334669,0.68231519848368
"data$operatorSPETSNAZ-FUZE",0.107691011876209,0.0234755463988571,4.58736976965326,4.48865251931123e-06
"data$operatorSPETSNAZ-GLAZ",0.095206994810673,0.0315631726701238,3.01639495514947,0.00255799831761403
"data$operatorSPETSNAZ-KAPKAN",0.129421107895673,0.0536040911392876,2.41438862491632,0.0157616408876583
"data$operatorSPETSNAZ-RESERVE",0.0230217741631398,0.071911794298308,0.320139059076176,0.748862917629479
"data$operatorSPETSNAZ-TACHANKA",0.0785516105358585,0.0622360749963347,1.26215559931253,0.206892802001101
"data$operatorSWAT-ASH",0.0847969615507652,0.0229235750863966,3.69911592023382,0.000216351775907655
"data$operatorSWAT-CASTLE",0.138062001796553,0.0540885422627374,2.55251844514335,0.0106947246601279
"data$operatorSWAT-PULSE",0.158927637493639,0.0528769401481346,3.00561335524339,0.00265045783984623
"data$operatorSWAT-RESERVE",-0.144289798715134,0.0754920781508189,-1.9113237077256,0.0559629942176251
"data$operatorSWAT-THERMITE",0.0413518240905855,0.0246031399970333,1.68075392391263,0.0928107217400802
"data$skillrankCopper",-0.0921624407358128,0.0107408227688998,-8.58057550327249,9.439964327366e-18
"data$skillrankDiamond",0.343320224004962,0.0281750736735376,12.1852467178254,3.7252426293986e-34
"data$skillrankGold",0.0710248027912155,0.0081111121301575,8.75648143577523,2.01439892023896e-18
"data$skillrankPlatinum",0.104689956663394,0.0101180096141035,10.3468923885451,4.32290087119732e-25
"data$skillrankSilver",0.0152562078927778,0.0088751916288519,1.71897222401172,0.0856194296868372
"data$skillrankUnranked",-0.158541406823474,0.0103668355521588,-15.2931341512849,8.49610295546011e-53
"data$roleDefender",0.139763097989073,0.0468177688882797,2.98525754874366,0.002833396516421
"data$primaryweapontypeLight_Machine_Guns",-0.0158869111555228,0.0263463570058354,-0.60300219692628,0.546507227712313
"data$primaryweapontypeMarksman_Rifles",-0.0291036583001861,0.0201526432003763,-1.444160848322,0.148693735128652
"data$primaryweapontypeShield",0.00176971870233408,0.0409834613814417,0.0431812892977228,0.965557020152615
"data$primaryweapontypeShotguns",-0.0745037818861017,0.0209996478316072,-3.54785863475118,0.000388376611085004
"data$primaryweapontypeSubmachine_Guns",-0.0352816932851304,0.0210276842410083,-1.67786870302741,0.093372733499681
"data$secondaryweapontypeShotguns",-0.0208404670398461,0.0211999837756264,-0.983041650428352,0.325586940082194
"data$secondaryweapontypeSubmachine_Guns",0.0836783948791311,0.0229140671769395,3.65183510343132,0.000260373058360856
