"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.188348608211293,0.0240196275793486,-7.8414458171379,4.4538810491355e-15
"data$gamemodeHOSTAGE",0.0414373963069843,0.00755208560693782,5.48688116947685,4.0909212597411e-08
"data$gamemodeSECURE_AREA",0.0195138522778665,0.00538492744419764,3.62379112440837,0.000290316089050143
"data$operatorBOPE-CAVEIRA",0.213148038762815,0.0535202389754982,3.98256889062836,6.81743542627742e-05
"data$operatorG.E.O.-JACKAL",0.042916811951747,0.0317101629313035,1.35340874926192,0.175925083873383
"data$operatorG.E.O.-MIRA",0.173838261465057,0.0564103073687458,3.08167548757893,0.00205839105220748
"data$operatorGIGN-DOC",0.165206974308931,0.0537381233918538,3.07429742390249,0.00210998962770396
"data$operatorGIGN-MONTAGNE",-0.00198759533751797,0.0527678824098479,-0.0376667633178895,0.969953376211334
"data$operatorGIGN-RESERVE",0.0484571391891402,0.0759110321823242,0.638341197531805,0.523251599713128
"data$operatorGIGN-ROOK",0.252625519837068,0.052913109579011,4.77434650594182,1.80291730222792e-06
"data$operatorGIGN-TWITCH",0.0476710861797094,0.02592640946011,1.83870760249526,0.0659582046109714
"data$operatorGSG9-BANDIT",0.18985270019188,0.0529232488514518,3.58732134387234,0.000334092491907557
"data$operatorGSG9-BLITZ",-0.0640745629604973,0.0559762076847929,-1.14467495406811,0.252343830255595
"data$operatorGSG9-IQ",-0.0239903482724194,0.0318857975549332,-0.752383509651548,0.451820460492977
"data$operatorGSG9-JAGER",0.180180999980066,0.0532270763191872,3.38513802448163,0.000711424718445613
"data$operatorGSG9-RESERVE",-0.112094672945907,0.0518245093469635,-2.16296641026424,0.0305437632090957
"data$operatorJTF2-BUCK",0.0186370505828851,0.0291069984251177,0.640294485562702,0.521981165141432
"data$operatorJTF2-FROST",0.270647098869794,0.0535977225993138,5.04960072451397,4.42734449989286e-07
"data$operatorNAVYSEAL-BLACKBEARD",0.0805756857289266,0.0276605548723618,2.91301769254951,0.00357954319784027
"data$operatorNAVYSEAL-VALKYRIE",0.199806322216048,0.053181794559047,3.75704362503612,0.000171932532864953
"data$operatorSAS-MUTE",0.17446108052393,0.053204833697642,3.27904568813006,0.00104158771218769
"data$operatorSAS-RESERVE",-0.0899091868169245,0.0539481574722651,-1.66658494060983,0.0955969654016311
"data$operatorSAS-SLEDGE",-0.0671344344071159,0.0337603298335813,-1.98855979008646,0.0467498133726319
"data$operatorSAS-SMOKE",0.0464325899235077,0.057640595537376,0.805553611835938,0.420500282079123
"data$operatorSAS-THATCHER",0.0243184133448295,0.0258719975698264,0.939951129757029,0.347242628881974
"data$operatorSAT-ECHO",0.0706600738500412,0.0599146857519669,1.17934481276523,0.238260900804208
"data$operatorSAT-HIBANA",-0.0568840450276395,0.0336304173201561,-1.6914463024979,0.0907515952964652
"data$operatorSPETSNAZ-FUZE",0.0927931711974698,0.0254847663535403,3.64112308938547,0.000271451308479841
"data$operatorSPETSNAZ-GLAZ",0.10618311481352,0.0324107000731967,3.27617467607038,0.00105223459995661
"data$operatorSPETSNAZ-KAPKAN",0.179608621835072,0.0544407299917217,3.29915895437816,0.000969749827235972
"data$operatorSPETSNAZ-RESERVE",-0.146630592400886,0.0738088948927725,-1.98662495372552,0.0469639738060583
"data$operatorSPETSNAZ-TACHANKA",0.0487262600301389,0.0634385073514753,0.768086483500872,0.442435806533434
"data$operatorSWAT-ASH",0.0428422756060957,0.0250015553030805,1.71358441851883,0.0866050772004293
"data$operatorSWAT-CASTLE",0.110055666433931,0.0549718730144073,2.00203595764486,0.0452808643972672
"data$operatorSWAT-PULSE",0.136199979144406,0.053780563440549,2.53251305734211,0.0113248151851322
"data$operatorSWAT-RESERVE",-0.00603199894463067,0.0745662532497146,-0.0808944888840014,0.935525862836313
"data$operatorSWAT-THERMITE",0.0239089488815245,0.02544154695445,0.939760028127634,0.347340666353701
"data$skillrankCopper",-0.0624003845818761,0.0106171289745545,-5.87733131352436,4.16933220871323e-09
"data$skillrankDiamond",0.367021428809935,0.0285971522437429,12.834195016402,1.05493757723279e-37
"data$skillrankGold",0.0831270276023831,0.00805686200159813,10.317543925401,5.87056569232441e-25
"data$skillrankPlatinum",0.131676142532712,0.0102179119211416,12.8867956143041,5.34175834921116e-38
"data$skillrankSilver",0.0269790418511028,0.00882418901504699,3.0573961873548,0.00223268962920802
"data$skillrankUnranked",-0.177324259181364,0.010388917480749,-17.0685982933209,2.54230701203305e-65
"data$roleDefender",0.126984279565393,0.0471931090640858,2.69073773870153,0.00712942170209218
"data$primaryweapontypeLight_Machine_Guns",-0.0266405491557791,0.0278113188497291,-0.957903122096584,0.338111611985036
"data$primaryweapontypeMarksman_Rifles",-0.0613942725259767,0.0204769934990436,-2.99820735543253,0.00271572831559626
"data$primaryweapontypeShield",-0.0324144933793633,0.0437531742005392,-0.740848954884828,0.458785028537095
"data$primaryweapontypeShotguns",-0.0477603371482599,0.0221497523466385,-2.15624700451823,0.0310643829824809
"data$primaryweapontypeSubmachine_Guns",-0.00625596240302059,0.0223599600658061,-0.279784149193875,0.779643113346402
"data$secondaryweapontypeShotguns",-0.0027377696847066,0.0223434417975379,-0.122531242478869,0.902478304485746
"data$secondaryweapontypeSubmachine_Guns",0.104248268931237,0.0236603819952208,4.40602645182544,1.05284111989664e-05
