"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.194091875707092,0.0219881896677115,-8.82709666599365,1.07427947402048e-18
"data$gamemodeHOSTAGE",0.0391962868944738,0.00746563648222948,5.25022708884541,1.51911816118787e-07
"data$gamemodeSECURE_AREA",0.0213121522040249,0.00536514699153243,3.97233332798913,7.1172032731496e-05
"data$operatorBOPE-CAVEIRA",0.136106538692961,0.0527767183005987,2.57891250300452,0.00991118872461592
"data$operatorG.E.O.-JACKAL",0.0264781177115912,0.0294625174560682,0.898705202332859,0.368809705261442
"data$operatorG.E.O.-MIRA",0.103768943450879,0.0558049790599055,1.85949256139825,0.0629573526620839
"data$operatorGIGN-DOC",0.0797933888823477,0.0535065384841063,1.4912829561204,0.135887221793981
"data$operatorGIGN-MONTAGNE",-0.0018100795865941,0.0498099150477258,-0.0363397445038755,0.971011459324044
"data$operatorGIGN-RESERVE",-0.203764094030245,0.0779817361526472,-2.61297201220786,0.00897586523340232
"data$operatorGIGN-ROOK",0.181019442006822,0.0525094574485278,3.44736835615309,0.000566076203502272
"data$operatorGIGN-TWITCH",0.0691405086073335,0.0237542154732029,2.91066268575912,0.00360663151738481
"data$operatorGSG9-BANDIT",0.117541588715163,0.0526653835029674,2.23185669403776,0.0256244358654293
"data$operatorGSG9-BLITZ",0.0407785603199956,0.0529367969236832,0.770325419930193,0.441106881182554
"data$operatorGSG9-IQ",-0.0447812499423563,0.0295284595155439,-1.51654541676254,0.129381495338939
"data$operatorGSG9-JAGER",0.0666240061192511,0.0527917316354417,1.26201592664794,0.206943055490546
"data$operatorGSG9-RESERVE",-0.0337088394573585,0.0507151002470736,-0.66467066599762,0.506261159946078
"data$operatorJTF2-BUCK",-0.00024398766316036,0.0268100451552864,-0.00910060619992094,0.992738867048363
"data$operatorJTF2-FROST",0.183612221583783,0.0531299449759807,3.45590837082162,0.000548441722726288
"data$operatorNAVYSEAL-BLACKBEARD",0.0373362093626087,0.0258987593922983,1.44162153858658,0.149409168880956
"data$operatorNAVYSEAL-VALKYRIE",0.142194714738475,0.0528024161960327,2.69295848528156,0.00708210868230141
"data$operatorSAS-MUTE",0.116039716878199,0.0525880092521246,2.20658128209162,0.0273433258462088
"data$operatorSAS-RESERVE",-0.195528246091178,0.0547352549353606,-3.57225423215963,0.000353921575196353
"data$operatorSAS-SLEDGE",-0.0131059372091209,0.0312682289334401,-0.41914549228289,0.675109805196645
"data$operatorSAS-SMOKE",0.0637753168986096,0.0568163574956959,1.12248161814035,0.261657718920096
"data$operatorSAS-THATCHER",0.0114096879705151,0.0245121880040505,0.465469992667716,0.641594920996002
"data$operatorSAT-ECHO",0.0869862676916813,0.0590475049409748,1.47315738029295,0.140708604179247
"data$operatorSAT-HIBANA",-0.000520350489421923,0.0313188136693323,-0.0166146296253697,0.986744053416255
"data$operatorSPETSNAZ-FUZE",-0.00105408623202802,0.0238175826177013,-0.0442566422019932,0.964699832297842
"data$operatorSPETSNAZ-GLAZ",0.04604906401507,0.0323359763353083,1.42408144840173,0.154422895995596
"data$operatorSPETSNAZ-KAPKAN",0.0536193043459299,0.05401875821495,0.992605274867101,0.320902353171633
"data$operatorSPETSNAZ-RESERVE",-0.0543366670117784,0.0726808121161854,-0.747606767586986,0.454697381464414
"data$operatorSPETSNAZ-TACHANKA",0.0375780123845573,0.0624077473444611,0.602136977916292,0.547082961994879
"data$operatorSWAT-ASH",0.0410473036856548,0.0228709214836762,1.79473764163598,0.0726955102473658
"data$operatorSWAT-CASTLE",0.0447542994881982,0.054485485428928,0.821398563963915,0.411419281268936
"data$operatorSWAT-PULSE",0.0710019429747205,0.0532757491482188,1.33272537899346,0.18262194156067
"data$operatorSWAT-RESERVE",-0.0551791506811308,0.0746587612901253,-0.73908473336041,0.459855546548266
"data$operatorSWAT-THERMITE",0.00389073549046175,0.0238410989600254,0.163194469222471,0.870365320753463
"data$skillrankCopper",-0.0662090589261007,0.0106564497693294,-6.21305034596593,5.19657901265124e-10
"data$skillrankDiamond",0.337964017673066,0.0292525287876505,11.5533265560188,7.10173742967254e-31
"data$skillrankGold",0.0827525563572266,0.00801365631466079,10.3264419021605,5.35087220501231e-25
"data$skillrankPlatinum",0.138497333047292,0.0102383912694443,13.5272553472953,1.07980462746437e-41
"data$skillrankSilver",0.0245057723650799,0.00875876180625317,2.79785806568965,0.00514427127550319
"data$skillrankUnranked",-0.152276785871747,0.0102748223819701,-14.820381337098,1.08168631897138e-49
"data$roleDefender",0.252532285307799,0.0476176370059617,5.30333509149524,1.13705922469892e-07
"data$primaryweapontypeLight_Machine_Guns",-0.0134873815773913,0.0278353247605659,-0.484541915476366,0.62800132462808
"data$primaryweapontypeMarksman_Rifles",-0.0439618915084143,0.0211167364482538,-2.08185065036646,0.0373561136178922
"data$primaryweapontypeShield",-0.0478784261008295,0.0424794488220452,-1.1270962177829,0.259701802304817
"data$primaryweapontypeShotguns",-0.0875508055013328,0.0205334116046642,-4.26382167693192,2.00959844345351e-05
"data$primaryweapontypeSubmachine_Guns",-0.0400904429365177,0.020740685970019,-1.93293717452108,0.0532439376765021
"data$secondaryweapontypeShotguns",0.00330887341289312,0.0215366554377263,0.153639148959819,0.877894266995567
"data$secondaryweapontypeSubmachine_Guns",0.0489771858210716,0.0226068030512059,2.16647996225451,0.0302745294286121
