"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.287844766559686,0.0233535463948983,-12.3255269967292,6.6010520672954e-35
"data$gamemodeHOSTAGE",0.0356285285661544,0.00741876333673066,4.80248889862221,1.56705509866924e-06
"data$gamemodeSECURE_AREA",0.0201696322109373,0.00540827143214027,3.72940457297931,0.000191932775633478
"data$operatorBOPE-CAVEIRA",0.128100577271067,0.0540945008310072,2.36808872072333,0.0178802476234068
"data$operatorG.E.O.-JACKAL",0.0366347769952857,0.0303122119215171,1.20858144862997,0.226823687097446
"data$operatorG.E.O.-MIRA",0.096517637401084,0.0565760325664015,1.70598101391794,0.0880116145911224
"data$operatorGIGN-DOC",0.0889937083094673,0.0547558961164274,1.62528083040117,0.104102734113593
"data$operatorGIGN-MONTAGNE",0.00535878335807388,0.0493189700118087,0.10865562189946,0.913475641970539
"data$operatorGIGN-RESERVE",0.0753441542938596,0.0770099599521659,0.978368958257595,0.327891875258887
"data$operatorGIGN-ROOK",0.183667966745823,0.0538303506960963,3.41197789668389,0.000644933425122203
"data$operatorGIGN-TWITCH",0.0681778748742394,0.0251313831831808,2.71285803798764,0.00667056766891743
"data$operatorGSG9-BANDIT",0.107312321967776,0.0539280958219844,1.98991491043948,0.0466003095732315
"data$operatorGSG9-BLITZ",0.0203997966635124,0.0522703055540564,0.39027506052008,0.696333162861507
"data$operatorGSG9-IQ",-0.0284481462110223,0.0319125949545249,-0.891439453656483,0.372693459674467
"data$operatorGSG9-JAGER",0.0665782066239308,0.0541385441547872,1.22977460261173,0.218781521300381
"data$operatorGSG9-RESERVE",-0.0988698667217365,0.0523278395107696,-1.88943146986583,0.0588340374030448
"data$operatorJTF2-BUCK",0.030298928054993,0.0286219058719799,1.05859226113432,0.289785512868647
"data$operatorJTF2-FROST",0.193621722178318,0.0544755705975828,3.5542853439503,0.000379007760787275
"data$operatorNAVYSEAL-BLACKBEARD",0.0586053990039877,0.0274068552989115,2.13834817474718,0.0324884953392788
"data$operatorNAVYSEAL-VALKYRIE",0.119262715891152,0.0542206910165077,2.19957941618342,0.0278367489149572
"data$operatorSAS-MUTE",0.109055367113653,0.0541011951153081,2.01576632237456,0.0438244167080927
"data$operatorSAS-RESERVE",-0.0759051231587599,0.0554641167529464,-1.36854470245806,0.17114163944594
"data$operatorSAS-SLEDGE",-0.0308955066932331,0.0327055886841589,-0.944655269519655,0.344834900300883
"data$operatorSAS-SMOKE",-0.020409937468624,0.0579637660847265,-0.352115448102363,0.724751683463606
"data$operatorSAS-THATCHER",0.0233666617325828,0.0265857600555868,0.878916445635808,0.379446581061393
"data$operatorSAT-ECHO",0.00723151724417519,0.0601245578663191,0.120275599535447,0.904264832526934
"data$operatorSAT-HIBANA",-0.00660989368331646,0.0326958002449905,-0.202163385933005,0.839788995896297
"data$operatorSPETSNAZ-FUZE",0.0509004916761515,0.0260042095517025,1.95739430475475,0.0503011275728086
"data$operatorSPETSNAZ-GLAZ",0.138141594050137,0.0324858201636911,4.25236590469512,2.11523876687238e-05
"data$operatorSPETSNAZ-KAPKAN",0.104076860432175,0.055055074480805,1.89041357974116,0.0587026686382077
"data$operatorSPETSNAZ-RESERVE",-0.100903375836447,0.0741029924663929,-1.36166398249314,0.173303952939577
"data$operatorSPETSNAZ-TACHANKA",-0.0142272109584639,0.0605690621036307,-0.234892376806527,0.814292266488461
"data$operatorSWAT-ASH",0.0678642511711661,0.024310142182559,2.79160239629756,0.00524477599178092
"data$operatorSWAT-CASTLE",0.065141299165954,0.0556987815122562,1.16952826251002,0.242190861177285
"data$operatorSWAT-PULSE",0.0532290815118562,0.0546211705452112,0.974513745870703,0.329801517394372
"data$operatorSWAT-RESERVE",-0.0395621355160847,0.0797904002005849,-0.495825756189085,0.620017351308527
"data$operatorSWAT-THERMITE",0.0155915616788721,0.0254780548325476,0.611960441303167,0.540563930719243
"data$skillrankCopper",-0.0903418815005686,0.0106922010049244,-8.44932502287981,2.92991755078543e-17
"data$skillrankDiamond",0.35408077284844,0.0293537590890413,12.062535901258,1.66573709641441e-33
"data$skillrankGold",0.0774165816693963,0.00813593116738736,9.51539290053465,1.81027505952655e-21
"data$skillrankPlatinum",0.114989436597635,0.0102887471797439,11.1762330815186,5.33048530087931e-29
"data$skillrankSilver",0.0344455029083426,0.00889402466258524,3.87288142490154,0.000107556163223229
"data$skillrankUnranked",-0.18482767316166,0.0104513651333799,-17.68454845878,5.51611841098789e-70
"data$roleDefender",0.422615736206227,0.0484171864560341,8.72863061941836,2.57774621527119e-18
"data$primaryweapontypeLight_Machine_Guns",-0.0357352575311177,0.0312042421626172,-1.14520510848774,0.252124202710395
"data$primaryweapontypeMarksman_Rifles",-0.0384821004409485,0.0220830675489524,-1.74260665352056,0.0814023470182533
"data$primaryweapontypeShield",-0.00034478880044112,0.0420831665933306,-0.00819303366053642,0.993462978070007
"data$primaryweapontypeShotguns",-0.0588636460054874,0.0200184568523513,-2.94046871043277,0.00327716098451423
"data$primaryweapontypeSubmachine_Guns",-0.0363077967440023,0.0203156157626663,-1.78718662373624,0.0739073305201508
"data$secondaryweapontypeShotguns",0.00137382156754533,0.0207960602482347,0.0660616266324747,0.947328761595143
"data$secondaryweapontypeSubmachine_Guns",0.0891015075169828,0.0230703155231766,3.86217117089147,0.000112383777494164
