"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.171389626019707,0.0215173107020295,-7.96519734241426,1.64960306966018e-15
"data$gamemodeHOSTAGE",0.0377534606385871,0.00757228710706237,4.98574078145769,6.17248552809531e-07
"data$gamemodeSECURE_AREA",0.0233727357382742,0.00538989260419377,4.33640101104953,1.44834607258338e-05
"data$operatorBOPE-CAVEIRA",0.0810710337236126,0.0508586801648626,1.59404517499892,0.110925917083133
"data$operatorG.E.O.-JACKAL",0.0488730710243736,0.0294144933773167,1.66153026664272,0.0966069953980743
"data$operatorG.E.O.-MIRA",0.0467101129602953,0.0541722816867034,0.862251164358107,0.388549320041746
"data$operatorGIGN-DOC",0.0280934801389855,0.0515464776979741,0.54501260597462,0.585744847656701
"data$operatorGIGN-MONTAGNE",-0.0079290151125406,0.0479628729245796,-0.165315683341337,0.868695515137171
"data$operatorGIGN-RESERVE",-0.247631350091444,0.072702056296612,-3.40611205109729,0.000658951281660089
"data$operatorGIGN-ROOK",0.117199212851685,0.0504836934875685,2.32152611576538,0.0202584662850789
"data$operatorGIGN-TWITCH",0.0668986637867928,0.023305607326877,2.87049647960225,0.00409827760281033
"data$operatorGSG9-BANDIT",0.0663645675033419,0.0506043531808146,1.31143989265537,0.189709188516906
"data$operatorGSG9-BLITZ",0.0357897440262381,0.0507302179729007,0.705491627206419,0.480504340665611
"data$operatorGSG9-IQ",-0.00439660779937971,0.0284794465343739,-0.154378273962351,0.877311483158266
"data$operatorGSG9-JAGER",0.0633003212977645,0.0508055388569266,1.24593346949876,0.212788821292355
"data$operatorGSG9-RESERVE",-0.187541675809037,0.0494114998141709,-3.79550664348082,0.00014734224921684
"data$operatorJTF2-BUCK",0.00336302515427973,0.0261617792559592,0.128547264365198,0.897715896900046
"data$operatorJTF2-FROST",0.15760983119713,0.0508740919630194,3.09803723497802,0.00194806950802908
"data$operatorNAVYSEAL-BLACKBEARD",0.0624990761324934,0.0247471939725929,2.52550152561579,0.0115533279841765
"data$operatorNAVYSEAL-VALKYRIE",0.0732331433027305,0.0507326190935367,1.44351197732782,0.148876300953762
"data$operatorSAS-MUTE",0.0703549727150898,0.0508035718180102,1.38484303755486,0.16610046786435
"data$operatorSAS-RESERVE",-0.123267686652082,0.0518586198823254,-2.37699512504949,0.0174543188034774
"data$operatorSAS-SLEDGE",-0.0464438251045062,0.0309193543370862,-1.50209556765547,0.133072429418372
"data$operatorSAS-SMOKE",-0.0558509402015774,0.054885765235678,-1.01758516004569,0.308875142693525
"data$operatorSAS-THATCHER",0.00738319462523529,0.0243056753871698,0.303764224101036,0.761307524582335
"data$operatorSAT-ECHO",0.00793990765789769,0.0573164686462795,0.138527509552232,0.889823529724164
"data$operatorSAT-HIBANA",-0.0316624935173773,0.0310576224559823,-1.01947576838028,0.307977151352196
"data$operatorSPETSNAZ-FUZE",0.0115953668180148,0.0231273002083714,0.501371397160212,0.616109765970119
"data$operatorSPETSNAZ-GLAZ",0.0716479454570154,0.032115746810903,2.23092882998727,0.0256858436852473
"data$operatorSPETSNAZ-KAPKAN",0.0317076088847869,0.0519356374415895,0.610517372015458,0.5415191392434
"data$operatorSPETSNAZ-RESERVE",-0.182409718835335,0.0710793904725623,-2.56628141607021,0.0102795391427849
"data$operatorSPETSNAZ-TACHANKA",-0.0782411527489915,0.0620274617508152,-1.26139536490002,0.207166437466196
"data$operatorSWAT-ASH",0.0414075582977506,0.0223723021485428,1.85084029452229,0.0641925322549767
"data$operatorSWAT-CASTLE",-0.0147855225950937,0.0523549427833479,-0.282409297175211,0.777629686906273
"data$operatorSWAT-PULSE",0.0484351170190438,0.0511055218518151,0.94774723481908,0.343258148184491
"data$operatorSWAT-RESERVE",-0.108779414389067,0.0707131583856699,-1.5383192728542,0.123970569656907
"data$operatorSWAT-THERMITE",0.0119758338539617,0.0236283099293354,0.506842592203061,0.612265268679393
"data$skillrankCopper",-0.0575342417168784,0.0106855737779128,-5.38429128024948,7.27306437672563e-08
"data$skillrankDiamond",0.357031605203559,0.0279862612978951,12.7573883986573,2.8354889995798e-37
"data$skillrankGold",0.0919427474368367,0.00806536928795883,11.3996946890085,4.19587953364586e-30
"data$skillrankPlatinum",0.12649193081081,0.0101420688534115,12.4720047397687,1.06122160297877e-35
"data$skillrankSilver",0.0371066825016166,0.00881874004845628,4.2077079376109,2.57973985568763e-05
"data$skillrankUnranked",-0.156393253404511,0.0103846395475268,-15.0600560268611,2.96535628175515e-51
"data$roleDefender",0.214793286687903,0.0456244632378795,4.70785345063679,2.50338967007143e-06
"data$primaryweapontypeLight_Machine_Guns",-0.0533944928995697,0.0269101499964219,-1.98417671052258,0.0472361438782381
"data$primaryweapontypeMarksman_Rifles",-0.0475514010040273,0.0210842255956932,-2.25530697289354,0.0241140672590395
"data$primaryweapontypeShield",-0.0294773723421581,0.0402421795563894,-0.73249939906592,0.463863809371478
"data$primaryweapontypeShotguns",-0.0618076797014631,0.0199792384399317,-3.09359537838692,0.00197746978576237
"data$primaryweapontypeSubmachine_Guns",-0.0107593470822621,0.0202261386463981,-0.53195260204439,0.594758823718853
"data$secondaryweapontypeShotguns",-0.0207330488666114,0.0220947581174696,-0.938369578720051,0.348054514010681
"data$secondaryweapontypeSubmachine_Guns",0.0852900598908081,0.0226117535495746,3.77193479063073,0.000161986594688748
