"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.142602465460107,0.0224032727104291,-6.36525151049573,1.94969983689165e-10
"data$gamemodeHOSTAGE",0.0386849277978991,0.00747697009915026,5.17387755800917,2.29285108315085e-07
"data$gamemodeSECURE_AREA",0.0170369113341885,0.00541976954465083,3.14347523337104,0.00166954543166728
"data$operatorBOPE-CAVEIRA",0.0664614125138437,0.0518220943169271,1.28249182882088,0.199670169537571
"data$operatorG.E.O.-JACKAL",0.0249300960880463,0.0294208837276794,0.847360545617868,0.39679418876841
"data$operatorG.E.O.-MIRA",0.0268116735307881,0.0548742054462711,0.488602492058681,0.625123148377792
"data$operatorGIGN-DOC",0.0419197507396266,0.0524999154185366,0.798472729059399,0.424596212600782
"data$operatorGIGN-MONTAGNE",-0.0262188719844569,0.050967401907874,-0.514424337968979,0.606955346953887
"data$operatorGIGN-RESERVE",-0.112384145551797,0.0730799030679995,-1.53782559682962,0.124091263212551
"data$operatorGIGN-ROOK",0.112124596382655,0.0515864211104238,2.17352927319082,0.0297405050676004
"data$operatorGIGN-TWITCH",0.0324161747508956,0.0239392655107588,1.35410064006881,0.175704272035414
"data$operatorGSG9-BANDIT",0.0779161480181669,0.0516823198512374,1.50759772863217,0.131657514437371
"data$operatorGSG9-BLITZ",0.015612835954049,0.0537506458088405,0.290467876601421,0.771458322662925
"data$operatorGSG9-IQ",-0.0173452460308746,0.0294115407727248,-0.589742855191046,0.555363059251591
"data$operatorGSG9-JAGER",-0.02752077130436,0.0518683050715742,-0.530589369874019,0.595703363605485
"data$operatorGSG9-RESERVE",-0.0696788890418605,0.050067492266813,-1.3916992021597,0.164013504022887
"data$operatorJTF2-BUCK",-0.0261420649710583,0.0267571601486171,-0.977011940948052,0.328563240794995
"data$operatorJTF2-FROST",0.115461197262591,0.0520857883736289,2.21675049697527,0.0266401459911858
"data$operatorNAVYSEAL-BLACKBEARD",0.0114963700553868,0.0262129626396865,0.43857576167225,0.660968963011177
"data$operatorNAVYSEAL-VALKYRIE",0.0655320975438881,0.0519974302419556,1.26029492686375,0.207562989406896
"data$operatorSAS-MUTE",0.0214986593226725,0.0519617477911844,0.413740111457912,0.679064447849842
"data$operatorSAS-RESERVE",-0.184612295492384,0.0538376435187743,-3.42905601780297,0.000605684502171187
"data$operatorSAS-SLEDGE",-0.0753321882340572,0.0314351935754032,-2.39642832334908,0.0165557311542072
"data$operatorSAS-SMOKE",-0.0789667040224262,0.055885326369122,-1.41301320315912,0.157651842021235
"data$operatorSAS-THATCHER",-0.026600863622801,0.0248741660387585,-1.06941730554311,0.284881672831846
"data$operatorSAT-ECHO",-0.0145060423214701,0.0581050305213007,-0.24965209021192,0.802856411574907
"data$operatorSAT-HIBANA",-0.067736443743661,0.0314855474925721,-2.15135035398832,0.0314485566050073
"data$operatorSPETSNAZ-FUZE",0.00237560533557716,0.0246370978730935,0.0964239111202946,0.923183902274503
"data$operatorSPETSNAZ-GLAZ",0.057308728972081,0.0331293515423088,1.72984759145959,0.0836575089267513
"data$operatorSPETSNAZ-KAPKAN",-0.00837268012052996,0.0529829617021735,-0.158025898355669,0.874436391182832
"data$operatorSPETSNAZ-RESERVE",-0.212850241751236,0.0723398640371322,-2.9423644153102,0.00325716382757715
"data$operatorSPETSNAZ-TACHANKA",-0.18819361221885,0.0615424557806745,-3.05794771806858,0.00222858454031916
"data$operatorSWAT-ASH",0.00805325317161599,0.0231734596299045,0.347520538591638,0.728200291299181
"data$operatorSWAT-CASTLE",-0.0549886760706558,0.0537783630068539,-1.02250557652057,0.306541674658977
"data$operatorSWAT-PULSE",0.017806196060253,0.052507238620135,0.339118882047338,0.734520174551048
"data$operatorSWAT-RESERVE",-0.175591921413625,0.0736532796723166,-2.38403397913621,0.017124021166138
"data$operatorSWAT-THERMITE",-0.0368962173057028,0.0240519431933238,-1.53402230369246,0.125024165868966
"data$skillrankCopper",-0.0611766120530963,0.0107498268471595,-5.6909392981768,1.26342420233072e-08
"data$skillrankDiamond",0.357397124991792,0.0325817301275539,10.9692494411015,5.37164327362855e-28
"data$skillrankGold",0.0816178639755574,0.00810969118361326,10.0642382216079,7.95003909450224e-24
"data$skillrankPlatinum",0.117951066870435,0.010371859701592,11.3722196659033,5.75063114071398e-30
"data$skillrankSilver",0.0296946145953895,0.00885641354469332,3.35289385997363,0.000799713681835457
"data$skillrankUnranked",-0.144534564552716,0.0103951481012909,-13.9040409183558,5.98639165640769e-44
"data$roleDefender",0.286036326448406,0.0463836880610966,6.16674392238147,6.9710512388269e-10
"data$primaryweapontypeLight_Machine_Guns",-0.0412852879231288,0.0286140893305755,-1.44283074838288,0.14906815507845
"data$primaryweapontypeMarksman_Rifles",-0.0662417385653351,0.0211616958558541,-3.13026607208374,0.00174648036722822
"data$primaryweapontypeShield",-0.0792779526899456,0.0437397204015369,-1.81249335757436,0.0699099993682215
"data$primaryweapontypeShotguns",-0.0963120448219616,0.0200371412710865,-4.80667593839543,1.53460435971207e-06
"data$primaryweapontypeSubmachine_Guns",-0.0721859779913361,0.0201760941023391,-3.57779744806837,0.000346501798574888
"data$secondaryweapontypeShotguns",0.00144597255589642,0.0212020757593931,0.0681995749994344,0.94562676528681
"data$secondaryweapontypeSubmachine_Guns",0.0830427906799062,0.0224678631834435,3.69606980431946,0.000218962792505031
