"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.0840798936082056,0.00965444415040151,-8.70893158615546,3.06752339151528e-18
"data$gamemodeHOSTAGE",0.0268378909339822,0.00460353176859933,5.82984809989655,5.54778530040254e-09
"data$gamemodeSECURE_AREA",0.00772257943736257,0.00279979900826376,2.75826208044541,0.00581095885300896
"data$operatorBOPE-CAVEIRA",0.228274254233023,0.0221900596190228,10.2872303252999,8.04574058276938e-25
"data$operatorG.E.O.-JACKAL",0.0518210286413777,0.0134807100685065,3.84408746854082,0.000121001845415818
"data$operatorG.E.O.-MIRA",0.196632772185912,0.0243936857050065,8.06080616778447,7.57929282976451e-16
"data$operatorGIGN-DOC",0.191725121712373,0.0226877090695605,8.45061619595631,2.89769361140315e-17
"data$operatorGIGN-MONTAGNE",0.0130301057660041,0.0322610395669976,0.403896028797957,0.686289176720193
"data$operatorGIGN-RESERVE",-0.0512687672869747,0.0316539748595773,-1.61966285480456,0.105304719572896
"data$operatorGIGN-ROOK",0.332158685183082,0.0226144118037483,14.6879206085752,7.70418804844721e-49
"data$operatorGIGN-TWITCH",0.0543631041937672,0.0103187337472511,5.2683890800312,1.37626161726997e-07
"data$operatorGSG9-BANDIT",0.218818408098584,0.0221867338047422,9.86257869339079,6.04759089718225e-23
"data$operatorGSG9-BLITZ",0.0344832996973289,0.0341736563775277,1.00906087766496,0.312945439001322
"data$operatorGSG9-IQ",0.0341087719957118,0.0125220319358217,2.7239007351624,0.00645158940655166
"data$operatorGSG9-JAGER",0.204235773376529,0.0220669319960477,9.25528629956846,2.13657041704752e-20
"data$operatorGSG9-RESERVE",0.00390834411351385,0.0211640316738723,0.184669167658581,0.853488530838539
"data$operatorJTF2-BUCK",-0.00752640172688919,0.0123044757206124,-0.611680001471414,0.540749495835605
"data$operatorJTF2-FROST",0.322494993462584,0.0224134863978668,14.3884350581566,6.11642785686924e-47
"data$operatorNAVYSEAL-BLACKBEARD",0.00558212807718117,0.0127618619132511,0.437407026899816,0.661816188959551
"data$operatorNAVYSEAL-VALKYRIE",0.236372449102675,0.0222721855281467,10.6128987118914,2.59568903243167e-26
"data$operatorSAS-MUTE",0.213171219662844,0.0226063075174413,9.4297230761095,4.11173074392769e-21
"data$operatorSAS-RESERVE",-0.0687039905008931,0.023796202539681,-2.8871829606563,0.00388708125065653
"data$operatorSAS-SLEDGE",-0.00448083288653163,0.0139984185995853,-0.32009564899455,0.748895823885646
"data$operatorSAS-SMOKE",0.155835978103519,0.0243736654236156,6.39362095914101,1.62002729384109e-10
"data$operatorSAS-THATCHER",-0.0303425463819451,0.0123422044816627,-2.45843815235975,0.0139542809657981
"data$operatorSAT-ECHO",0.1949824684263,0.0258541027768884,7.54164513496866,4.64079188891971e-14
"data$operatorSAT-HIBANA",-0.012298549400152,0.0141963469875782,-0.86631789226575,0.386315856982481
"data$operatorSPETSNAZ-FUZE",0.0388228960633511,0.0109932657500858,3.5315161978185,0.000413184555389462
"data$operatorSPETSNAZ-GLAZ",0.0664524970708292,0.0163774641213292,4.05755717603954,4.9588679403825e-05
"data$operatorSPETSNAZ-KAPKAN",0.231236351074965,0.0229568586995556,10.072647747727,7.29862880681378e-24
"data$operatorSPETSNAZ-RESERVE",-0.0338646060721963,0.0324736046984415,-1.04283483113969,0.297024796423046
"data$operatorSPETSNAZ-TACHANKA",0.088715432867548,0.0282844862847787,3.13654036259765,0.00170953903855634
"data$operatorSWAT-ASH",0.0266210578944476,0.00997397367256357,2.66905235249185,0.00760655929625439
"data$operatorSWAT-CASTLE",0.176725429177824,0.0230556982874153,7.66515188456852,1.78619698566135e-14
"data$operatorSWAT-PULSE",0.1762324986463,0.0224874638683469,7.83692192583633,4.61724936155734e-15
"data$operatorSWAT-RESERVE",0.0054293953061556,0.0283442635549758,0.191551821257409,0.848093284601201
"data$operatorSWAT-THERMITE",0.00119060679076355,0.0106818116861771,0.11146112904277,0.911250688011682
"data$skillrankCopper",-0.0327003009894109,0.00446844009044095,-7.31805738189589,2.51586289337542e-13
"data$skillrankDiamond",0.267597675949491,0.0142007630668527,18.8438941407392,3.29785496054509e-79
"data$skillrankGold",0.0355142308911095,0.00380251465041341,9.33966970705777,9.66350994872062e-21
"data$skillrankPlatinum",0.0534744706296158,0.00474287475216027,11.2746959226067,1.7498213862628e-29
"data$skillrankSilver",0.0140057638258197,0.00416462714584719,3.363029470666,0.000770921333411246
"data$skillrankUnranked",-0.180803659310405,0.00574548165175056,-31.4688428698256,2.31899251962234e-217
"data$roleDefender",0.00244822986170366,0.0197680568470943,0.123847775258878,0.901435803784144
"data$primaryweapontypeLight_Machine_Guns",-0.0541565427163903,0.0135289879191252,-4.00300030128876,6.25442224988391e-05
"data$primaryweapontypeMarksman_Rifles",-0.0463365746263245,0.0120913052486536,-3.83222271487062,0.000126990695020445
"data$primaryweapontypeShield",-0.0718685609427799,0.0299661862440398,-2.39832190714874,0.0164703835705481
"data$primaryweapontypeShotguns",-0.0660572631586738,0.0102366690582275,-6.45300368537182,1.09654691206997e-10
"data$primaryweapontypeSubmachine_Guns",-0.0260385469500495,0.010170080934472,-2.56030872495719,0.0104579214419718
"data$secondaryweapontypeShotguns",-0.00875936499004363,0.010738947661681,-0.815663253607151,0.414692761258803
"data$secondaryweapontypeSubmachine_Guns",0.0406991617754948,0.0105171532806896,3.8697887811735,0.000108929684972053
