"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.113375038770495,0.00959471162655215,-11.8164092036643,3.21118883149208e-32
"data$gamemodeHOSTAGE",0.0257416578239044,0.00462887064269393,5.56110978485309,2.68064490792998e-08
"data$gamemodeSECURE_AREA",0.00856581687205131,0.0028245674656854,3.03261188699303,0.00242447199867997
"data$operatorBOPE-CAVEIRA",0.276248192253382,0.0217614417327397,12.6943883427435,6.35242931367192e-37
"data$operatorG.E.O.-JACKAL",0.0595144166583426,0.0133882458622379,4.44527365800813,8.77800566170882e-06
"data$operatorG.E.O.-MIRA",0.249092656543534,0.024041585826117,10.3609079012142,3.73400715402846e-25
"data$operatorGIGN-DOC",0.22719420023399,0.0222808627090214,10.1968313884902,2.04846755874889e-24
"data$operatorGIGN-MONTAGNE",0.038691835474165,0.0309755922307489,1.24910720627825,0.211625865254061
"data$operatorGIGN-RESERVE",0.0214150990843523,0.0314062673949077,0.681873424023149,0.495318991345035
"data$operatorGIGN-ROOK",0.369747845904952,0.0222316750879696,16.6315783422472,4.11607087729853e-62
"data$operatorGIGN-TWITCH",0.0697880130438225,0.0102331361548988,6.81980694749317,9.11629333582063e-12
"data$operatorGSG9-BANDIT",0.276223136850592,0.0218042096880486,12.6683397748645,8.85691029478555e-37
"data$operatorGSG9-BLITZ",0.0713827723952183,0.0325365577850327,2.19392514926873,0.0282407910604564
"data$operatorGSG9-IQ",0.0455886938116503,0.0122182290096212,3.73120308808678,0.000190567517230243
"data$operatorGSG9-JAGER",0.250720043837753,0.0215959573755901,11.6095822693715,3.68410988376878e-31
"data$operatorGSG9-RESERVE",0.0941036047044242,0.0206430168534322,4.55861686170052,5.14916100893355e-06
"data$operatorJTF2-BUCK",0.00411880065591671,0.0118433411560435,0.347773538028578,0.72801026420241
"data$operatorJTF2-FROST",0.386321036195655,0.0219864151994909,17.5708969693523,4.11612739017677e-69
"data$operatorNAVYSEAL-BLACKBEARD",0.0278723215588594,0.0121936599566049,2.28580439819153,0.0222657042719152
"data$operatorNAVYSEAL-VALKYRIE",0.279485590181117,0.0219057502600834,12.7585490961428,2.79355889757513e-37
"data$operatorSAS-MUTE",0.265827057843797,0.0221996256038179,11.9743937392386,4.83962347932377e-33
"data$operatorSAS-RESERVE",0.0148416468474661,0.0233194028653662,0.636450552921697,0.524482800130477
"data$operatorSAS-SLEDGE",0.0227225871554821,0.013979042333468,1.62547523739024,0.104061335987481
"data$operatorSAS-SMOKE",0.207691964017647,0.0241038722011399,8.61653937942077,6.90080701291474e-18
"data$operatorSAS-THATCHER",-0.0135161290917793,0.0128891690168326,-1.0486423968937,0.294342735065098
"data$operatorSAT-ECHO",0.25925562064953,0.0257990600314875,10.0490335823519,9.27727396028595e-24
"data$operatorSAT-HIBANA",0.0190896271349709,0.0144192952063841,1.3238946052314,0.185538050151431
"data$operatorSPETSNAZ-FUZE",0.0272619078807947,0.0105458585067063,2.58508189385041,0.00973558704408011
"data$operatorSPETSNAZ-GLAZ",0.0859052816592646,0.0164859927630425,5.2108042805795,1.88023726402234e-07
"data$operatorSPETSNAZ-KAPKAN",0.223077207937751,0.0226301699461734,9.85751359659905,6.36049191303212e-23
"data$operatorSPETSNAZ-RESERVE",0.0019431246810184,0.0321158211041271,0.0605036587642685,0.951754501918043
"data$operatorSPETSNAZ-TACHANKA",0.0845553263222188,0.0290703318482968,2.90864675241651,0.00362996763292976
"data$operatorSWAT-ASH",0.0414864408232359,0.00989830398624157,4.19126760310667,2.77400237200989e-05
"data$operatorSWAT-CASTLE",0.220364670829214,0.0226741320032022,9.7187698650644,2.50792891344186e-22
"data$operatorSWAT-PULSE",0.246247181051145,0.0219778464181641,11.2043362377684,3.88253066319196e-29
"data$operatorSWAT-RESERVE",0.0145224367829868,0.0275813754780135,0.526530549376093,0.598519632018568
"data$operatorSWAT-THERMITE",0.0141733541514204,0.011139050221834,1.27240239240854,0.203230184486399
"data$skillrankCopper",-0.0541404997439817,0.0044973534182329,-12.0383022433791,2.23508149876179e-33
"data$skillrankDiamond",0.230307898409132,0.0143509559428896,16.0482618249024,5.87874845356458e-58
"data$skillrankGold",0.0228522280615703,0.00384147527809533,5.94881560005791,2.700897056448e-09
"data$skillrankPlatinum",0.0350351678231371,0.00479356152202412,7.30879694819129,2.69544720931807e-13
"data$skillrankSilver",-0.0107345594886247,0.00420997474001673,-2.54979189936471,0.0107787236523667
"data$skillrankUnranked",-0.197502953712744,0.00576443551733341,-34.2623233652039,2.85845137194267e-257
"data$roleDefender",0.0436518344639691,0.0192630358469426,2.26609319583951,0.0234456777610587
"data$primaryweapontypeLight_Machine_Guns",-0.0457487301847446,0.012676176523019,-3.60903227417733,0.000307341375472096
"data$primaryweapontypeMarksman_Rifles",-0.0596283750146732,0.0121333835830175,-4.91440615939417,8.90519659657277e-07
"data$primaryweapontypeShield",-0.0890917252656046,0.0282606602735629,-3.15249977895766,0.00161878944149612
"data$primaryweapontypeShotguns",-0.0757121444505362,0.00981091755548066,-7.71713186074438,1.18976550733442e-14
"data$primaryweapontypeSubmachine_Guns",-0.0330440912947249,0.0097404108586887,-3.3924740726156,0.000692644867921657
"data$secondaryweapontypeShotguns",-0.000938512006283037,0.0106842036421433,-0.0878410818173778,0.930002985376633
"data$secondaryweapontypeSubmachine_Guns",0.0251251047389246,0.0106825045572525,2.35198633469028,0.0186734609447966
