"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.0154100876823044,0.0100880578850248,1.52755742065873,0.126622460340505
"data$gamemodeHOSTAGE",0.0284571449482189,0.00463436499679966,6.14046260229188,8.22815052586379e-10
"data$gamemodeSECURE_AREA",0.00889850099168591,0.00281096702941117,3.16563691376698,0.00154743817973383
"data$operatorBOPE-CAVEIRA",0.218980933801873,0.0224800818293945,9.74110928348749,2.01344314453027e-22
"data$operatorG.E.O.-JACKAL",0.0519612047642964,0.0140147393355268,3.70761121704041,0.00020922353851798
"data$operatorG.E.O.-MIRA",0.218036267725567,0.0242925212744362,8.97544825678565,2.82200333947235e-19
"data$operatorGIGN-DOC",0.160282509304749,0.0229702636157136,6.97782628820603,2.99781994126882e-12
"data$operatorGIGN-MONTAGNE",-0.0346339768860688,0.0315479260752502,-1.09782103595202,0.27228264394341
"data$operatorGIGN-RESERVE",-0.0843097880194697,0.0317559004453927,-2.65493299944206,0.00793241621645615
"data$operatorGIGN-ROOK",0.303346789285114,0.0228848701447941,13.2553423884784,4.20194782721291e-40
"data$operatorGIGN-TWITCH",0.0548201276161341,0.0107806608569937,5.08504333299482,3.67542145191607e-07
"data$operatorGSG9-BANDIT",0.214201883861188,0.0223489288168773,9.58443626610994,9.29639209520478e-22
"data$operatorGSG9-BLITZ",0.0164864058220218,0.0334218303485519,0.493282553650929,0.621812953891329
"data$operatorGSG9-IQ",0.0237136804065944,0.0132553808601706,1.78898521715424,0.0736171963365513
"data$operatorGSG9-JAGER",0.18338492046549,0.0223227261859131,8.21516686349968,2.11869438844306e-16
"data$operatorGSG9-RESERVE",0.0430261905319679,0.021349433943132,2.01533167795342,0.0438699078698314
"data$operatorJTF2-BUCK",-0.00469426619611451,0.0124891581002631,-0.375867304939923,0.707015548097847
"data$operatorJTF2-FROST",0.292513941691106,0.0227089294921394,12.8810097275769,5.75773117109573e-38
"data$operatorNAVYSEAL-BLACKBEARD",0.032711163436714,0.0131405930119004,2.48932170771062,0.0127987094891732
"data$operatorNAVYSEAL-VALKYRIE",0.215680831145615,0.0224920743106408,9.58919253808343,8.87770437175082e-22
"data$operatorSAS-MUTE",0.201872397266793,0.0227198147070013,8.88530121702903,6.37478135548065e-19
"data$operatorSAS-RESERVE",-0.0521971701707303,0.0240188545488164,-2.17317483082483,0.0297671613497373
"data$operatorSAS-SLEDGE",-0.0229762662366478,0.0144029759613581,-1.59524436465708,0.110657601431611
"data$operatorSAS-SMOKE",0.115401366753888,0.0246090259616563,4.68939188953258,2.74018159378337e-06
"data$operatorSAS-THATCHER",-0.0336278426492513,0.0113252684691488,-2.96927553998891,0.00298502801377302
"data$operatorSAT-ECHO",0.150546756569844,0.0264409120372709,5.69370513232049,1.24311700100083e-08
"data$operatorSAT-HIBANA",-0.0454450445305939,0.0146302854271916,-3.10623089048766,0.00189488695919643
"data$operatorSPETSNAZ-FUZE",0.017165571969707,0.0111940868632179,1.53344995259154,0.1251650289027
"data$operatorSPETSNAZ-GLAZ",0.0501541702613836,0.0176155003577992,2.84716126381151,0.00441110107011204
"data$operatorSPETSNAZ-KAPKAN",0.170200998165662,0.023264556085574,7.31589279157582,2.55675732951569e-13
"data$operatorSPETSNAZ-RESERVE",0.0255614943166956,0.0324306038741519,0.78819051337705,0.430585277287712
"data$operatorSPETSNAZ-TACHANKA",0.05315922907956,0.0293153034592493,1.81336103695654,0.0697761548949237
"data$operatorSWAT-ASH",0.02058779520909,0.010476160847424,1.96520419158632,0.0493906090303567
"data$operatorSWAT-CASTLE",0.139504878964588,0.0234309982389444,5.95385982030924,2.61891144298449e-09
"data$operatorSWAT-PULSE",0.178037176056669,0.0226153208852191,7.87241432302784,3.4786189250121e-15
"data$operatorSWAT-RESERVE",-0.0541037508182825,0.02857339401572,-1.89350102366266,0.0582912722187603
"data$operatorSWAT-THERMITE",-0.00156616014645422,0.0106880944697639,-0.146533149654021,0.883500522701373
"data$skillrankCopper",-0.0359303200346421,0.00446440762322541,-8.04817191148048,8.40398481260823e-16
"data$skillrankDiamond",0.263333844948186,0.0141387311236757,18.6249984277037,2.01498277040422e-77
"data$skillrankGold",0.0314966066687673,0.00381349900761852,8.25924081947946,1.46601888426363e-16
"data$skillrankPlatinum",0.0512255067283055,0.00475814779781243,10.7658502646464,4.98987996070339e-27
"data$skillrankSilver",0.00491975890222214,0.00417686164646032,1.17786015402052,0.238852362544879
"data$skillrankUnranked",-0.171956991363551,0.00574154487624825,-29.9496032983921,4.45254240190638e-197
"data$roleDefender",-0.160413121774905,0.019800577246367,-8.1014366287901,5.43139355294757e-16
"data$primaryweapontypeLight_Machine_Guns",-0.0594808342069722,0.0132698542996496,-4.48240296116459,7.38072074662538e-06
"data$primaryweapontypeMarksman_Rifles",-0.0624429868878144,0.0127250588204586,-4.9070882711695,9.24384369638261e-07
"data$primaryweapontypeShield",-0.0601479324333187,0.0287959574174228,-2.08876307050401,0.0367290562356356
"data$primaryweapontypeShotguns",-0.0723597804654504,0.0101761046386092,-7.1107543637975,1.1541038599744e-12
"data$primaryweapontypeSubmachine_Guns",-0.0347223659233255,0.0102492617041877,-3.38779191374716,0.000704576964439009
"data$secondaryweapontypeShotguns",-0.000947061162910533,0.0106600843921116,-0.0888418072573004,0.92920763164874
"data$secondaryweapontypeSubmachine_Guns",0.063595483222534,0.010653516415535,5.96943588783502,2.38075288417287e-09
