"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.180356747726137,0.0106197122888578,16.9832047065312,1.09348642241602e-64
"data$gamemodeHOSTAGE",0.0301360124857396,0.00459177038427363,6.56304866396466,5.27186327969589e-11
"data$gamemodeSECURE_AREA",0.0102198803455006,0.00279581314596165,3.65542323894661,0.000256758028184408
"data$operatorBOPE-CAVEIRA",0.209637769975101,0.0231626401148861,9.05068545447769,1.42073654730385e-19
"data$operatorG.E.O.-JACKAL",0.0610837654487272,0.0146615928989509,4.16624345456338,3.0966000615037e-05
"data$operatorG.E.O.-MIRA",0.146694751094719,0.0249871168786074,5.8708154208984,4.33656871317506e-09
"data$operatorGIGN-DOC",0.168411308797024,0.0236444252845839,7.12266450844241,1.05860282222361e-12
"data$operatorGIGN-MONTAGNE",-0.0431172530475667,0.0323728013449356,-1.33189749593024,0.182893874014164
"data$operatorGIGN-RESERVE",-0.0259159749095654,0.032368602419589,-0.800651649200693,0.423333341052041
"data$operatorGIGN-ROOK",0.318335129610613,0.023537392200547,13.5246558708919,1.11865902101278e-41
"data$operatorGIGN-TWITCH",0.0708178998400698,0.0113024670046277,6.26570286036441,3.7114747263751e-10
"data$operatorGSG9-BANDIT",0.182505757326238,0.0229701970495917,7.94532832836458,1.93677106885027e-15
"data$operatorGSG9-BLITZ",-0.0240864950315334,0.0344018287842057,-0.700151587365374,0.483832641966797
"data$operatorGSG9-IQ",0.0318876477498583,0.0140675407999284,2.26675352880588,0.0234052864173983
"data$operatorGSG9-JAGER",0.147478046288392,0.0230376560602174,6.40160812814046,1.53748868527137e-10
"data$operatorGSG9-RESERVE",0.0467468036897326,0.0221361719296214,2.11178354768643,0.0347050190756654
"data$operatorJTF2-BUCK",-0.0156373617700338,0.0132413058516161,-1.18095314353949,0.237621337876028
"data$operatorJTF2-FROST",0.295022110777938,0.0233895535321426,12.6134135212333,1.78108238575497e-36
"data$operatorNAVYSEAL-BLACKBEARD",-0.00162594855989505,0.0139670170692465,-0.11641344403274,0.907324881039566
"data$operatorNAVYSEAL-VALKYRIE",0.219693104902755,0.0231494572089718,9.49020544713296,2.30579368493461e-21
"data$operatorSAS-MUTE",0.180373875998135,0.0232798002651166,7.74808520451161,9.32885390400739e-15
"data$operatorSAS-RESERVE",-0.0761671022951045,0.0245629633465996,-3.10089223439113,0.00192938494519288
"data$operatorSAS-SLEDGE",-0.0127043124984709,0.0150616909205962,-0.843485141571874,0.398957172236537
"data$operatorSAS-SMOKE",0.131007745950579,0.0253987091529386,5.15804740948506,2.49538443126997e-07
"data$operatorSAS-THATCHER",0.0753107069022853,0.0113791631777619,6.61829923042704,3.6335495909165e-11
"data$operatorSAT-ECHO",0.164693165695993,0.0270894360428093,6.0796085025812,1.20476335705414e-09
"data$operatorSAT-HIBANA",-0.00554594800586818,0.01512169530686,-0.3667543812599,0.713802238387028
"data$operatorSPETSNAZ-FUZE",0.0251894331236795,0.0117080502727677,2.1514626719932,0.0314396990759832
"data$operatorSPETSNAZ-GLAZ",0.0815160312945437,0.0174822112148939,4.66279867532413,3.11937883205545e-06
"data$operatorSPETSNAZ-KAPKAN",0.157127028680685,0.0239970555201172,6.54776285152825,5.84053655055265e-11
"data$operatorSPETSNAZ-RESERVE",0.0165872027284981,0.0338464464942902,0.490072206879865,0.624082804364064
"data$operatorSPETSNAZ-TACHANKA",0.0375060564624076,0.0302105493470186,1.2414887273842,0.214425259899602
"data$operatorSWAT-ASH",0.0378749248827498,0.0110663807187769,3.42252140471594,0.000620432126684711
"data$operatorSWAT-CASTLE",0.169442676441649,0.0240899249756505,7.03375691758761,2.01045259611496e-12
"data$operatorSWAT-PULSE",0.175821487915569,0.0233805687802769,7.51998334890325,5.47832188498011e-14
"data$operatorSWAT-RESERVE",-0.0315013844280599,0.029042624086763,-1.08466040582117,0.278072090354995
"data$operatorSWAT-THERMITE",0.0633080666545577,0.0110484237930565,5.73005415436219,1.00398576789735e-08
"data$skillrankCopper",-0.0498310559980759,0.00443575741572783,-11.2339452607102,2.77791482772505e-29
"data$skillrankDiamond",0.261354344323335,0.0144615796846631,18.072323357628,5.26491139418722e-73
"data$skillrankGold",0.0244150604734909,0.00380782585161269,6.41181120800222,1.43800849707212e-10
"data$skillrankPlatinum",0.0488965375586236,0.00477434098620205,10.2415260451517,1.29182467544812e-24
"data$skillrankSilver",-0.00322527781779628,0.00415704358158704,-0.775858552958677,0.437832507100819
"data$skillrankUnranked",-0.19271604612154,0.00573677817979151,-33.5930796139905,2.11704950767655e-247
"data$roleDefender",-0.456383713859256,0.02035003142369,-22.4266834953369,2.16161955461972e-111
"data$primaryweapontypeLight_Machine_Guns",-0.0577450448966637,0.0137491598329555,-4.19989625535184,2.67037307523151e-05
"data$primaryweapontypeMarksman_Rifles",-0.0597052966368245,0.0126544764510608,-4.71811669710125,2.3803794603292e-06
"data$primaryweapontypeShield",-0.0432037746106963,0.0293494698196516,-1.47204616901693,0.141008410495332
"data$primaryweapontypeShotguns",-0.107845303603373,0.0106310308271982,-10.1443881930493,3.50970652381272e-24
"data$primaryweapontypeSubmachine_Guns",-0.0778116801721963,0.0107109339303731,-7.26469612061981,3.73877809725869e-13
"data$secondaryweapontypeShotguns",0.00082090946041452,0.0109359252884451,0.0750653866739463,0.940162687529027
"data$secondaryweapontypeSubmachine_Guns",0.0566645126189834,0.0109139267914278,5.19194545665174,2.08107976319137e-07
