"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.06356046941256,0.0105499342832225,6.02472657233895,1.69395751429824e-09
"data$gamemodeHOSTAGE",0.0266049253004075,0.00461510331026896,5.7647518401613,8.17780800867006e-09
"data$gamemodeSECURE_AREA",0.00713167720656959,0.00279313066383817,2.55329165187339,0.0106710100067545
"data$operatorBOPE-CAVEIRA",0.168038748507123,0.0230934966535383,7.27645323824866,3.42710830680865e-13
"data$operatorG.E.O.-JACKAL",0.0493625870912985,0.0146339171364214,3.3731629495457,0.000743099618525474
"data$operatorG.E.O.-MIRA",0.12444555277565,0.0252192671503814,4.93454278562445,8.03387335677136e-07
"data$operatorGIGN-DOC",0.111392376492052,0.0235161046578432,4.73685493889396,2.17060417435339e-06
"data$operatorGIGN-MONTAGNE",0.0540729107604909,0.0307768226127314,1.75693610223827,0.0789287011577794
"data$operatorGIGN-RESERVE",-0.0716899879994525,0.0325133102755302,-2.20494275704086,0.027458111647389
"data$operatorGIGN-ROOK",0.227733781914737,0.0234325157811133,9.71870814222566,2.50944940783222e-22
"data$operatorGIGN-TWITCH",0.0720893999620612,0.0113260165952851,6.36493857797026,1.95367901221329e-10
"data$operatorGSG9-BANDIT",0.136842988820085,0.0229517727933896,5.96219690966516,2.48868985124173e-09
"data$operatorGSG9-BLITZ",0.0618298464825865,0.0330267387282893,1.87211480344033,0.0611907223970952
"data$operatorGSG9-IQ",0.0189472235037654,0.0140014596158358,1.35323202177692,0.175981518308776
"data$operatorGSG9-JAGER",0.11705550644293,0.022959295289176,5.09839282820299,3.42549381152282e-07
"data$operatorGSG9-RESERVE",-0.0271001995769583,0.0221725540192518,-1.22224077359009,0.221616589026774
"data$operatorJTF2-BUCK",0.0122991291119449,0.0130106500972392,0.945312418674199,0.344499400142328
"data$operatorJTF2-FROST",0.234498195814469,0.0233284332306816,10.0520336490518,8.99908240419761e-24
"data$operatorNAVYSEAL-BLACKBEARD",0.0304448315677218,0.0139173458875452,2.18754580174422,0.0287027034454047
"data$operatorNAVYSEAL-VALKYRIE",0.159274402799644,0.0231094493140751,6.89217647010896,5.49451514807064e-12
"data$operatorSAS-MUTE",0.131499196887671,0.0232373157726607,5.65896673153544,1.52287069485658e-08
"data$operatorSAS-RESERVE",-0.101671122155631,0.0244162031948965,-4.16408404468399,3.12604958525539e-05
"data$operatorSAS-SLEDGE",-0.000379580370520131,0.0147601883489271,-0.0257164991087477,0.979483463823434
"data$operatorSAS-SMOKE",0.0745493279925357,0.0252164919277172,2.95637189368888,0.00311281511794633
"data$operatorSAS-THATCHER",0.0167145824818305,0.0119921740831878,1.39379084775489,0.163380772708837
"data$operatorSAT-ECHO",0.10451782539316,0.0268176464311884,3.89735265029106,9.72499563904271e-05
"data$operatorSAT-HIBANA",-0.0232607930348239,0.0148235471543966,-1.56917860432109,0.116606328168466
"data$operatorSPETSNAZ-FUZE",0.0506036158536834,0.0113614787790402,4.45396385785957,8.42992969538723e-06
"data$operatorSPETSNAZ-GLAZ",0.074154645712887,0.0175204035607414,4.23247361031387,2.31135040712159e-05
"data$operatorSPETSNAZ-KAPKAN",0.103167297431435,0.0239191947088784,4.3131593135592,1.60938059684857e-05
"data$operatorSPETSNAZ-RESERVE",-0.108884104324032,0.0334905142797492,-3.25119236493396,0.00114922071781258
"data$operatorSPETSNAZ-TACHANKA",-0.0185974331896526,0.0292397322269587,-0.636032951509248,0.524754944930661
"data$operatorSWAT-ASH",0.0452534103525744,0.0109493436657894,4.13297926650764,3.58091040219478e-05
"data$operatorSWAT-CASTLE",0.0754847663546577,0.0239518782641394,3.15151761887806,0.00162424363027302
"data$operatorSWAT-PULSE",0.128566600100211,0.0232205902118355,5.536749881348,3.08136099935751e-08
"data$operatorSWAT-RESERVE",-0.0350066201786752,0.0290947464230245,-1.20319385739593,0.228901311382862
"data$operatorSWAT-THERMITE",0.0273172353545108,0.0110899271628944,2.46324749957882,0.0137684836362935
"data$skillrankCopper",-0.0485777819178886,0.00446987431450112,-10.8678183098556,1.64077420107834e-27
"data$skillrankDiamond",0.236322808703899,0.0139949265022296,16.8863201008058,5.67329891354828e-64
"data$skillrankGold",0.0284693010209312,0.00380510846427327,7.48186320790424,7.32761978248309e-14
"data$skillrankPlatinum",0.0430445508093968,0.00474367697263122,9.07408979526718,1.14631564936256e-19
"data$skillrankSilver",0.00466281340596001,0.00416604191324375,1.11924303765093,0.26303646947435
"data$skillrankUnranked",-0.200069505477211,0.00575182458321301,-34.783659095085,4.29656448879941e-265
"data$roleDefender",-0.197563267082361,0.0203070168229787,-9.72881781723868,2.27218178859854e-22
"data$primaryweapontypeLight_Machine_Guns",-0.0630629259093878,0.0129438932504142,-4.87202147679716,1.10462157546095e-06
"data$primaryweapontypeMarksman_Rifles",-0.0344253773580826,0.0126356368376293,-2.7244671400782,0.00644053389715581
"data$primaryweapontypeShield",-0.112148292791018,0.0276878584379572,-4.05045023768521,5.11191800804488e-05
"data$primaryweapontypeShotguns",-0.0856963315117988,0.0105348543554832,-8.13455303890325,4.13460930793912e-16
"data$primaryweapontypeSubmachine_Guns",-0.0374593209902099,0.01057562059356,-3.54204471111802,0.000397038169848503
"data$secondaryweapontypeShotguns",-0.00114667199522607,0.0112396548592867,-0.102020214106364,0.918740630260744
"data$secondaryweapontypeSubmachine_Guns",0.0468314151747732,0.0106096588549012,4.41403590965975,1.01461117949147e-05
