"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.0720958580575473,0.00996574748750421,7.2343653246228,4.67711204865723e-13
"data$gamemodeHOSTAGE",0.0261153794657305,0.00490803699667772,5.32094185178477,1.03231397520659e-07
"data$gamemodeSECURE_AREA",0.00757284393260503,0.00293443604380019,2.58068120060233,0.00986055933548798
"data$operatorBOPE-CAVEIRA",0.178935460437298,0.0229774757418564,7.78742897816857,6.83864576976619e-15
"data$operatorG.E.O.-JACKAL",0.0550480480797474,0.0140064864514738,3.93018251011517,8.48814069899656e-05
"data$operatorG.E.O.-MIRA",0.107468402936302,0.0252677799435254,4.25317947110898,2.10756529552962e-05
"data$operatorGIGN-DOC",0.109102946514641,0.023508695252426,4.64096136953336,3.46791959086832e-06
"data$operatorGIGN-MONTAGNE",-0.0363097984325846,0.0319693067730657,-1.13577059053329,0.256052588423522
"data$operatorGIGN-RESERVE",-0.135996938627981,0.0330493744502607,-4.1149625640466,3.87242258080206e-05
"data$operatorGIGN-ROOK",0.256990295800732,0.0234350762216043,10.9660533369129,5.56487423321712e-28
"data$operatorGIGN-TWITCH",0.0632058071985931,0.0106742559735484,5.92133141225224,3.19345569028645e-09
"data$operatorGSG9-BANDIT",0.150894571053933,0.0229783746553043,6.56680784944469,5.14053104484127e-11
"data$operatorGSG9-BLITZ",-0.0177112603746278,0.0337467208453424,-0.524829077639768,0.599702015771881
"data$operatorGSG9-IQ",0.0341894339245317,0.0129778181173149,2.63445161701846,0.00842733134581678
"data$operatorGSG9-JAGER",0.127416400085289,0.0228251313371025,5.58228551693686,2.3737826102681e-08
"data$operatorGSG9-RESERVE",-0.017115816753349,0.0218011282261016,-0.785088577794655,0.432401636210307
"data$operatorJTF2-BUCK",-0.00532743549116157,0.0124389644295292,-0.428286094179563,0.668442841817929
"data$operatorJTF2-FROST",0.243222240663383,0.0231935341410347,10.4866399050875,9.95042582844048e-26
"data$operatorNAVYSEAL-BLACKBEARD",0.034671113661801,0.0129150522596063,2.68455078344824,0.00726273488240499
"data$operatorNAVYSEAL-VALKYRIE",0.151414120010385,0.0231026852356937,6.55396195142067,5.6030248748681e-11
"data$operatorSAS-MUTE",0.159216448675439,0.023337769730965,6.82226495979983,8.96161797074852e-12
"data$operatorSAS-RESERVE",-0.110231265653839,0.0246822420503345,-4.46601509818452,7.96899884384051e-06
"data$operatorSAS-SLEDGE",-0.0135617563211541,0.0145387880573667,-0.932798268166685,0.350924135573175
"data$operatorSAS-SMOKE",0.0947910584184661,0.0252855223136225,3.74882738203899,0.000177663311054551
"data$operatorSAS-THATCHER",-0.0171372527593963,0.0130458088804512,-1.3136213259322,0.18897366839583
"data$operatorSAT-ECHO",0.137583534828563,0.0269946505788816,5.09669626678541,3.45632203432086e-07
"data$operatorSAT-HIBANA",-0.0158035763573091,0.014916455017283,-1.05947266552262,0.289384571539134
"data$operatorSPETSNAZ-FUZE",0.0350532883732802,0.0109197848079476,3.2100713512017,0.00132702027650459
"data$operatorSPETSNAZ-GLAZ",0.0839050439330816,0.0172806278954268,4.85543953847224,1.2012000199595e-06
"data$operatorSPETSNAZ-KAPKAN",0.0892368261229055,0.023856275944197,3.74060169037456,0.000183580251791575
"data$operatorSPETSNAZ-RESERVE",-0.0243600820770106,0.0341932094312542,-0.712424556869597,0.476201913425903
"data$operatorSPETSNAZ-TACHANKA",0.00063857472193816,0.0304375335582753,0.020979844530292,0.983261733872363
"data$operatorSWAT-ASH",0.0305683126014825,0.0103178394646077,2.96266604131011,0.00304987267362386
"data$operatorSWAT-CASTLE",0.0926711816661928,0.0239156533489249,3.87491741555783,0.000106660865983104
"data$operatorSWAT-PULSE",0.114432345669441,0.0231654357141031,4.9397881862319,7.82074785621865e-07
"data$operatorSWAT-RESERVE",-0.0664543335298818,0.0292509466173045,-2.27186950218453,0.0230943934319159
"data$operatorSWAT-THERMITE",0.0102704218463667,0.0113533131457309,0.904618917362335,0.365667309864699
"data$skillrankCopper",-0.0470192406991334,0.00460483981882901,-10.210830897282,1.77339633812839e-24
"data$skillrankDiamond",0.232440087915351,0.01442784056627,16.1105251231261,2.15188664004573e-58
"data$skillrankGold",0.0195484451495933,0.00397930640599325,4.91252574070478,8.991057479486e-07
"data$skillrankPlatinum",0.0415594714878568,0.00494341072942081,8.40704399505281,4.20473386119485e-17
"data$skillrankSilver",-0.00470637119541409,0.00436065326497806,-1.07928122449281,0.280462380178915
"data$skillrankUnranked",-0.186434905232621,0.00639527732463148,-29.1519657035927,7.88824160625083e-187
"data$roleDefender",-0.207388797421072,0.020438488816112,-10.1469731586801,3.41800185577239e-24
"data$primaryweapontypeLight_Machine_Guns",-0.0680907849454463,0.0132426359836328,-5.14178484023898,2.72140671003658e-07
"data$primaryweapontypeMarksman_Rifles",-0.0708888564157855,0.0128591068716879,-5.51273561399997,3.53298752695727e-08
"data$primaryweapontypeShield",-0.0608838108563916,0.0292077135060425,-2.0845113686765,0.0371136772004356
"data$primaryweapontypeShotguns",-0.0947712262436486,0.0103157089043045,-9.18707837947067,4.03655639960849e-20
"data$primaryweapontypeSubmachine_Guns",-0.0342095972635386,0.0102527786046173,-3.336617182793,0.000848046696705308
"data$secondaryweapontypeShotguns",0.00330020623662277,0.011191514383999,0.294884688826493,0.768081968690972
"data$secondaryweapontypeSubmachine_Guns",0.0459517034835391,0.0110579338815144,4.15554153026332,3.24517988685851e-05
