"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.0272509767531621,0.0106876361938724,-2.54976650204337,0.0107795088383803
"data$gamemodeHOSTAGE",0.033043295854622,0.00459384763193275,7.19294554415159,6.34082375680603e-13
"data$gamemodeSECURE_AREA",0.0115789467449158,0.00281688602692679,4.11054853985285,3.94720289760939e-05
"data$operatorBOPE-CAVEIRA",0.177602229899649,0.0228529273253295,7.77153085779081,7.75431827106549e-15
"data$operatorG.E.O.-JACKAL",0.0200299929397254,0.0145339193297867,1.37815495498689,0.168155451374591
"data$operatorG.E.O.-MIRA",0.11632259162306,0.0247985786437306,4.69069591827061,2.72277370843738e-06
"data$operatorGIGN-DOC",0.11414726358573,0.0233283157202958,4.89307779242808,9.92711442616628e-07
"data$operatorGIGN-MONTAGNE",0.0054343442681868,0.0309320289715094,0.175686640963392,0.860540131025227
"data$operatorGIGN-RESERVE",-0.114603909914706,0.0317555784584332,-3.60893787731557,0.000307453217243921
"data$operatorGIGN-ROOK",0.241388218998713,0.0232397197312198,10.3868816745856,2.84502970966017e-25
"data$operatorGIGN-TWITCH",0.0567077448304769,0.0113654157036933,4.98950027952338,6.05356867486909e-07
"data$operatorGSG9-BANDIT",0.127248723803989,0.0227415377393715,5.5954318156634,2.20073326899845e-08
"data$operatorGSG9-BLITZ",-0.00211981345565607,0.0330199911185394,-0.0641978808548461,0.948812664748977
"data$operatorGSG9-IQ",0.00839697972042192,0.0138889167970391,0.604581325032634,0.545457218225361
"data$operatorGSG9-JAGER",0.14583450106872,0.0227528426662847,6.40950685624959,1.45991083174494e-10
"data$operatorGSG9-RESERVE",-0.029118225117041,0.0219712848786608,-1.32528549321762,0.185076478652093
"data$operatorJTF2-BUCK",-0.0149958311419428,0.0133369040511927,-1.12438622069878,0.26084921507377
"data$operatorJTF2-FROST",0.254689106927363,0.0231556465958848,10.9990064787319,3.86365188213152e-28
"data$operatorNAVYSEAL-BLACKBEARD",-0.00328605771172055,0.0138956846821224,-0.236480446044394,0.813059878836245
"data$operatorNAVYSEAL-VALKYRIE",0.176469496186757,0.022906981158079,7.70374301916767,1.32137450305661e-14
"data$operatorSAS-MUTE",0.138850660209581,0.0230599575128286,6.02128863994377,1.73033870084827e-09
"data$operatorSAS-RESERVE",-0.104207299247604,0.024162515842721,-4.3127669289867,1.61224052331855e-05
"data$operatorSAS-SLEDGE",-0.0369591266630824,0.0149812633636716,-2.46702335883805,0.0136241469636434
"data$operatorSAS-SMOKE",0.0723578180967625,0.0250895315057204,2.88398442514819,0.00392678173852313
"data$operatorSAS-THATCHER",0.0330350612013502,0.0116640543814306,2.83221083519146,0.00462273568029132
"data$operatorSAT-ECHO",0.128601777589542,0.0267254267101078,4.81196349021825,1.49454660532017e-06
"data$operatorSAT-HIBANA",-0.0445962019521732,0.0150586364880386,-2.96150331987872,0.00306141193040966
"data$operatorSPETSNAZ-FUZE",0.0402079744796467,0.011514404206619,3.4919717736271,0.000479468912480885
"data$operatorSPETSNAZ-GLAZ",0.0513214694809168,0.0180302709413599,2.84640589416711,0.00442157959242333
"data$operatorSPETSNAZ-KAPKAN",0.149118048759831,0.0236530048866686,6.30440189203519,2.89308907978213e-10
"data$operatorSPETSNAZ-RESERVE",-0.0653060192725513,0.0333278955256637,-1.95950023973951,0.0500542318350863
"data$operatorSPETSNAZ-TACHANKA",-0.0194044916013731,0.0296068524283908,-0.65540542171128,0.512206761699168
"data$operatorSWAT-ASH",0.0242328914447869,0.0110842525042394,2.18624498454168,0.0287976867511407
"data$operatorSWAT-CASTLE",0.128484445701885,0.0237970635310286,5.39917227746843,6.69490611732898e-08
"data$operatorSWAT-PULSE",0.153338995117346,0.0230158295326965,6.66232754720015,2.69524496734803e-11
"data$operatorSWAT-RESERVE",-0.0360824782466435,0.0288117581861386,-1.25235252960033,0.210441435692637
"data$operatorSWAT-THERMITE",0.0402111795680841,0.0111802958887146,3.59661139278732,0.000322389560603729
"data$skillrankCopper",-0.0422463324831791,0.00447676231096848,-9.43680489349897,3.84319733866569e-21
"data$skillrankDiamond",0.26520491912921,0.0142929782921388,18.5549095303023,7.44325886487507e-77
"data$skillrankGold",0.0352058721048408,0.00380071591474906,9.2629580569863,1.98845493571352e-20
"data$skillrankPlatinum",0.0518691561856262,0.00475290834628709,10.9131404198328,9.97497595081735e-28
"data$skillrankSilver",0.00466150398244131,0.00415087968787797,1.12301592263793,0.261430732056457
"data$skillrankUnranked",-0.193401899846865,0.00572349746669567,-33.7908596923903,2.68671241078097e-250
"data$roleDefender",-0.0471071580766207,0.0199941697781204,-2.35604471700395,0.0184706940648941
"data$primaryweapontypeLight_Machine_Guns",-0.0491088338544592,0.0131139816406395,-3.7447691479355,0.000180559721472664
"data$primaryweapontypeMarksman_Rifles",-0.0565150675954122,0.0129508092012497,-4.3638252032899,1.27807712624284e-05
"data$primaryweapontypeShield",-0.0837113132293639,0.0276549304702957,-3.02699416725269,0.00246998724400969
"data$primaryweapontypeShotguns",-0.0472538376438896,0.010478663427162,-4.50952909904535,6.49716827156458e-06
"data$primaryweapontypeSubmachine_Guns",-0.0185472894985656,0.0105194408548994,-1.7631440448593,0.0778761982748614
"data$secondaryweapontypeShotguns",-0.00401804601825446,0.0108769649826081,-0.369408748182898,0.71182307830523
"data$secondaryweapontypeSubmachine_Guns",0.0520770505708628,0.0107603923087032,4.83969813337958,1.30036492617528e-06
