"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.196176155548078,0.00973086219627146,20.1602028259373,2.18982591469935e-90
"data$gamemodeHOSTAGE",0.0290442957373013,0.0046293392678135,6.27396137052174,3.5197586956049e-10
"data$gamemodeSECURE_AREA",0.00822603180941714,0.00280486152245965,2.93277644673293,0.00335945692224625
"data$operatorBOPE-CAVEIRA",0.167790755371921,0.0223705179806913,7.50053063218056,6.35600011011571e-14
"data$operatorG.E.O.-JACKAL",0.0174741005623013,0.0145215588132196,1.20332126785135,0.228852022030853
"data$operatorG.E.O.-MIRA",0.122490872049667,0.0250462173134896,4.89059367794012,1.00532299089452e-06
"data$operatorGIGN-DOC",0.126292561203695,0.0228265765456444,5.53269829801936,3.15341616643725e-08
"data$operatorGIGN-MONTAGNE",-0.0340767679070686,0.0318129486212741,-1.07116030999656,0.284097354322065
"data$operatorGIGN-RESERVE",-0.113761088961716,0.0320162028128819,-3.55323489255084,0.000380524524529367
"data$operatorGIGN-ROOK",0.236733216195707,0.0227119013166543,10.42331123648,1.94076291759504e-25
"data$operatorGIGN-TWITCH",0.0726160242331617,0.0106152444518142,6.84073028772798,7.87904766102834e-12
"data$operatorGSG9-BANDIT",0.154422901800335,0.0222060730286271,6.9540842093629,3.5485960422164e-12
"data$operatorGSG9-BLITZ",-0.00613541115211,0.033734335058232,-0.181874376403718,0.855681313765976
"data$operatorGSG9-IQ",-0.00459937472525612,0.0132566345050838,-0.346948897436398,0.728629710716562
"data$operatorGSG9-JAGER",0.0995675408086633,0.0221104916431084,4.50318077118369,6.69438941898651e-06
"data$operatorGSG9-RESERVE",0.0180455846803391,0.0211544555554279,0.85303942864693,0.393637439361532
"data$operatorJTF2-BUCK",0.0232730320476921,0.0120975130354132,1.9237864823592,0.054381352494953
"data$operatorJTF2-FROST",0.235496469860852,0.022568601449152,10.4346948742675,1.72165980614338e-25
"data$operatorNAVYSEAL-BLACKBEARD",0.00195962846789357,0.0132930676579062,0.147417324452423,0.882802631977695
"data$operatorNAVYSEAL-VALKYRIE",0.148245560713076,0.0223996962483347,6.61819513396737,3.63610857284285e-11
"data$operatorSAS-MUTE",0.161981705024758,0.0224932968736855,7.20133228732057,5.96270371822081e-13
"data$operatorSAS-RESERVE",-0.0542175583767355,0.0237928130038292,-2.27873679198882,0.0226827162679033
"data$operatorSAS-SLEDGE",-0.0322958519039446,0.0141341717572575,-2.28494831240194,0.0223158587009493
"data$operatorSAS-SMOKE",0.0611947117248656,0.0244480074604131,2.50305518042539,0.0123126345651863
"data$operatorSAS-THATCHER",-0.00767367632982717,0.0115063589620139,-0.666907433981541,0.504831262162975
"data$operatorSAT-ECHO",0.119339490475738,0.0263295377514186,4.53253268638598,5.82806542298093e-06
"data$operatorSAT-HIBANA",-0.0306165805741123,0.0142537375980421,-2.14796858462708,0.0317162512072869
"data$operatorSPETSNAZ-FUZE",0.0239045353576678,0.010769223154802,2.21970842409451,0.0264385666389961
"data$operatorSPETSNAZ-GLAZ",0.0513845691678791,0.0161995908532909,3.17196709677643,0.00151410160632672
"data$operatorSPETSNAZ-KAPKAN",0.119130586606949,0.0230369662940353,5.17127928592726,2.32496772770398e-07
"data$operatorSPETSNAZ-RESERVE",-0.126240644068918,0.0328508401100056,-3.84284370342384,0.000121616923608002
"data$operatorSPETSNAZ-TACHANKA",0.0051370365048962,0.0305160297284773,0.168338953350225,0.866316630756809
"data$operatorSWAT-ASH",0.0375885412424816,0.0101253744794527,3.71231121562561,0.000205375237454615
"data$operatorSWAT-CASTLE",0.0768243393711792,0.0233642619809494,3.28811324893633,0.0010086125811515
"data$operatorSWAT-PULSE",0.136406378409523,0.0224442749375014,6.07755780881147,1.22026695857634e-09
"data$operatorSWAT-RESERVE",-0.0582157433505056,0.0284306656622295,-2.04763912467396,0.0405953727476323
"data$operatorSWAT-THERMITE",0.0108838128851574,0.0104217982511419,1.04433156571275,0.296332013455187
"data$skillrankCopper",-0.0477816770406416,0.00445927796346851,-10.7151151895174,8.64495769704007e-27
"data$skillrankDiamond",0.231280346313601,0.0140514002693006,16.459594195669,7.15787065756039e-61
"data$skillrankGold",0.0288014381301446,0.00381849239623473,7.54262026514564,4.60620982967324e-14
"data$skillrankPlatinum",0.0455714906802946,0.00478811223807727,9.51763208846465,1.77169935926493e-21
"data$skillrankSilver",0.00108263819602737,0.00417036405965387,0.259602802187304,0.795170174590657
"data$skillrankUnranked",-0.203701903682844,0.00575957028031852,-35.3675523986452,5.38733126556359e-274
"data$roleDefender",-0.434573704889195,0.0197701979523241,-21.981252081399,4.35290357951535e-107
"data$primaryweapontypeLight_Machine_Guns",-0.0605000442169793,0.0130542322500207,-4.63451569255507,3.57774094989058e-06
"data$primaryweapontypeMarksman_Rifles",-0.0578548859534654,0.0120364068366329,-4.80665756306803,1.53474535203507e-06
"data$primaryweapontypeShield",-0.0566341671240498,0.0289797950919767,-1.95426389124916,0.050670016819997
"data$primaryweapontypeShotguns",-0.0906890040994106,0.00989079746246152,-9.16902852814467,4.77300909783902e-20
"data$primaryweapontypeSubmachine_Guns",-0.0597425928422882,0.0100833293527258,-5.9248875795313,3.12511107685547e-09
"data$secondaryweapontypeShotguns",0.0197577525538383,0.0120063740596214,1.64560528063886,0.0998450512517949
"data$secondaryweapontypeSubmachine_Guns",0.0595114807701963,0.0105720208329145,5.62914902559741,1.8110087848019e-08
