"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.0269518594794776,0.0103730517953124,-2.59825748596543,0.00936982044563274
"data$gamemodeHOSTAGE",0.0265405475815212,0.00458199154522556,5.79236066229246,6.94039005396261e-09
"data$gamemodeSECURE_AREA",0.00809092190481243,0.00279213248812262,2.89775715845512,0.00375841477629044
"data$operatorBOPE-CAVEIRA",0.162696354307492,0.0228759728061501,7.11210647460428,1.14285036023926e-12
"data$operatorG.E.O.-JACKAL",0.0294594601199849,0.0143773443708534,2.04901957970116,0.0404602003764938
"data$operatorG.E.O.-MIRA",0.178362057428372,0.0247761518622704,7.19894107930397,6.06819639376834e-13
"data$operatorGIGN-DOC",0.108171284306973,0.023267751837107,4.64897876959747,3.33582542760323e-06
"data$operatorGIGN-MONTAGNE",0.0146978722974804,0.032190285300203,0.456593415075688,0.647963313111241
"data$operatorGIGN-RESERVE",-0.132091978705589,0.032206701768045,-4.10138174523195,4.10690375697992e-05
"data$operatorGIGN-ROOK",0.250154764097444,0.0231747542369279,10.7942790477939,3.66326240410168e-27
"data$operatorGIGN-TWITCH",0.0621567353132417,0.011070865662268,5.61444219534574,1.97197335358856e-08
"data$operatorGSG9-BANDIT",0.162826393990947,0.022687963486767,7.17677433172516,7.13753544204475e-13
"data$operatorGSG9-BLITZ",0.0414257474041204,0.0340722698080295,1.21582000957148,0.224053494659276
"data$operatorGSG9-IQ",0.000165177685363971,0.0137174024695806,0.0120414696390417,0.990392529461913
"data$operatorGSG9-JAGER",0.11967697836414,0.0226641927474147,5.28044301854921,1.2887189953452e-07
"data$operatorGSG9-RESERVE",0.0131923599116836,0.0218115797615284,0.604832848235621,0.545290065392781
"data$operatorJTF2-BUCK",-0.00989617831573771,0.0128716246258538,-0.768836771067758,0.44199021684076
"data$operatorJTF2-FROST",0.260358845777305,0.0229537757526609,11.3427458986621,8.05758395645482e-30
"data$operatorNAVYSEAL-BLACKBEARD",0.0198100316447882,0.0136588951821781,1.45033923905031,0.146963941898259
"data$operatorNAVYSEAL-VALKYRIE",0.167505656875831,0.0227863923511219,7.35112668537825,1.96543025497328e-13
"data$operatorSAS-MUTE",0.169740036148174,0.0229970029279365,7.38096336640351,1.57148246747925e-13
"data$operatorSAS-RESERVE",-0.0998212367338425,0.024222702728646,-4.12097848254535,3.7726666411243e-05
"data$operatorSAS-SLEDGE",-0.0199600035653612,0.0145537739093832,-1.37146582663982,0.170229789392369
"data$operatorSAS-SMOKE",0.0775653709217723,0.0248493271470718,3.12142741180469,0.00179976611303056
"data$operatorSAS-THATCHER",-0.0165636391736967,0.0115653104914668,-1.432182835551,0.152091502669802
"data$operatorSAT-ECHO",0.118091773499076,0.0264565301299736,4.46361533122159,8.05881886757189e-06
"data$operatorSAT-HIBANA",-0.029111918875784,0.0146718262938252,-1.98420553057093,0.0472329322671288
"data$operatorSPETSNAZ-FUZE",0.0109608511333603,0.0114214132089166,0.959675561409798,0.337218526632623
"data$operatorSPETSNAZ-GLAZ",0.050097956747345,0.0172530176923384,2.90372140345002,0.00368756135865764
"data$operatorSPETSNAZ-KAPKAN",0.17381466313036,0.023532039307647,7.38629835085639,1.50972826894066e-13
"data$operatorSPETSNAZ-RESERVE",-0.0816225836782255,0.0330837009591147,-2.46715395532972,0.0136191787627398
"data$operatorSPETSNAZ-TACHANKA",0.0259620356350047,0.0292251947088259,0.888344317075304,0.374355567905477
"data$operatorSWAT-ASH",0.0301721669269381,0.010751108546464,2.80642380239587,0.00500947587077594
"data$operatorSWAT-CASTLE",0.103772332790997,0.0237672460909355,4.36619086594867,1.26432011053132e-05
"data$operatorSWAT-PULSE",0.138156895878088,0.0229677558431722,6.01525446462627,1.79604342798845e-09
"data$operatorSWAT-RESERVE",-0.0544356202934786,0.0290972422663465,-1.87081716525549,0.061370427549897
"data$operatorSWAT-THERMITE",0.00447056668508537,0.0108731897075748,0.411155034108432,0.680958857663554
"data$skillrankCopper",-0.044083090278442,0.00443251522092252,-9.94538948684471,2.64138711474176e-23
"data$skillrankDiamond",0.249850661311216,0.0140608486374398,17.7692447841263,1.2232649922094e-70
"data$skillrankGold",0.035013518355409,0.0037749499558836,9.27522715919381,1.77240960546606e-20
"data$skillrankPlatinum",0.0517069343157575,0.00472794488455328,10.9364503136849,7.71621844070817e-28
"data$skillrankSilver",0.00450547948984132,0.00411935040318691,1.09373543128443,0.274071029979191
"data$skillrankUnranked",-0.179093299549995,0.00568806860381751,-31.4857840198688,1.35979482115449e-217
"data$roleDefender",-0.024628537829414,0.0200543419978348,-1.22809004813387,0.219413166460212
"data$primaryweapontypeLight_Machine_Guns",-0.0436899995962387,0.0133925869319357,-3.26225245490521,0.00110530661176021
"data$primaryweapontypeMarksman_Rifles",-0.0525766931878577,0.012559482599751,-4.18621489940197,2.83644814603534e-05
"data$primaryweapontypeShield",-0.084665343636853,0.0294525367546758,-2.87463671948094,0.00404492603315519
"data$primaryweapontypeShotguns",-0.0818083548368436,0.0100813191652841,-8.11484623148902,4.86400321130614e-16
"data$primaryweapontypeSubmachine_Guns",-0.042131079875792,0.0101725139472426,-4.14165860025313,3.44803318926693e-05
"data$secondaryweapontypeShotguns",0.00359537990501332,0.0109338200395962,0.328831084835206,0.742283366169741
"data$secondaryweapontypeSubmachine_Guns",0.0456794071235438,0.0105256835305647,4.33980434533292,1.42609631949429e-05
