"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.0572750762337939,0.00969033540028352,5.91053599982908,3.40996315594351e-09
"data$gamemodeHOSTAGE",0.032537594227078,0.00463126458209858,7.02563925042134,2.13088371215148e-12
"data$gamemodeSECURE_AREA",0.0103907652513467,0.00279909515535857,3.71218721573458,0.000205475907420488
"data$operatorBOPE-CAVEIRA",0.203189378559834,0.0222604653422225,9.12781361198388,6.98965892399757e-20
"data$operatorG.E.O.-JACKAL",0.0574297727931968,0.0137179589017223,4.18646631066861,2.83330964547623e-05
"data$operatorG.E.O.-MIRA",0.161660823756508,0.0243868680840448,6.62901128588442,3.37942747087717e-11
"data$operatorGIGN-DOC",0.149370851738908,0.0227584560035079,6.56331219112072,5.26255059634186e-11
"data$operatorGIGN-MONTAGNE",-0.0290584093627868,0.0295501612910654,-0.983358739621254,0.325430909748456
"data$operatorGIGN-RESERVE",-0.104703357243334,0.0319607663145281,-3.27599645806178,0.00105289881315919
"data$operatorGIGN-ROOK",0.286561093552678,0.0226800675442482,12.6349312229165,1.35512588000921e-36
"data$operatorGIGN-TWITCH",0.0592190596356651,0.0104110168826762,5.68811484055944,1.2844943457508e-08
"data$operatorGSG9-BANDIT",0.188645582366989,0.0222556277047261,8.47630922254012,2.32450419722099e-17
"data$operatorGSG9-BLITZ",-0.0167199853761448,0.0314065847454347,-0.532371969498377,0.594468395106061
"data$operatorGSG9-IQ",0.00818841837931106,0.012726481199123,0.643415744791684,0.519954369723957
"data$operatorGSG9-JAGER",0.139120167430125,0.0220587340958505,6.3068064933198,2.84851596356127e-10
"data$operatorGSG9-RESERVE",0.0164765805279309,0.0210776868012044,0.781707247257771,0.434386641543051
"data$operatorJTF2-BUCK",-0.00610511361613853,0.0120683424132365,-0.505878388853344,0.6129420243864
"data$operatorJTF2-FROST",0.295516307756121,0.0224766038448859,13.1477295144551,1.7536142312848e-39
"data$operatorNAVYSEAL-BLACKBEARD",0.0262464499246782,0.0124493781272925,2.10825389479807,0.035009033682963
"data$operatorNAVYSEAL-VALKYRIE",0.212910957438594,0.0223172161146923,9.54021130343522,1.42541584000046e-21
"data$operatorSAS-MUTE",0.17351635079495,0.0226414831437125,7.66364772544221,1.80725175758719e-14
"data$operatorSAS-RESERVE",-0.076793280399992,0.0238906561659282,-3.21436463974193,0.00130733537626597
"data$operatorSAS-SLEDGE",-0.00944490020995345,0.0139955831863791,-0.674848635042627,0.499771937215875
"data$operatorSAS-SMOKE",0.108639359930071,0.0244605138565045,4.44141773011781,8.93681145254421e-06
"data$operatorSAS-THATCHER",-0.0118815076134404,0.0124306934812096,-0.955820174586448,0.339163093869629
"data$operatorSAT-ECHO",0.159121148339775,0.0260029821921593,6.11934228020027,9.39623795154581e-10
"data$operatorSAT-HIBANA",-0.0101824917681369,0.0142184347388277,-0.716147167756139,0.47390048153309
"data$operatorSPETSNAZ-FUZE",0.0539141159129438,0.0104408144676444,5.16378449976495,2.42006298757141e-07
"data$operatorSPETSNAZ-GLAZ",0.0443425113652085,0.0166282212969101,2.66670202262994,0.00765995534103977
"data$operatorSPETSNAZ-KAPKAN",0.163025741411253,0.0230731747747854,7.06559643406373,1.59927576788524e-12
"data$operatorSPETSNAZ-RESERVE",-0.0684225823472715,0.0326592805053785,-2.0950425511059,0.0361672100852847
"data$operatorSPETSNAZ-TACHANKA",0.00375493102136281,0.0293429502282189,0.127967058259592,0.898175042365822
"data$operatorSWAT-ASH",0.0303645710999533,0.0100560422395673,3.01953495983524,0.00253163073545277
"data$operatorSWAT-CASTLE",0.135619267554924,0.0232482888213215,5.83351611799252,5.4271361962707e-09
"data$operatorSWAT-PULSE",0.145345310903923,0.0225021731001936,6.45916775489886,1.05280355491338e-10
"data$operatorSWAT-RESERVE",-0.0335757861666733,0.0284796572924948,-1.17893926257046,0.238422362078833
"data$operatorSWAT-THERMITE",0.0181553070336082,0.010882046317278,1.66837251967785,0.0952417999527391
"data$skillrankCopper",-0.0453473928435439,0.00443749993814023,-10.2191309241007,1.62793813942626e-24
"data$skillrankDiamond",0.268433047492728,0.0141733092614122,18.9393346706654,5.40761180830631e-80
"data$skillrankGold",0.0259496329997031,0.00380112078699068,6.82683725508425,8.68070753568767e-12
"data$skillrankPlatinum",0.0456960730450174,0.0047488743529311,9.62250622967375,6.42463635259047e-22
"data$skillrankSilver",-0.00626736257734,0.00415717123381124,-1.50760270021261,0.131656241257982
"data$skillrankUnranked",-0.187226505199526,0.00575142293276649,-32.5530755411633,1.89415595284801e-232
"data$roleDefender",-0.199249008351251,0.0197218879748145,-10.1029378427511,5.36115774456221e-24
"data$primaryweapontypeLight_Machine_Guns",-0.0553638437310802,0.0122977507626253,-4.50194875467301,6.7333218641388e-06
"data$primaryweapontypeMarksman_Rifles",-0.0525273597687273,0.0121299091443465,-4.33040009975748,1.48838659255608e-05
"data$primaryweapontypeShield",-0.047427864973308,0.0265795661219703,-1.78437318185208,0.0743630458424207
"data$primaryweapontypeShotguns",-0.087515386712645,0.0100535883446384,-8.70489060349451,3.17881220107036e-18
"data$primaryweapontypeSubmachine_Guns",-0.0607359685350176,0.010080559413498,-6.02505932891895,1.69047601488593e-09
"data$secondaryweapontypeShotguns",-0.00522761076808249,0.0108584089507122,-0.481434323556178,0.630207847027237
"data$secondaryweapontypeSubmachine_Guns",0.0376943942573519,0.0104873951495576,3.59425707907477,0.000325318505563731
