"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.0182495144187554,0.0104328418992515,1.74923712972825,0.0802500384263648
"data$gamemodeHOSTAGE",0.0295799799885587,0.00461947058651756,6.40332683898695,1.52027260128371e-10
"data$gamemodeSECURE_AREA",0.00968432496203553,0.002803609397704,3.45423473397059,0.000551856814957855
"data$operatorBOPE-CAVEIRA",0.181668623085046,0.0227246534063919,7.99434076446451,1.30269001206735e-15
"data$operatorG.E.O.-JACKAL",0.0292045790187736,0.0144265383097426,2.0243649856772,0.0429326116580973
"data$operatorG.E.O.-MIRA",0.178234256083766,0.024658017327566,7.22824766144162,4.89265888675454e-13
"data$operatorGIGN-DOC",0.154387012276552,0.023007107020256,6.71040527349333,1.94084606757208e-11
"data$operatorGIGN-MONTAGNE",0.0521895531863655,0.031558281682429,1.65375142130833,0.098178029997266
"data$operatorGIGN-RESERVE",-0.0561513199517073,0.0313210714147746,-1.79276497946427,0.0730105114291562
"data$operatorGIGN-ROOK",0.281798276841946,0.0229688500737665,12.2687150613516,1.33352786816705e-34
"data$operatorGIGN-TWITCH",0.0441564360790004,0.0111679210170871,3.95386357151347,7.68992678826679e-05
"data$operatorGSG9-BANDIT",0.197986198542109,0.0224902108025799,8.8032166652434,1.32949541380085e-18
"data$operatorGSG9-BLITZ",0.0880261627909213,0.033470310239038,2.6299774983338,0.0085390519917421
"data$operatorGSG9-IQ",-0.00729372520360708,0.0137664918432089,-0.529817275648561,0.59623862619288
"data$operatorGSG9-JAGER",0.171395389606019,0.0224631983048471,7.63005282150917,2.34657545500076e-14
"data$operatorGSG9-RESERVE",0.00665820576859229,0.0216457570830372,0.307598655156767,0.758387743654403
"data$operatorJTF2-BUCK",-0.00750225693391342,0.0131618927264089,-0.569998334575419,0.568678827665119
"data$operatorJTF2-FROST",0.259902489537797,0.0228414406683458,11.3785506488641,5.3481140197636e-30
"data$operatorNAVYSEAL-BLACKBEARD",0.0170091945399265,0.0133340538832187,1.27562065437076,0.20208964921795
"data$operatorNAVYSEAL-VALKYRIE",0.194730102932847,0.0226668444120543,8.59096658506594,8.62407138555015e-18
"data$operatorSAS-MUTE",0.192923014756845,0.022828035352364,8.45114403315774,2.88462123520073e-17
"data$operatorSAS-RESERVE",-0.0724474979908818,0.0240373813700735,-3.01395134833942,0.00257869154610326
"data$operatorSAS-SLEDGE",-0.0138155516709613,0.0148948293665613,-0.927540110125531,0.353646176432782
"data$operatorSAS-SMOKE",0.112862450390945,0.0249127780842156,4.53030368630197,5.88989618151098e-06
"data$operatorSAS-THATCHER",-0.0315383792773139,0.0117292299806923,-2.68887039722383,0.00716942482884455
"data$operatorSAT-ECHO",0.177406162474326,0.0263950030464247,6.72120257619583,1.80230814971213e-11
"data$operatorSAT-HIBANA",-0.00743046779115596,0.0150260231851342,-0.494506610272451,0.620948439119144
"data$operatorSPETSNAZ-FUZE",0.0631240273145468,0.0112784572592255,5.59686718348937,2.1825978201261e-08
"data$operatorSPETSNAZ-GLAZ",0.0592061520378036,0.0162738488195298,3.6381161392351,0.000274639581501775
"data$operatorSPETSNAZ-KAPKAN",0.172199216297433,0.0234014348015109,7.35848967202279,1.86002644775894e-13
"data$operatorSPETSNAZ-RESERVE",-0.0272093706996779,0.0328063569132282,-0.829393241427136,0.406881924633356
"data$operatorSPETSNAZ-TACHANKA",0.0295242777464724,0.0298021867281356,0.990674879524834,0.321844361131867
"data$operatorSWAT-ASH",0.0295163777983429,0.0108363152075508,2.72383898336363,0.00645279575531686
"data$operatorSWAT-CASTLE",0.122002910802965,0.0235365672229304,5.18354735622211,2.17704918309004e-07
"data$operatorSWAT-PULSE",0.14755889766361,0.0228460091546644,6.45884787424605,1.05503101389087e-10
"data$operatorSWAT-RESERVE",0.0215099725840999,0.0286271467872485,0.751383738797232,0.452421746221928
"data$operatorSWAT-THERMITE",-0.00311857394387898,0.0110701766335399,-0.28170950176445,0.778166268104219
"data$skillrankCopper",-0.0549940951947907,0.00448522242464021,-12.2611745835999,1.4636281550568e-34
"data$skillrankDiamond",0.255652683596356,0.0142030862697347,17.9997979834231,1.9553086502995e-72
"data$skillrankGold",0.0241946671239892,0.00381170654461554,6.34746322698081,2.18894277925533e-10
"data$skillrankPlatinum",0.0397166327820143,0.00474777636576778,8.36531245834946,5.9955825304056e-17
"data$skillrankSilver",-0.0110040734861139,0.00416315387417315,-2.64320604491216,0.00821250418811067
"data$skillrankUnranked",-0.190334879203256,0.00573570565665504,-33.1842131721689,1.81890345197104e-241
"data$roleDefender",-0.13748847743527,0.0198304631042434,-6.93319549384854,4.114389942147e-12
"data$primaryweapontypeLight_Machine_Guns",-0.0382745605714701,0.0131230781981144,-2.91658405091038,0.00353887359940363
"data$primaryweapontypeMarksman_Rifles",-0.0445060632856907,0.0117850290371396,-3.77649161028228,0.00015905291447765
"data$primaryweapontypeShield",-0.12299188218249,0.028354342366088,-4.33767359491253,1.43998791179272e-05
"data$primaryweapontypeShotguns",-0.0533892486414023,0.0105346064218786,-5.06798702327614,4.020448070429e-07
"data$primaryweapontypeSubmachine_Guns",-0.0268750519730398,0.0105981714546506,-2.53581970135486,0.0112184476340887
"data$secondaryweapontypeShotguns",-0.00242827288973868,0.0110200633567123,-0.220350175052272,0.825598446250597
"data$secondaryweapontypeSubmachine_Guns",0.0317905655491684,0.0108902515842483,2.91917641233839,0.00350957549798555
