"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.0108482613206081,0.00963927719671487,1.12542269500303,0.260409958461596
"data$gamemodeHOSTAGE",0.0285069659165943,0.00459120058512914,6.20904388471463,5.33079360383664e-10
"data$gamemodeSECURE_AREA",0.00877399005634835,0.00279187210934956,3.14269053620529,0.00167402721813509
"data$operatorBOPE-CAVEIRA",0.179785044700823,0.0224455423292175,8.00983295764682,1.14864351656028e-15
"data$operatorG.E.O.-JACKAL",0.0580018960050555,0.0137031307575354,4.23274775898639,2.30853374414657e-05
"data$operatorG.E.O.-MIRA",0.158421078982999,0.0246069025830057,6.43807478200893,1.20998386587909e-10
"data$operatorGIGN-DOC",0.131484765913493,0.0229800827083175,5.7216837546848,1.05473498411206e-08
"data$operatorGIGN-MONTAGNE",0.0329587091095399,0.030791479839589,1.07038405692878,0.284446472576207
"data$operatorGIGN-RESERVE",-0.127412428323707,0.0322060414791563,-3.95616544200777,7.61624250516321e-05
"data$operatorGIGN-ROOK",0.273704354218898,0.0228764475295117,11.9644605599627,5.45509518817025e-33
"data$operatorGIGN-TWITCH",0.0705798231022165,0.0103392486374111,6.82639769845882,8.70733353919514e-12
"data$operatorGSG9-BANDIT",0.175325283444036,0.0224403520298239,7.81294710577727,5.58660454438225e-15
"data$operatorGSG9-BLITZ",0.065574363711272,0.0324928455413805,2.01811699217791,0.0435790783972716
"data$operatorGSG9-IQ",0.0240687618430845,0.0127531273177815,1.88728311443467,0.0591222563495065
"data$operatorGSG9-JAGER",0.123957019707434,0.0222807734258312,5.56340739786549,2.64557279113884e-08
"data$operatorGSG9-RESERVE",0.0275421244243666,0.0214323922340172,1.28507000635478,0.198767821631594
"data$operatorJTF2-BUCK",0.0160496878189437,0.0121569650718721,1.32020514364052,0.186766535115107
"data$operatorJTF2-FROST",0.258146057969373,0.022685742329932,11.3792202262991,5.30721367563749e-30
"data$operatorNAVYSEAL-BLACKBEARD",0.0293388466279318,0.012805919535639,2.29103787090662,0.0219612234284327
"data$operatorNAVYSEAL-VALKYRIE",0.178665317274494,0.0225302349893427,7.93002458070266,2.19102514106009e-15
"data$operatorSAS-MUTE",0.180152844603756,0.0225527989819649,7.98804816855864,1.37091889219513e-15
"data$operatorSAS-RESERVE",-0.0573725039732563,0.0240321844367208,-2.38731955991449,0.0169717317680353
"data$operatorSAS-SLEDGE",-0.00610526116560281,0.0138648149557538,-0.440342059023959,0.659689382959644
"data$operatorSAS-SMOKE",0.0803819809578776,0.0244874592125175,3.28257743117702,0.00102862731567193
"data$operatorSAS-THATCHER",-0.0148864943612675,0.0115378937072432,-1.29022633931202,0.196972083545427
"data$operatorSAT-ECHO",0.117040644655448,0.0261007887048578,4.48418038163212,7.3194726513257e-06
"data$operatorSAT-HIBANA",-0.0269566656221688,0.0140318556259592,-1.921104830376,0.054718492773148
"data$operatorSPETSNAZ-FUZE",0.0363072115040732,0.0107351795257674,3.38207772091058,0.000719397879257905
"data$operatorSPETSNAZ-GLAZ",0.103621719499031,0.0170480605039234,6.07821162267597,1.21530301134689e-09
"data$operatorSPETSNAZ-KAPKAN",0.128475665271487,0.0232386704551852,5.52852907481292,3.22926912294934e-08
"data$operatorSPETSNAZ-RESERVE",-0.0444517346321926,0.0325583510278496,-1.36529440923374,0.172160535466842
"data$operatorSPETSNAZ-TACHANKA",0.0160073106169475,0.0291677726166296,0.548801268692732,0.583141839548072
"data$operatorSWAT-ASH",0.0438251681006163,0.0100031230653987,4.38114854871771,1.18055347222455e-05
"data$operatorSWAT-CASTLE",0.123539309673016,0.0233418261152175,5.29261545618642,1.20579295312018e-07
"data$operatorSWAT-PULSE",0.136251230062392,0.0226350356496823,6.01948378483352,1.74974183315507e-09
"data$operatorSWAT-RESERVE",-0.00310195615664889,0.0285745808071219,-0.108556488635374,0.913554273759405
"data$operatorSWAT-THERMITE",0.00277440072997409,0.0105684473669442,0.262517343716147,0.792922615757582
"data$skillrankCopper",-0.0519182575539732,0.00440415514248576,-11.7884715397809,4.47590298683956e-32
"data$skillrankDiamond",0.251180369654703,0.0141482879174003,17.7534109512847,1.62196652504646e-70
"data$skillrankGold",0.0209735857903109,0.00377350888203316,5.55811220961282,2.72708053908978e-08
"data$skillrankPlatinum",0.0397558690036037,0.00473036249225796,8.40440221413705,4.30046449092133e-17
"data$skillrankSilver",-0.0112446756126044,0.00413090523259955,-2.72208510712509,0.00648714334787164
"data$skillrankUnranked",-0.195611707534946,0.00570791671257283,-34.2702455878644,2.17838561907157e-257
"data$roleDefender",-0.0844858945663433,0.019994048312693,-4.22555218658287,2.38355576538935e-05
"data$primaryweapontypeLight_Machine_Guns",-0.0601940098889267,0.013079810451419,-4.60205521421731,4.18342260440261e-06
"data$primaryweapontypeMarksman_Rifles",-0.0921215137348654,0.0125805544644419,-7.32253208674077,2.43335106783706e-13
"data$primaryweapontypeShield",-0.0793135479439222,0.0283120956657448,-2.80140152393893,0.00508811675606592
"data$primaryweapontypeShotguns",-0.0793954669030241,0.00973033206586829,-8.15958452040139,3.36178966618609e-16
"data$primaryweapontypeSubmachine_Guns",-0.0623223202843679,0.00977872048335648,-6.37325919995784,1.85052734627359e-10
"data$secondaryweapontypeShotguns",0.00101516660218858,0.0109141835559439,0.0930135174092539,0.925892822438692
"data$secondaryweapontypeSubmachine_Guns",0.0631426441213075,0.0103460223675828,6.10308405278073,1.0404109245622e-09
