"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.0797960960813816,0.0103541881210596,-7.70664924650949,1.29164165106516e-14
"data$gamemodeHOSTAGE",0.0276458934938843,0.00460924751736869,5.99791905071453,1.99862100306702e-09
"data$gamemodeSECURE_AREA",0.00844034774149249,0.00279920693723627,3.01526394108821,0.00256755714783146
"data$operatorBOPE-CAVEIRA",0.257460445833155,0.0231297811487853,11.131123298444,8.85129812103237e-29
"data$operatorG.E.O.-JACKAL",0.0613198759603961,0.0141942767160597,4.32004230909615,1.55999288762117e-05
"data$operatorG.E.O.-MIRA",0.250529087296513,0.024837884413646,10.0865711074358,6.33436183157632e-24
"data$operatorGIGN-DOC",0.231601191974673,0.0236166114965844,9.80670711410772,1.05350343895039e-22
"data$operatorGIGN-MONTAGNE",0.0347798738231782,0.0295631904356988,1.17645874178654,0.239411610107324
"data$operatorGIGN-RESERVE",-0.0766210975688061,0.032926449608848,-2.32703794302245,0.0199632458789948
"data$operatorGIGN-ROOK",0.355868029922028,0.0235804016211463,15.0916865471407,1.83686353105418e-51
"data$operatorGIGN-TWITCH",0.105984900953959,0.0110867999631294,9.55955742923345,1.18261335326539e-21
"data$operatorGSG9-BANDIT",0.255715882477528,0.0230935925446933,11.0730230466584,1.69581577463343e-28
"data$operatorGSG9-BLITZ",0.0632251228732158,0.0312577473420858,2.02270247376684,0.0431038317066226
"data$operatorGSG9-IQ",0.0461561862371385,0.0139554144992436,3.30740346262308,0.000941651615424029
"data$operatorGSG9-JAGER",0.21814979891356,0.0229864172105538,9.49037846634925,2.30196958784131e-21
"data$operatorGSG9-RESERVE",0.0476890867990135,0.022243587471932,2.14394763700729,0.0320370826387197
"data$operatorJTF2-BUCK",0.0499816475599504,0.0130936349113689,3.81724768548057,0.000134948678973673
"data$operatorJTF2-FROST",0.350634440929821,0.0233530077722379,15.0145302202424,5.89782365555212e-51
"data$operatorNAVYSEAL-BLACKBEARD",0.0519051954114668,0.0134857104603721,3.84890329389694,0.000118647832859923
"data$operatorNAVYSEAL-VALKYRIE",0.257464687524704,0.0232419070012495,11.0776059602537,1.61123246207346e-28
"data$operatorSAS-MUTE",0.270267307276609,0.0233745240962127,11.5624731508608,6.38431429929446e-31
"data$operatorSAS-RESERVE",-0.0145864422950277,0.0245712307995154,-0.593639057564644,0.552753551844191
"data$operatorSAS-SLEDGE",0.0245680129831627,0.0146593084529698,1.67593260364103,0.09375139460818
"data$operatorSAS-SMOKE",0.162801764460655,0.0251688296118758,6.46838835858451,9.90536581462717e-11
"data$operatorSAS-THATCHER",-0.0026029293745831,0.0127051458317392,-0.204872058066475,0.837672086591429
"data$operatorSAT-ECHO",0.246738991700522,0.0266146833262082,9.27078442663836,1.84781899611204e-20
"data$operatorSAT-HIBANA",0.0207233840921029,0.0148902402656062,1.39174276052282,0.164000308643494
"data$operatorSPETSNAZ-FUZE",0.0588814260464233,0.011996180324228,4.90834786198601,9.18468376764012e-07
"data$operatorSPETSNAZ-GLAZ",0.161551854270737,0.0165773446676082,9.7453396493834,1.93131935635762e-22
"data$operatorSPETSNAZ-KAPKAN",0.268426716792284,0.0237741892495691,11.2906780531811,1.45906708833631e-29
"data$operatorSPETSNAZ-RESERVE",0.0745387257494909,0.0339843630353006,2.1933241965449,0.0282840295201915
"data$operatorSPETSNAZ-TACHANKA",0.125179853925714,0.0277902374889042,4.50445427016213,6.65437248989073e-06
"data$operatorSWAT-ASH",0.076094922341628,0.0107768840453906,7.06093913798532,1.65381024331062e-12
"data$operatorSWAT-CASTLE",0.193612760961527,0.0239737313396316,8.07603781900486,6.69051389626095e-16
"data$operatorSWAT-PULSE",0.200439504687511,0.0233067395045997,8.60006628760549,7.96700695014983e-18
"data$operatorSWAT-RESERVE",0.0386295182420112,0.0292269486262834,1.32170890420193,0.186265102476443
"data$operatorSWAT-THERMITE",0.0334283905207487,0.0113881003730237,2.9353789855887,0.00333140527086514
"data$skillrankCopper",-0.045350389434931,0.00440885031305334,-10.2862166358113,8.13086356931269e-25
"data$skillrankDiamond",0.271167618340132,0.0139727492668158,19.4068907386848,6.74894668078772e-84
"data$skillrankGold",0.0296094361083611,0.00377359896770253,7.84647132930191,4.27906521230336e-15
"data$skillrankPlatinum",0.0557168879712277,0.00470705338821154,11.8368931422716,2.51601608947098e-32
"data$skillrankSilver",0.00203843868875822,0.00413066096492092,0.493489711711851,0.621666607582796
"data$skillrankUnranked",-0.181376684721765,0.00572520963158377,-31.6803569464392,2.89715797124599e-220
"data$roleDefender",-0.0618913007400138,0.0204139204273344,-3.03181845742579,0.00243085353716975
"data$primaryweapontypeLight_Machine_Guns",-0.0697147603982341,0.0147905527215645,-4.713465528343,2.43538940461226e-06
"data$primaryweapontypeMarksman_Rifles",-0.0565523320136309,0.012687141037442,-4.45745277416992,8.2939301362624e-06
"data$primaryweapontypeShield",-0.0275797474687831,0.0271473195656923,-1.01592893552693,0.309663228605152
"data$primaryweapontypeShotguns",-0.0543213890804843,0.00960952961854805,-5.65286660604434,1.577937665928e-08
"data$primaryweapontypeSubmachine_Guns",-0.0432636949714154,0.0097396309970761,-4.44202608747738,8.91157524099375e-06
"data$secondaryweapontypeShotguns",0.00445608846224075,0.010531527073585,0.423118929582153,0.672208491958619
"data$secondaryweapontypeSubmachine_Guns",0.0390800355148604,0.0106771279752764,3.66016363251924,0.000252054234864853
