"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.0394218305265,0.0094303106683148,4.18033211344295,2.91083652565758e-05
"data$gamemodeHOSTAGE",0.02995315459852,0.00458867852076868,6.52762107063066,6.68224893132556e-11
"data$gamemodeSECURE_AREA",0.00825725317094418,0.00279314867268358,2.95625265196172,0.00311401890236689
"data$operatorBOPE-CAVEIRA",0.186611312116163,0.0219471510855457,8.50275789275743,1.85138766834687e-17
"data$operatorG.E.O.-JACKAL",0.0167312547836899,0.0135704456333461,1.2329185964665,0.217606136532709
"data$operatorG.E.O.-MIRA",0.130212324489716,0.0242178907735936,5.37669963528351,7.58635745932145e-08
"data$operatorGIGN-DOC",0.12058283090505,0.022477883783223,5.36450993643141,8.11692916959121e-08
"data$operatorGIGN-MONTAGNE",0.00199427262696093,0.0284462678062522,0.070106653025414,0.944108771385631
"data$operatorGIGN-RESERVE",-0.0675676191781839,0.0313908198395613,-2.15246430400743,0.0313608038013707
"data$operatorGIGN-ROOK",0.258580146388789,0.0223808678097997,11.5536246666703,7.07713962686408e-31
"data$operatorGIGN-TWITCH",0.054374925527751,0.010086438702441,5.3908943614154,7.01078808740181e-08
"data$operatorGSG9-BANDIT",0.175338475400458,0.0218919114759069,8.00928121755959,1.15380800096861e-15
"data$operatorGSG9-BLITZ",0.0140600029902492,0.0300342302137238,0.46813262368298,0.639689750653718
"data$operatorGSG9-IQ",-0.00900070264875773,0.0123592347063818,-0.728257279887253,0.46645610801384
"data$operatorGSG9-JAGER",0.155143727981088,0.0217426785012338,7.13544690330054,9.64731951302509e-13
"data$operatorGSG9-RESERVE",0.0398940333543992,0.0208228192643186,1.9158804986009,0.0553803082774654
"data$operatorJTF2-BUCK",-0.00878810891788813,0.0118467550795428,-0.741815700491991,0.458199006610467
"data$operatorJTF2-FROST",0.286636124136856,0.0220389753694104,13.0058734279771,1.13296990854778e-38
"data$operatorNAVYSEAL-BLACKBEARD",0.00655349417705337,0.0122073770826518,0.536847033779818,0.591373279964198
"data$operatorNAVYSEAL-VALKYRIE",0.181455761348051,0.0219691494949023,8.25957151368812,1.46196322133791e-16
"data$operatorSAS-MUTE",0.179030950853751,0.0221893334307006,8.06833388722027,7.12639407682838e-16
"data$operatorSAS-RESERVE",-0.0836766556297273,0.0234151463410899,-3.57361232814027,0.000352090098786476
"data$operatorSAS-SLEDGE",-0.0303865186250356,0.0137575920840013,-2.20870908510015,0.0271948821071669
"data$operatorSAS-SMOKE",0.0904927529559897,0.0240972430216147,3.75531561327657,0.000173123176900763
"data$operatorSAS-THATCHER",-0.0383826212947343,0.0116095613432149,-3.30612158030988,0.000945970317772164
"data$operatorSAT-ECHO",0.118138996202378,0.0256715746022867,4.60193805922038,4.18577697924824e-06
"data$operatorSAT-HIBANA",-0.0303374354360318,0.0140836152049595,-2.15409431417499,0.0312327763518873
"data$operatorSPETSNAZ-FUZE",0.022801823203412,0.0103147563760978,2.21060220639339,0.0270633958399283
"data$operatorSPETSNAZ-GLAZ",0.0513663303467338,0.0171496365037442,2.9951847863084,0.00274278625488983
"data$operatorSPETSNAZ-KAPKAN",0.149117922889391,0.0226889433384126,6.57227269975736,4.95529996022283e-11
"data$operatorSPETSNAZ-RESERVE",-0.0324585007219314,0.0323917617319142,-1.00206036925591,0.316314436974046
"data$operatorSPETSNAZ-TACHANKA",0.00978826977188622,0.0293935798587672,0.333007065451631,0.739128949803129
"data$operatorSWAT-ASH",0.0194150400100507,0.00976454193815234,1.98832061278693,0.0467762424958151
"data$operatorSWAT-CASTLE",0.0842931536058183,0.0227775120947144,3.70071820202781,0.000214990120884531
"data$operatorSWAT-PULSE",0.14596734770915,0.0220608920079465,6.61656598729424,3.67638808774122e-11
"data$operatorSWAT-RESERVE",-0.0230047684874613,0.0280437412405701,-0.820317385263166,0.412035198037719
"data$operatorSWAT-THERMITE",-0.00595952515996449,0.0104504014241898,-0.570267582848047,0.568496224235425
"data$skillrankCopper",-0.0457334609732023,0.00444803125014175,-10.2817310403889,8.5183714132054e-25
"data$skillrankDiamond",0.256637236003983,0.0139869820800599,18.348292328897,3.40651509748686e-75
"data$skillrankGold",0.0245409815882875,0.00379939520579624,6.4591810693577,1.05271094065478e-10
"data$skillrankPlatinum",0.0468593531162631,0.00474123452610336,9.88336536787498,4.91538195031353e-23
"data$skillrankSilver",0.00185633733673718,0.00415553875211709,0.446713999668863,0.655081572410764
"data$skillrankUnranked",-0.192581529974496,0.00569613532114084,-33.8091564046489,1.44679229169878e-250
"data$roleDefender",-0.168242775599118,0.0194989982476841,-8.6282778972556,6.22826029184357e-18
"data$primaryweapontypeLight_Machine_Guns",-0.0403822876263507,0.01253865192739,-3.22062434304743,0.00127911691036069
"data$primaryweapontypeMarksman_Rifles",-0.0629075706351511,0.0127355224433054,-4.93953592521988,7.83087159238844e-07
"data$primaryweapontypeShield",-0.0595951893105717,0.025679207933931,-2.32075652270513,0.0202999882318647
"data$primaryweapontypeShotguns",-0.066121893931914,0.00956974008528356,-6.90947646881203,4.86445548328532e-12
"data$primaryweapontypeSubmachine_Guns",-0.0237476342406883,0.00964554324176177,-2.46203180530771,0.0138152415042202
"data$secondaryweapontypeShotguns",0.00963376175372391,0.0110164043934251,0.87449238514461,0.381850165358095
"data$secondaryweapontypeSubmachine_Guns",0.0495492839455562,0.0104803045397303,4.7278477221456,2.26912255020624e-06
