"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.0606963519052246,0.00973605843152977,6.23418114548925,4.54147326329723e-10
"data$gamemodeHOSTAGE",0.0280597739038772,0.00464105332346494,6.04599256854222,1.48492940819155e-09
"data$gamemodeSECURE_AREA",0.00534189904125434,0.00279532938801819,1.91100879350809,0.0560034508548996
"data$operatorBOPE-CAVEIRA",0.177532827082217,0.0219401505442018,8.09168682432466,5.88440488480394e-16
"data$operatorG.E.O.-JACKAL",0.045564190885922,0.0135957058268575,3.35136634068035,0.000804138467586398
"data$operatorG.E.O.-MIRA",0.146089597155129,0.0241486669029334,6.04959262315981,1.45212558493123e-09
"data$operatorGIGN-DOC",0.127448069465539,0.0224959572866532,5.66537657595721,1.46701990630907e-08
"data$operatorGIGN-MONTAGNE",0.0337353640174646,0.0308876141991711,1.09219714413455,0.274746457496642
"data$operatorGIGN-RESERVE",-0.0797390696289164,0.0310751872969054,-2.56600447382845,0.01028775012727
"data$operatorGIGN-ROOK",0.278863774569112,0.02240307678114,12.4475658987998,1.44175387178336e-35
"data$operatorGIGN-TWITCH",0.0541500388170689,0.0103592482680565,5.22721701574084,1.72080482223953e-07
"data$operatorGSG9-BANDIT",0.173652051298332,0.0219312986048137,7.91800131982228,2.41358803980875e-15
"data$operatorGSG9-BLITZ",0.076489266798506,0.0323678228868671,2.36312670969108,0.0181214725537024
"data$operatorGSG9-IQ",0.0243451761896445,0.0126915078952491,1.91822566637317,0.0550824031049471
"data$operatorGSG9-JAGER",0.131717728800349,0.021819037516014,6.03682580882294,1.57175228495106e-09
"data$operatorGSG9-RESERVE",-0.00549762570517074,0.0209167539268126,-0.262833598578768,0.792678837786195
"data$operatorJTF2-BUCK",-0.0154070018742345,0.0120025145347095,-1.28364784143187,0.199265202149424
"data$operatorJTF2-FROST",0.243344850719643,0.0221511176108771,10.9856692106655,4.4790662630916e-28
"data$operatorNAVYSEAL-BLACKBEARD",0.00377042681405259,0.0128969065974482,0.292351253811407,0.770018074695565
"data$operatorNAVYSEAL-VALKYRIE",0.168341874151047,0.0220954186292522,7.6188587768226,2.55928275016018e-14
"data$operatorSAS-MUTE",0.16312030493652,0.0222807722192102,7.32112439064743,2.45901763389167e-13
"data$operatorSAS-RESERVE",-0.077443180037451,0.0234796341760548,-3.29831288923699,0.000972676821233067
"data$operatorSAS-SLEDGE",-0.0167362325200356,0.0138920851745312,-1.20473149349233,0.22830697399957
"data$operatorSAS-SMOKE",0.0915175985140653,0.0241004103189756,3.79734607431179,0.000146253537092056
"data$operatorSAS-THATCHER",-0.0443549908277924,0.0117635713681629,-3.77053782729923,0.000162896107845089
"data$operatorSAT-ECHO",0.149221608298756,0.0257951933255013,5.78486101715834,7.25723060173449e-09
"data$operatorSAT-HIBANA",-0.0125782196968264,0.0141216903252286,-0.89070213318269,0.373088990093247
"data$operatorSPETSNAZ-FUZE",0.0299346886450384,0.0110979779691605,2.69731015219369,0.00699021306479785
"data$operatorSPETSNAZ-GLAZ",0.0336333995965908,0.0176158366273982,1.90927063573469,0.0562271882893066
"data$operatorSPETSNAZ-KAPKAN",0.145876387610161,0.0227429830160906,6.41412727200098,1.41631851492442e-10
"data$operatorSPETSNAZ-RESERVE",-0.0141705524891769,0.0321724246105298,-0.440456467323231,0.659606535049929
"data$operatorSPETSNAZ-TACHANKA",-0.0417540786889727,0.0290581774489426,-1.43691319809502,0.150742659282916
"data$operatorSWAT-ASH",0.0218548803191928,0.0100730667899419,2.16963520394953,0.030034492274644
"data$operatorSWAT-CASTLE",0.098847384594742,0.0229447623821869,4.30805876078637,1.64693636410567e-05
"data$operatorSWAT-PULSE",0.129643092797861,0.0222077872835997,5.83773120402687,5.29164357269084e-09
"data$operatorSWAT-RESERVE",-0.0670240089645552,0.0280565911670115,-2.38888639626901,0.0168995270770411
"data$operatorSWAT-THERMITE",-0.0115671987709537,0.0105701301320022,-1.09432888966359,0.273810759199355
"data$skillrankCopper",-0.0468871216507675,0.00444232000561255,-10.5546474795893,4.83450873456242e-26
"data$skillrankDiamond",0.214755936732934,0.0139834516603974,15.3578631334026,3.13746534350569e-53
"data$skillrankGold",0.0273435818259494,0.00379381127658632,7.20741751038106,5.7022961599605e-13
"data$skillrankPlatinum",0.0411244682345093,0.0047472176250523,8.66285716868862,4.6008471706561e-18
"data$skillrankSilver",-0.0069576579442696,0.00414603130363228,-1.6781489175381,0.0933180311158226
"data$skillrankUnranked",-0.179670024614278,0.0057088678565596,-31.4720937896353,2.09325813956501e-217
"data$roleDefender",-0.175920150392341,0.0194282404341574,-9.0548678861854,1.36733207351685e-19
"data$primaryweapontypeLight_Machine_Guns",-0.0925540527918785,0.0135076632302426,-6.851966266427,7.28417361183861e-12
"data$primaryweapontypeMarksman_Rifles",-0.0605736115510822,0.0126474239608971,-4.78940310203576,1.67278149262577e-06
"data$primaryweapontypeShield",-0.129489966914457,0.0283668232414193,-4.56483850209159,4.99879009017902e-06
"data$primaryweapontypeShotguns",-0.0750856401553005,0.00950473717730853,-7.89981235194581,2.79323620344928e-15
"data$primaryweapontypeSubmachine_Guns",-0.0423221659599953,0.00954083460747293,-4.43589766526779,9.16894004110361e-06
"data$secondaryweapontypeShotguns",-0.00147756426896549,0.010731526104193,-0.137684449967295,0.89048980947257
"data$secondaryweapontypeSubmachine_Guns",0.0390945482249394,0.0103521496836305,3.77646666824751,0.00015906883519288
