"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.0575986080345009,0.0126160026796596,-4.56551964176144,4.98258538390375e-06
"data$gamemodeHOSTAGE",0.0385594454148316,0.00593115740381655,6.5011671061064,7.96992382825856e-11
"data$gamemodeSECURE_AREA",0.00445667971145343,0.00371486518371667,1.19968814238222,0.230260479908025
"data$operatorBOPE-CAVEIRA",0.284841830707154,0.0270249417152569,10.5399609630369,5.65223555887101e-26
"data$operatorG.E.O.-JACKAL",0.0303414268088373,0.0167109763049926,1.81565853814133,0.0694227679432625
"data$operatorG.E.O.-MIRA",0.237809572487419,0.0294709480018498,8.06928818416333,7.07091885830109e-16
"data$operatorGIGN-DOC",0.245728401085282,0.0277117220753095,8.86730894664321,7.4934792723766e-19
"data$operatorGIGN-MONTAGNE",-0.0412696580177582,0.0364858601168656,-1.13111374887614,0.258007218176718
"data$operatorGIGN-RESERVE",-0.0547160988764978,0.0373850516795327,-1.46358227201417,0.143308119296065
"data$operatorGIGN-ROOK",0.340821303464337,0.0276239847466509,12.3378761822426,5.66300069114035e-35
"data$operatorGIGN-TWITCH",0.0450573389890076,0.0134379618761034,3.3529890473296,0.000799438700602388
"data$operatorGSG9-BANDIT",0.271904675426128,0.0271410053871848,10.0182241426662,1.26760029830737e-23
"data$operatorGSG9-BLITZ",0.0111793505953959,0.0386534720564687,0.289219829438972,0.772413158280031
"data$operatorGSG9-IQ",0.0308517999967042,0.0162434388976858,1.89933918494929,0.0575198939248973
"data$operatorGSG9-JAGER",0.227781940841937,0.026539150214409,8.58286489965552,9.25390165358297e-18
"data$operatorGSG9-RESERVE",0.0443996444309585,0.0252216567539382,1.76037779215379,0.078343772179279
"data$operatorJTF2-BUCK",0.000920420081484428,0.0157164363745735,0.0585641718992677,0.953299248362329
"data$operatorJTF2-FROST",0.37600612837094,0.027446098322819,13.6998025711481,1.01800718159616e-42
"data$operatorNAVYSEAL-BLACKBEARD",-0.00642698082670214,0.0161719401608091,-0.397415570599081,0.69106103526503
"data$operatorNAVYSEAL-VALKYRIE",0.271484193250821,0.0272021168911803,9.98025978407746,1.85979211305701e-23
"data$operatorSAS-MUTE",0.251616669259864,0.0274931127548584,9.15198913645744,5.58947091399102e-20
"data$operatorSAS-RESERVE",-0.0379375695996316,0.0297784011468954,-1.27399618980507,0.20266476650761
"data$operatorSAS-SLEDGE",0.00242243199416726,0.0177589262532291,0.136406444828092,0.891499979065436
"data$operatorSAS-SMOKE",0.203739916420688,0.0298032535942595,6.83616356772304,8.13420657994124e-12
"data$operatorSAS-THATCHER",-0.029796013794921,0.0156545206718897,-1.90334884212869,0.0569950416218398
"data$operatorSAT-ECHO",0.261137709474079,0.0314160932224589,8.31222735509949,9.39222593749696e-17
"data$operatorSAT-HIBANA",-0.0101195965890152,0.017894655340201,-0.565509443832714,0.571727302647078
"data$operatorSPETSNAZ-FUZE",0.0326226919423127,0.0141046557729235,2.31290238255499,0.0207280068079744
"data$operatorSPETSNAZ-GLAZ",0.0688180235857438,0.0193761058496601,3.5516952745668,0.00038275785802948
"data$operatorSPETSNAZ-KAPKAN",0.274596198409413,0.0280380527469152,9.79369719031666,1.1983220803265e-22
"data$operatorSPETSNAZ-RESERVE",-0.041709176603027,0.0384913329059243,-1.08359917555901,0.278542556543164
"data$operatorSPETSNAZ-TACHANKA",0.152850258731307,0.0343009211580881,4.4561560905855,8.34422875260292e-06
"data$operatorSWAT-ASH",0.0241247327359168,0.0130434571982614,1.84956582976578,0.0643761515740579
"data$operatorSWAT-CASTLE",0.237190841598552,0.0279289330001461,8.49265675839858,2.01966119455388e-17
"data$operatorSWAT-PULSE",0.231957777430365,0.0275366521780544,8.4236012399222,3.65085335349896e-17
"data$operatorSWAT-RESERVE",-0.0533000349793652,0.0341764172111438,-1.55955595491694,0.118864851870874
"data$operatorSWAT-THERMITE",-0.00653757587634015,0.013816159617794,-0.473183290957375,0.636082417605094
"data$skillrankCopper",-0.0531657127045014,0.00603223529164388,-8.81360061968222,1.21189238921943e-18
"data$skillrankDiamond",0.223237604053592,0.0186090217631411,11.9962030726279,3.71972736744567e-33
"data$skillrankGold",0.0344895513739341,0.00495606376471199,6.95906126541502,3.42547534947128e-12
"data$skillrankPlatinum",0.0579415021704468,0.00611785368202042,9.47088720685317,2.77476784928514e-21
"data$skillrankSilver",0.000468266615197379,0.00541368522404517,0.086496830868102,0.931071475232626
"data$skillrankUnranked",-0.191696505928933,0.00690048312857077,-27.7801571798984,7.53451440006446e-170
"data$roleDefender",-0.0398994159119799,0.0232841628383994,-1.71358601934269,0.0866047829900215
"data$primaryweapontypeLight_Machine_Guns",-0.0485925281870249,0.0170280997213399,-2.85366711390161,0.00432177907587856
"data$primaryweapontypeMarksman_Rifles",-0.0606977682042443,0.013269575851785,-4.57420560251589,4.78030241903461e-06
"data$primaryweapontypeShield",-0.0323763922124015,0.0330072231055528,-0.980888095580352,0.326647928590918
"data$primaryweapontypeShotguns",-0.0789743026345402,0.0120402137609413,-6.55921100759314,5.40932149367057e-11
"data$primaryweapontypeSubmachine_Guns",-0.0353048598657813,0.0121152919040418,-2.91407422498861,0.00356745074519557
"data$secondaryweapontypeShotguns",0.00803153444484496,0.0128007396801031,0.627427371039253,0.530379130666135
"data$secondaryweapontypeSubmachine_Guns",0.0347146241104169,0.0129538921006729,2.67986052690786,0.00736528414523021
