"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.0999692958642053,0.0125999721088715,-7.93408866308666,2.12046576925494e-15
"data$gamemodeHOSTAGE",0.0329759439069666,0.0059394534699181,5.55201654057596,2.82392866487164e-08
"data$gamemodeSECURE_AREA",0.00378257352252262,0.0037500356856881,1.00867667392038,0.313129722171099
"data$operatorBOPE-CAVEIRA",0.230208847571709,0.0268068799547891,8.58767778868578,8.87447321879172e-18
"data$operatorG.E.O.-JACKAL",0.0334726715061224,0.0167628026380385,1.99684218855894,0.0458423289522455
"data$operatorG.E.O.-MIRA",0.19845573864179,0.0293170501806864,6.76929423044507,1.29412123897943e-11
"data$operatorGIGN-DOC",0.155818171706806,0.0275165200598734,5.66271357598127,1.48997749541352e-08
"data$operatorGIGN-MONTAGNE",-0.0111853641529319,0.0358517228067809,-0.311989585917928,0.755048437839118
"data$operatorGIGN-RESERVE",-0.0271134394333238,0.0381647484956479,-0.710431497705681,0.47743659656948
"data$operatorGIGN-ROOK",0.292602534824707,0.0274775310812644,10.6487927885274,1.76640864105426e-26
"data$operatorGIGN-TWITCH",0.0447717899244909,0.0134196742970654,3.33627992255234,0.000849076243893906
"data$operatorGSG9-BANDIT",0.202188100200827,0.0269825297161665,7.49329667483648,6.71648476381019e-14
"data$operatorGSG9-BLITZ",0.0127582765139586,0.0376736629779083,0.338652403442693,0.734871600513374
"data$operatorGSG9-IQ",0.0193813770639055,0.0160120425823131,1.21042502630577,0.226115843597536
"data$operatorGSG9-JAGER",0.156274981493717,0.0263891028024949,5.92195129418886,3.18143859037885e-09
"data$operatorGSG9-RESERVE",0.0368215659366304,0.0250576530361242,1.4694738523016,0.141704308901158
"data$operatorJTF2-BUCK",-0.0195857519906807,0.0153274547241852,-1.27782155244448,0.201312353274119
"data$operatorJTF2-FROST",0.324473666090389,0.0272215343482323,11.9197419932157,9.33973218607032e-33
"data$operatorNAVYSEAL-BLACKBEARD",0.000176021381521392,0.0157881633177016,0.0111489460793731,0.991104612335723
"data$operatorNAVYSEAL-VALKYRIE",0.220731128858041,0.027067470596189,8.15484875373319,3.49617124778032e-16
"data$operatorSAS-MUTE",0.205559740289874,0.0273370272565575,7.51946209661715,5.50020607686492e-14
"data$operatorSAS-RESERVE",-0.0524016573288091,0.029309021087316,-1.78790199688678,0.0737918206873356
"data$operatorSAS-SLEDGE",-0.0121600624791131,0.0177163797341428,-0.686374003131031,0.492477293660606
"data$operatorSAS-SMOKE",0.146528670314989,0.0296020667950733,4.94994729014582,7.42335835460967e-07
"data$operatorSAS-THATCHER",-0.0328600996705641,0.0161264171484256,-2.03765655868404,0.0415842914896531
"data$operatorSAT-ECHO",0.188352337097129,0.0313605598950075,6.0060259678946,1.90125753583013e-09
"data$operatorSAT-HIBANA",-0.0271850500590289,0.0180633092409123,-1.50498724771076,0.132327355337783
"data$operatorSPETSNAZ-FUZE",-0.00520633254515761,0.0137900280794744,-0.377543288175527,0.705769901057438
"data$operatorSPETSNAZ-GLAZ",0.0432045280838625,0.0196121556363031,2.20294642185527,0.0275985251673039
"data$operatorSPETSNAZ-KAPKAN",0.152988870533933,0.0279400048964892,5.47562074884091,4.35980545118396e-08
"data$operatorSPETSNAZ-RESERVE",0.00184230831235359,0.0378810807134436,0.0486339955897766,0.961210977447491
"data$operatorSPETSNAZ-TACHANKA",0.0365122989668248,0.0349432729834668,1.04490208985576,0.296068223812484
"data$operatorSWAT-ASH",0.0174746300094098,0.0130471159798558,1.33934810086688,0.180457376509125
"data$operatorSWAT-CASTLE",0.174671248219899,0.02777241414004,6.2893793582054,3.18737698116419e-10
"data$operatorSWAT-PULSE",0.182283818769773,0.0272261087869504,6.69518439804158,2.15399843118537e-11
"data$operatorSWAT-RESERVE",0.0130346204110589,0.0341714226636516,0.3814479876755,0.702870858697737
"data$operatorSWAT-THERMITE",-0.0143695526535492,0.0142909218660531,-1.00550214942276,0.314655114998124
"data$skillrankCopper",-0.0402750241968122,0.00606043028658673,-6.64557173208494,3.02042316046867e-11
"data$skillrankDiamond",0.194677249181609,0.0192722758599491,10.1014146225552,5.44509797260209e-24
"data$skillrankGold",0.0385329906707524,0.00497725853214426,7.7418101595281,9.80112594102236e-15
"data$skillrankPlatinum",0.0566175024635247,0.00617690416011807,9.16599982707883,4.90897688316615e-20
"data$skillrankSilver",0.00559741339252944,0.00544897547620647,1.02724143593069,0.304306791264262
"data$skillrankUnranked",-0.176329720457953,0.00697280777410125,-25.2881946800377,4.30775258295979e-141
"data$roleDefender",0.133844311783924,0.0230935279353785,5.79574988102527,6.80165704872876e-09
"data$primaryweapontypeLight_Machine_Guns",-0.0340024772600082,0.0163626314302385,-2.07805678475229,0.0377041293332458
"data$primaryweapontypeMarksman_Rifles",-0.0574667857047109,0.0133848182335576,-4.29343041511267,1.75933471128477e-05
"data$primaryweapontypeShield",-0.073079724402487,0.0319792961576395,-2.2852199136043,0.0222999361121342
"data$primaryweapontypeShotguns",-0.119857454773612,0.0117022288108464,-10.242275784466,1.28185092761485e-24
"data$primaryweapontypeSubmachine_Guns",-0.0633657365720652,0.0117610528012975,-5.38776057234218,7.13410017425109e-08
"data$secondaryweapontypeShotguns",-0.00796226790489849,0.0128439499726009,-0.619923615545363,0.535308077203377
"data$secondaryweapontypeSubmachine_Guns",0.0442136059914337,0.0129989836269542,3.40131253798597,0.000670631070187556
