"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.00589244341565625,0.0130361151210655,0.452009157707916,0.651262385206461
"data$gamemodeHOSTAGE",0.0306197708898638,0.00587371616036485,5.21301507493372,1.85795791338006e-07
"data$gamemodeSECURE_AREA",0.00615873369248233,0.0036976892876284,1.6655627916299,0.0958005273135407
"data$operatorBOPE-CAVEIRA",0.246429554690768,0.0273824671559012,8.99953803606262,2.26669435263111e-19
"data$operatorG.E.O.-JACKAL",0.0461553050260469,0.0172223987667564,2.67995798094853,0.00736314023207965
"data$operatorG.E.O.-MIRA",0.217061839932337,0.0294502447361578,7.37045963036894,1.70040752445118e-13
"data$operatorGIGN-DOC",0.186335243663342,0.0280311003345158,6.64744663747287,2.98221049486488e-11
"data$operatorGIGN-MONTAGNE",-0.0622530609512991,0.0351909727646059,-1.76900653948138,0.076892783274468
"data$operatorGIGN-RESERVE",-0.0798781127755579,0.0377412479402709,-2.11646718470922,0.0343050932815135
"data$operatorGIGN-ROOK",0.30143019000703,0.0279607004599249,10.780494946436,4.25589584074978e-27
"data$operatorGIGN-TWITCH",0.0512624426007198,0.0138725536811171,3.69524197051741,0.000219677476500591
"data$operatorGSG9-BANDIT",0.222050455543395,0.0273491586781133,8.1190963918424,4.696673857862e-16
"data$operatorGSG9-BLITZ",-0.0410740190265883,0.0372335008891695,-1.10314684479578,0.269963400475938
"data$operatorGSG9-IQ",0.00728887113132386,0.0168636163634356,0.432224676738254,0.665578125942976
"data$operatorGSG9-JAGER",0.189495659977648,0.0268867986055695,7.04790714422934,1.81628770260654e-12
"data$operatorGSG9-RESERVE",0.0249773351578218,0.0256279045353465,0.974614804084844,0.329751367439591
"data$operatorJTF2-BUCK",-0.0110728776203448,0.0158730382084324,-0.697590308480602,0.485433444208594
"data$operatorJTF2-FROST",0.313922250451808,0.0277860325932739,11.2978435981464,1.34479670684133e-29
"data$operatorNAVYSEAL-BLACKBEARD",0.00912844690000937,0.0164884508378202,0.553626716651335,0.579834337915123
"data$operatorNAVYSEAL-VALKYRIE",0.236657709785382,0.0274789094429717,8.61233995754196,7.15841927157589e-18
"data$operatorSAS-MUTE",0.215359179237411,0.0276563131712783,7.78698078459229,6.86293846163998e-15
"data$operatorSAS-RESERVE",-0.030262965399852,0.0300471604464654,-1.0071822079085,0.313847221497801
"data$operatorSAS-SLEDGE",-0.0199765759300979,0.0180404169143072,-1.10732340749039,0.26815412757437
"data$operatorSAS-SMOKE",0.135871807165563,0.0300421179306112,4.52271066505327,6.1052671520805e-06
"data$operatorSAS-THATCHER",-0.0231194723970344,0.0147182171003404,-1.57080658882928,0.116227581158188
"data$operatorSAT-ECHO",0.149991594548174,0.031831763279791,4.71201024051971,2.45285050533653e-06
"data$operatorSAT-HIBANA",-0.0316386730350675,0.0181602171597399,-1.74219684471662,0.0814740059248111
"data$operatorSPETSNAZ-FUZE",0.00829496907909934,0.0142721648034313,0.581199081803277,0.561106286437384
"data$operatorSPETSNAZ-GLAZ",0.0324597869362469,0.0205346715468769,1.58073075881185,0.113939612281158
"data$operatorSPETSNAZ-KAPKAN",0.202379221301635,0.0283906602267524,7.12837319334102,1.01562103029802e-12
"data$operatorSPETSNAZ-RESERVE",-0.0347372869788394,0.0383298930133016,-0.906271430676433,0.364792203206588
"data$operatorSPETSNAZ-TACHANKA",0.0652893267744617,0.0350583136229324,1.86230654094424,0.0625598940297073
"data$operatorSWAT-ASH",0.0392991098439862,0.0135358224421922,2.90334111664231,0.00369204254369303
"data$operatorSWAT-CASTLE",0.150064704483926,0.0283629287770998,5.29087477754018,1.21732695756059e-07
"data$operatorSWAT-PULSE",0.194515792047617,0.0276759415584675,7.02833512047595,2.09012413013198e-12
"data$operatorSWAT-RESERVE",-0.0351793149507181,0.0344259960193396,-1.02188226975206,0.306836625069636
"data$operatorSWAT-THERMITE",0.00050216044091685,0.0137846180711168,0.0364290427435953,0.970940256782709
"data$skillrankCopper",-0.0419551502105928,0.00597525801083106,-7.02147926240888,2.19531404252044e-12
"data$skillrankDiamond",0.239582827446808,0.0185176465529729,12.9380818864557,2.74394989471267e-38
"data$skillrankGold",0.0420761261773639,0.00491810993824775,8.55534477790771,1.1751696062399e-17
"data$skillrankPlatinum",0.0600708863227263,0.00609044966052387,9.86312828625519,6.01456969004419e-23
"data$skillrankSilver",0.00507706430316091,0.00537860009359952,0.943937867625177,0.34520139968694
"data$skillrankUnranked",-0.16975833909878,0.00688723753832542,-24.6482480318307,3.84279701685253e-134
"data$roleDefender",-0.13592695325484,0.0233985271236076,-5.809209807813,6.27683891518912e-09
"data$primaryweapontypeLight_Machine_Guns",-0.0201517383761116,0.0167186993118881,-1.2053412768649,0.228071581089267
"data$primaryweapontypeMarksman_Rifles",-0.0353539646332279,0.0137800039199176,-2.56559902585568,0.010299781672109
"data$primaryweapontypeShield",-0.0114418746402212,0.0312203830709128,-0.366487323817667,0.7140014697933
"data$primaryweapontypeShotguns",-0.0865929430695605,0.0118245409497691,-7.32315473703452,2.42208238278048e-13
"data$primaryweapontypeSubmachine_Guns",-0.0427197153746449,0.0120131810611631,-3.55607021630196,0.000376443506146032
"data$secondaryweapontypeShotguns",-0.000837969577261053,0.012684518077059,-0.0660623897707702,0.9473281540261
"data$secondaryweapontypeSubmachine_Guns",0.0628442303155496,0.0128838466546002,4.87775367095906,1.07300807290508e-06
