"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.165921364489077,0.013611970548865,12.1893713987584,3.54142501984302e-34
"data$gamemodeHOSTAGE",0.0356544044258717,0.00594171868770377,6.00068874005387,1.96482315221523e-09
"data$gamemodeSECURE_AREA",0.00513759442849622,0.00370632252862415,1.38617035857464,0.165694890262425
"data$operatorBOPE-CAVEIRA",0.200551429872505,0.0282926965197172,7.08845230544714,1.3562010293975e-12
"data$operatorG.E.O.-JACKAL",0.0431409302808651,0.0179469457122103,2.4038034645368,0.0162254938137715
"data$operatorG.E.O.-MIRA",0.127361193878265,0.0303619473622962,4.19476367436246,2.73156232917425e-05
"data$operatorGIGN-DOC",0.146187845865803,0.0289760666477891,5.0451238825045,4.53227618449083e-07
"data$operatorGIGN-MONTAGNE",-0.00297255056115525,0.0365017264810809,-0.0814358894145992,0.935095308256381
"data$operatorGIGN-RESERVE",-0.0804938335417787,0.039138457516532,-2.05664297086257,0.0397205815960375
"data$operatorGIGN-ROOK",0.259849443411647,0.0288647632711507,9.00230640974485,2.21024687740322e-19
"data$operatorGIGN-TWITCH",0.0664698437326584,0.014465928942346,4.59492397602491,4.32907071249152e-06
"data$operatorGSG9-BANDIT",0.156403918547376,0.0281591647634222,5.55428116783277,2.78756482584152e-08
"data$operatorGSG9-BLITZ",0.00977807329058581,0.0387894578414521,0.252080689824351,0.800978695387782
"data$operatorGSG9-IQ",-0.00121659464381903,0.0178172355765546,-0.0682818969638552,0.945561234621712
"data$operatorGSG9-JAGER",0.113271917156399,0.0278187752658398,4.07177943938788,4.66553470764205e-05
"data$operatorGSG9-RESERVE",0.0279340494368743,0.0264935803303503,1.05437049611878,0.291713324659663
"data$operatorJTF2-BUCK",0.0130872783293979,0.016677580486609,0.78472284033683,0.43261608820381
"data$operatorJTF2-FROST",0.275076039068951,0.0287161853214379,9.57912884284093,9.78669102784888e-22
"data$operatorNAVYSEAL-BLACKBEARD",-0.000583113826989027,0.0174245415830134,-0.0334650885482971,0.973303705531822
"data$operatorNAVYSEAL-VALKYRIE",0.184333348298217,0.028378461507134,6.49553705551928,8.27377185538258e-11
"data$operatorSAS-MUTE",0.156701397363786,0.0284409049718281,5.50971910067579,3.59406778297383e-08
"data$operatorSAS-RESERVE",-0.0599084972337007,0.0309512369785408,-1.93557683252649,0.0529195501048399
"data$operatorSAS-SLEDGE",-0.00641254082169483,0.018849723032379,-0.340192840535626,0.733711309433636
"data$operatorSAS-SMOKE",0.114304993448043,0.031011234760572,3.68592203214595,0.000227876113030306
"data$operatorSAS-THATCHER",0.0585056711135892,0.0146499252204637,3.99358155302156,6.50826793329813e-05
"data$operatorSAT-ECHO",0.144653212282401,0.0327979197074896,4.41043863673368,1.03161437385594e-05
"data$operatorSAT-HIBANA",0.00458899720105007,0.0187293632130547,0.245016189223746,0.806443896167759
"data$operatorSPETSNAZ-FUZE",0.0214611784319421,0.0148669277315614,1.44355167519793,0.148865126680372
"data$operatorSPETSNAZ-GLAZ",0.065641968064636,0.0205315188849428,3.19713161176672,0.00138801579995394
"data$operatorSPETSNAZ-KAPKAN",0.127958098466062,0.0293711894680793,4.3565855106116,1.32107096527066e-05
"data$operatorSPETSNAZ-RESERVE",-0.0314852024003222,0.0398073920514553,-0.790938586472185,0.428979829981829
"data$operatorSPETSNAZ-TACHANKA",0.0576080205351402,0.0358937295593191,1.6049605667178,0.108502483078748
"data$operatorSWAT-ASH",0.0265515435687992,0.0142194019867701,1.86727568385106,0.0618630992730002
"data$operatorSWAT-CASTLE",0.148108007705433,0.0292840255276463,5.05763825282858,4.24480675109632e-07
"data$operatorSWAT-PULSE",0.151969041462086,0.0287009640131294,5.29491070030144,1.19074584724592e-07
"data$operatorSWAT-RESERVE",-0.068016124076354,0.0356942133279862,-1.90552242884215,0.0567121947775159
"data$operatorSWAT-THERMITE",0.0575243321294151,0.0141551662717908,4.06384008671468,4.82719037370167e-05
"data$skillrankCopper",-0.0479947043229203,0.00602578180806898,-7.96489249887073,1.65367476062682e-15
"data$skillrankDiamond",0.259521554461941,0.0194882380317392,13.3168300817794,1.8478825499673e-40
"data$skillrankGold",0.0446531561251183,0.00491277115237198,9.08919930120475,9.97710832543914e-20
"data$skillrankPlatinum",0.0685854031252566,0.00611015218717658,11.224827307771,3.0798755088179e-29
"data$skillrankSilver",0.0152745166458524,0.00537599440003394,2.84124489522458,0.00449377890383138
"data$skillrankUnranked",-0.186576853675565,0.0068939622302873,-27.0638056088958,2.62758112786768e-161
"data$roleDefender",-0.400987679729994,0.0241530040001479,-16.6019796016901,6.74298934449921e-62
"data$primaryweapontypeLight_Machine_Guns",-0.0834582660283333,0.0173351351193674,-4.81439951022308,1.47643175301465e-06
"data$primaryweapontypeMarksman_Rifles",-0.0518516042412289,0.0138793339909069,-3.73588561779691,0.000187055686313878
"data$primaryweapontypeShield",-0.0581817922436649,0.0321995468444461,-1.80691338684787,0.0707757849314137
"data$primaryweapontypeShotguns",-0.113217974194809,0.0124532596950513,-9.09143284306515,9.77423273547236e-20
"data$primaryweapontypeSubmachine_Guns",-0.0724790442067046,0.0126541700676889,-5.72768058426621,1.01813034609651e-08
"data$secondaryweapontypeShotguns",-0.000361439535342723,0.012997397648238,-0.0278086079325058,0.977814800481596
"data$secondaryweapontypeSubmachine_Guns",0.0347121161886739,0.0132081450230307,2.62808411992352,0.00858672789339221
