"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.0528829362936454,0.00818081808526376,6.46426014397073,1.01795620414921e-10
"data$gamemodeHOSTAGE",0.0351036445283324,0.00352131870937394,9.9688916072506,2.08543054947755e-23
"data$gamemodeSECURE_AREA",0.00648139362006699,0.0022097656262956,2.93306835029932,0.00335629994414773
"data$operatorBOPE-CAVEIRA",0.189766385697071,0.0168363985657394,11.2711982290102,1.8207501824624e-29
"data$operatorG.E.O.-JACKAL",0.0712381097261736,0.0107582412369853,6.62172451397232,3.5503226365199e-11
"data$operatorG.E.O.-MIRA",0.167588137337548,0.0182179062049166,9.1990888224202,3.60997812726715e-20
"data$operatorGIGN-DOC",0.135007017760686,0.0171796752025108,7.85853144307145,3.88663165042118e-15
"data$operatorGIGN-MONTAGNE",0.0318983389316614,0.0212817957816791,1.49885560687138,0.133911095142894
"data$operatorGIGN-RESERVE",-0.0983345744116089,0.0233385151048818,-4.21340320794616,2.51551414104388e-05
"data$operatorGIGN-ROOK",0.238849060163777,0.0171375020724014,13.9372155378715,3.76338247593792e-44
"data$operatorGIGN-TWITCH",0.074775709102,0.00873597655184127,8.55951348521415,1.13344809525644e-17
"data$operatorGSG9-BANDIT",0.166372121981199,0.0167916888650901,9.90800409166027,3.84245316425214e-23
"data$operatorGSG9-BLITZ",0.0530522756761322,0.0227275003170253,2.33427675442118,0.0195812351151879
"data$operatorGSG9-IQ",0.0165266165415537,0.010660952104862,1.55020080561254,0.121093326542494
"data$operatorGSG9-JAGER",0.129218557439122,0.0165038026225596,7.82962329314871,4.89333915546529e-15
"data$operatorGSG9-RESERVE",0.00609465080230901,0.0157115782540744,0.387908248538209,0.698083933727424
"data$operatorJTF2-BUCK",0.0252724094653836,0.00992786797821811,2.54560289488455,0.0109089208282261
"data$operatorJTF2-FROST",0.259211154556972,0.0170823748941906,15.1741872053824,5.24230987939466e-52
"data$operatorNAVYSEAL-BLACKBEARD",0.0294286976971356,0.0104651689262181,2.81206141101159,0.00492251041214035
"data$operatorNAVYSEAL-VALKYRIE",0.1772339775828,0.016894987624719,10.4903289377667,9.56946581259431e-26
"data$operatorSAS-MUTE",0.149861963208824,0.0169281815142855,8.85280932759123,8.53433933888307e-19
"data$operatorSAS-RESERVE",-0.0930492654163979,0.0181995210867031,-5.1127315368964,3.17533418858413e-07
"data$operatorSAS-SLEDGE",0.00831955405593268,0.0111161125034297,0.748422980908645,0.454205065234632
"data$operatorSAS-SMOKE",0.0933878878974289,0.0183561041709421,5.08756580523568,3.62688557398468e-07
"data$operatorSAS-THATCHER",0.0309365802495706,0.00922980081574982,3.35181450468358,0.000802837915577795
"data$operatorSAT-ECHO",0.128358009079096,0.0193562127530102,6.63135969401526,3.3260860885438e-11
"data$operatorSAT-HIBANA",-0.00875693955167885,0.0110688993725286,-0.791130107606934,0.428868071610216
"data$operatorSPETSNAZ-FUZE",0.0505078314476686,0.00874024950170014,5.77876311629821,7.52517886953761e-09
"data$operatorSPETSNAZ-GLAZ",0.0760992651621725,0.0123314500890733,6.17115299599703,6.77937807513028e-10
"data$operatorSPETSNAZ-KAPKAN",0.134213925286175,0.0174732033769369,7.6811287770693,1.57692858732402e-14
"data$operatorSPETSNAZ-RESERVE",-0.0818211763847999,0.0236551225104018,-3.45892000131561,0.000542345963849151
"data$operatorSPETSNAZ-TACHANKA",0.0124109180559431,0.0209896209616239,0.591288336203613,0.554327243331182
"data$operatorSWAT-ASH",0.0563567957148213,0.00849628612420884,6.63310944228225,3.28687912389429e-11
"data$operatorSWAT-CASTLE",0.118133746710953,0.0173631543044306,6.80370309678168,1.01963572082535e-11
"data$operatorSWAT-PULSE",0.164276598404475,0.0170067084857479,9.65951750993694,4.47968787573674e-22
"data$operatorSWAT-RESERVE",-0.0904417640913791,0.0215292584213869,-4.20087688675498,2.65883153778065e-05
"data$operatorSWAT-THERMITE",0.0507211277003108,0.00857743035205519,5.91332434289691,3.35271051083496e-09
"data$skillrankCopper",-0.0607593609526606,0.00362926260627359,-16.7415168160142,6.53027190102572e-63
"data$skillrankDiamond",0.247278220153429,0.0113357903753684,21.8139372699359,1.71099338652441e-105
"data$skillrankGold",0.0370173225585123,0.0029532780237871,12.5343168710691,4.84518431316074e-36
"data$skillrankPlatinum",0.0626963974653081,0.00367296408302386,17.069700669028,2.4947566228695e-65
"data$skillrankSilver",0.0049617706034701,0.00322960952119197,1.53633761942801,0.12445559751746
"data$skillrankUnranked",-0.187762383990046,0.00409998999925872,-45.7958151175962,0
"data$roleDefender",-0.189589112438208,0.014285851374831,-13.2711105179373,3.40497024562922e-40
"data$primaryweapontypeLight_Machine_Guns",-0.0308457691524659,0.00995215422850286,-3.09940626363325,0.0019390892570025
"data$primaryweapontypeMarksman_Rifles",-0.0478852041699656,0.00824025344430184,-5.81113244800478,6.20516444618678e-09
"data$primaryweapontypeShield",-0.0632176424010856,0.0186600785700379,-3.38785510274285,0.000704414668730284
"data$primaryweapontypeShotguns",-0.113238114981351,0.00741519336087445,-15.2710940187806,1.19157079473768e-52
"data$primaryweapontypeSubmachine_Guns",-0.0507696831348128,0.00751586306043577,-6.75500374695082,1.42831564949381e-11
"data$secondaryweapontypeShotguns",-0.00928077333471442,0.00792245520442132,-1.1714516643193,0.241417275832244
"data$secondaryweapontypeSubmachine_Guns",0.0587005375231489,0.00769903791150799,7.62439907399435,2.45173796524224e-14
