"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.0530804791308707,0.0131201663085164,4.04571694311649,5.21632321871407e-05
"data$gamemodeHOSTAGE",0.0410276267847712,0.00633993281136387,6.47130308876967,9.71613177681783e-11
"data$gamemodeSECURE_AREA",0.00428671892413144,0.00393471039368857,1.08946237339539,0.27595003880129
"data$operatorBOPE-CAVEIRA",0.172947086441659,0.028356860213639,6.09895048812476,1.06767130964256e-09
"data$operatorG.E.O.-JACKAL",0.0567915603070018,0.0175699090630941,3.23231953580759,0.00122789666615844
"data$operatorG.E.O.-MIRA",0.093023057052619,0.0309428069428816,3.00629019288177,0.00264456482817859
"data$operatorGIGN-DOC",0.102269712273796,0.0290885133070357,3.51581090426714,0.000438413114838165
"data$operatorGIGN-MONTAGNE",-0.00493767642034773,0.0373415356625971,-0.132230138175424,0.894802263599672
"data$operatorGIGN-RESERVE",-0.135160075164337,0.0398731323706944,-3.38975312768946,0.000699555911564028
"data$operatorGIGN-ROOK",0.221314330195564,0.0290261687396409,7.62464837094797,2.4470047317066e-14
"data$operatorGIGN-TWITCH",0.0471418851046414,0.0140457132099517,3.35631835848965,0.000789875874005492
"data$operatorGSG9-BANDIT",0.145039403123543,0.0284792508300744,5.0928096384607,3.52795878423507e-07
"data$operatorGSG9-BLITZ",0.011974517920874,0.0392048971693687,0.305434238716224,0.76003544812123
"data$operatorGSG9-IQ",0.0182462856925684,0.0169212185211954,1.07830802313162,0.280896317778158
"data$operatorGSG9-JAGER",0.108554449833033,0.0278109391019401,3.90330040402917,9.48898068268889e-05
"data$operatorGSG9-RESERVE",-0.00748351552677912,0.0263738468723133,-0.283747591430629,0.776603820289391
"data$operatorJTF2-BUCK",-0.00744763922172997,0.0162011364680973,-0.459698567220614,0.645732598094273
"data$operatorJTF2-FROST",0.232884540170156,0.0287585111654716,8.09793451511371,5.5900143868372e-16
"data$operatorNAVYSEAL-BLACKBEARD",0.0163704527503709,0.016691005371511,0.980794888384178,0.326693899489742
"data$operatorNAVYSEAL-VALKYRIE",0.128862835782092,0.0285983273818853,4.50595708138218,6.60744425904032e-06
"data$operatorSAS-MUTE",0.135712780137699,0.0288029812599897,4.71176156775887,2.4558461738388e-06
"data$operatorSAS-RESERVE",-0.10435645399954,0.0313497365366993,-3.32878248840708,0.000872264972522275
"data$operatorSAS-SLEDGE",0.016922038406003,0.0187073051296478,0.904568471446193,0.365694044650762
"data$operatorSAS-SMOKE",0.119216515043212,0.0313393944215049,3.80404654409679,0.000142351415115657
"data$operatorSAS-THATCHER",-0.017313150773745,0.0165865323204138,-1.04380773746402,0.296574351054067
"data$operatorSAT-ECHO",0.16446934214472,0.0331038165181747,4.96828944343691,6.7546089689944e-07
"data$operatorSAT-HIBANA",0.0173581671199367,0.0190172641376564,0.912758375457672,0.361369634589051
"data$operatorSPETSNAZ-FUZE",0.0361960238869053,0.0143247122439539,2.5268238042396,0.0115099231035297
"data$operatorSPETSNAZ-GLAZ",0.0508840819200399,0.0207384367888496,2.45361221957668,0.0141429403126942
"data$operatorSPETSNAZ-KAPKAN",0.0968535127616804,0.0295054442416873,3.28256412505863,0.00102867586364421
"data$operatorSPETSNAZ-RESERVE",-0.0102147447443255,0.0399448118337583,-0.255721438539681,0.798165939890194
"data$operatorSPETSNAZ-TACHANKA",-0.0258505500319646,0.0367758702031963,-0.70292150502853,0.482104668496469
"data$operatorSWAT-ASH",0.0261085135662024,0.0136055530606582,1.91896010767087,0.0549893826471263
"data$operatorSWAT-CASTLE",0.0868715731309119,0.0293520330321488,2.95964415942715,0.00307994564764282
"data$operatorSWAT-PULSE",0.11973755155007,0.02873727144971,4.16662910254404,3.09136850790461e-05
"data$operatorSWAT-RESERVE",-0.108929924397767,0.0363112277843502,-2.99989647953228,0.00270071377979578
"data$operatorSWAT-THERMITE",-0.00216858381714399,0.0147355251458382,-0.147167053476643,0.883000164923438
"data$skillrankCopper",-0.0367326341594829,0.00622508186358528,-5.90074716516694,3.61859076745562e-09
"data$skillrankDiamond",0.274091445258522,0.0189312688466328,14.4782395453263,1.66302145372547e-47
"data$skillrankGold",0.0401028775346653,0.00518676749785375,7.73176695335959,1.06063980251304e-14
"data$skillrankPlatinum",0.0592868043905457,0.00639755291180774,9.26710653398773,1.91263957614402e-20
"data$skillrankSilver",0.0148786213474131,0.00569352172065769,2.61325451581739,0.00896844864231757
"data$skillrankUnranked",-0.176699007155019,0.00781561411814703,-22.608461022243,3.57797900384108e-113
"data$roleDefender",-0.155590151092685,0.0244117134406533,-6.373585839066,1.84658844001672e-10
"data$primaryweapontypeLight_Machine_Guns",-0.0459960719796475,0.017252202474047,-2.66609854879925,0.0076737194743767
"data$primaryweapontypeMarksman_Rifles",-0.0272237604415988,0.0144598602103445,-1.88271256053521,0.0597393323081596
"data$primaryweapontypeShield",-0.0640357609646011,0.0332908344355306,-1.92352526004146,0.0544141172873548
"data$primaryweapontypeShotguns",-0.0965593277061942,0.0122988742830045,-7.85107038939548,4.12501348994676e-15
"data$primaryweapontypeSubmachine_Guns",-0.0486889732436549,0.0123901411867122,-3.92965443330632,8.50680273217112e-05
"data$secondaryweapontypeShotguns",0.00453629231195231,0.0135472124718242,0.334850606454059,0.737737783492294
"data$secondaryweapontypeSubmachine_Guns",0.0102595477239764,0.0138692855576321,0.739731522676068,0.459462916797279
