"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.0394937932581111,0.0138018082773099,-2.86149412197232,0.00421649322406157
"data$gamemodeHOSTAGE",0.0381234731791653,0.00594761275074466,6.40987817749097,1.45635960531918e-10
"data$gamemodeSECURE_AREA",0.0073030597508523,0.00367233072992748,1.98867157887942,0.0467374650060656
"data$operatorBOPE-CAVEIRA",0.217736532468055,0.0280188499932054,7.77107313543761,7.78239456828474e-15
"data$operatorG.E.O.-JACKAL",0.0387844970315945,0.01798470505977,2.15652672104985,0.0310425595732506
"data$operatorG.E.O.-MIRA",0.130848140087916,0.0302244646613224,4.32921282656693,1.49643265143848e-05
"data$operatorGIGN-DOC",0.125626074251084,0.0286831149056671,4.37979189722742,1.18792699325734e-05
"data$operatorGIGN-MONTAGNE",-0.0242753716577196,0.0360782327753692,-0.672853679082988,0.501040383610909
"data$operatorGIGN-RESERVE",-0.0808853361064933,0.0390128850509394,-2.07329798862301,0.0381445557839021
"data$operatorGIGN-ROOK",0.239598545459175,0.0285992457597237,8.37779245900958,5.39296324096227e-17
"data$operatorGIGN-TWITCH",0.05720986886772,0.0146659843242134,3.90085435815358,9.58538071215772e-05
"data$operatorGSG9-BANDIT",0.142544739604596,0.0279887052809859,5.09293796099364,3.52557088463841e-07
"data$operatorGSG9-BLITZ",0.0192963231835531,0.03832343073082,0.503512415657371,0.614604053453733
"data$operatorGSG9-IQ",0.00678310985182073,0.0177180457563002,0.382836230649691,0.70184119609008
"data$operatorGSG9-JAGER",0.12357805460575,0.027594591762418,4.47834328080387,7.52245656535754e-06
"data$operatorGSG9-RESERVE",-0.0113510230406825,0.0263947661686379,-0.430048251541995,0.667160542070926
"data$operatorJTF2-BUCK",-0.0103497727801874,0.0169174324022551,-0.61178153599761,0.540682307457978
"data$operatorJTF2-FROST",0.26918850462604,0.0285363429807029,9.43318156808226,3.9783476184637e-21
"data$operatorNAVYSEAL-BLACKBEARD",0.026825339036907,0.0175098195606652,1.53201687452957,0.125518270701595
"data$operatorNAVYSEAL-VALKYRIE",0.192544167586566,0.0281694630251874,6.83520901390292,8.1885550636416e-12
"data$operatorSAS-MUTE",0.163176290451292,0.0282735657137716,5.77133751374737,7.86447713911925e-09
"data$operatorSAS-RESERVE",-0.0705289617085836,0.030230567479885,-2.33303465955485,0.0196463262977327
"data$operatorSAS-SLEDGE",-0.00139717705766982,0.018914332619905,-0.0738686944840686,0.941114865954672
"data$operatorSAS-SMOKE",0.108047482502599,0.0308158140757944,3.50623489085332,0.00045449394164654
"data$operatorSAS-THATCHER",0.012979880859335,0.0151197237582251,0.858473413065764,0.39063110524284
"data$operatorSAT-ECHO",0.158753981081559,0.0324488539586579,4.89243722702265,9.95948865239186e-07
"data$operatorSAT-HIBANA",-0.0178439831959477,0.0189316587055954,-0.94254726822609,0.345912522766879
"data$operatorSPETSNAZ-FUZE",0.0391538074639898,0.0148061864544756,2.6444221531571,0.00818305272479166
"data$operatorSPETSNAZ-GLAZ",0.0305541158901551,0.0211083302817068,1.44749089493991,0.147759484718026
"data$operatorSPETSNAZ-KAPKAN",0.175778195057156,0.0290652975390225,6.04769983246031,1.46928370444325e-09
"data$operatorSPETSNAZ-RESERVE",-0.033703650372437,0.0390903019669711,-0.862199795768129,0.388577582070225
"data$operatorSPETSNAZ-TACHANKA",0.00186237847606474,0.0356275613094888,0.0522735322770667,0.95831074265825
"data$operatorSWAT-ASH",0.0371921955598737,0.0143562287856793,2.59066612235755,0.00957903763484405
"data$operatorSWAT-CASTLE",0.137360326581017,0.0290160254182218,4.73394700346369,2.20195243958757e-06
"data$operatorSWAT-PULSE",0.165542068495308,0.028323771728134,5.84463362027718,5.07684391362338e-09
"data$operatorSWAT-RESERVE",-0.0768899913790368,0.0352553857419392,-2.18094313140842,0.0291876229924184
"data$operatorSWAT-THERMITE",0.0346378907072743,0.0144184318858101,2.4023341082856,0.0162908216965538
"data$skillrankCopper",-0.0459403307351427,0.00603236881096963,-7.61563693711864,2.62394287401208e-14
"data$skillrankDiamond",0.307430077846763,0.0188998649392101,16.2662579248893,1.7131237249406e-59
"data$skillrankGold",0.044678113179651,0.00491959653975497,9.08166204659463,1.06929337125012e-19
"data$skillrankPlatinum",0.0648721777939037,0.00611818653342162,10.6031709624296,2.88044762928235e-26
"data$skillrankSilver",0.0055614813933232,0.00539442868119383,1.03096763753903,0.302555996235377
"data$skillrankUnranked",-0.182829536575468,0.00688185471630847,-26.5668986214141,1.63848003653651e-155
"data$roleDefender",0.00257427599640696,0.0237880537622483,0.108217175820089,0.91382342063345
"data$primaryweapontypeLight_Machine_Guns",-0.0478364246564482,0.016842576686243,-2.84020821443081,0.00450840964139348
"data$primaryweapontypeMarksman_Rifles",-0.0288661247520967,0.0139915463151633,-2.06311183209344,0.0391020042663444
"data$primaryweapontypeShield",-0.0508951875163941,0.0315457385095787,-1.61337758825776,0.106662499202722
"data$primaryweapontypeShotguns",-0.0896336084283829,0.0122545362068256,-7.31432074748437,2.58686570776562e-13
"data$primaryweapontypeSubmachine_Guns",-0.0498988147041637,0.0124138122719334,-4.01962053324916,5.82919535108994e-05
"data$secondaryweapontypeShotguns",0.00175319885884403,0.0129868349643357,0.134998162651536,0.892613327025219
"data$secondaryweapontypeSubmachine_Guns",0.0404885085553822,0.0132252120434833,3.06146384816059,0.00220257588256098
