"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.172120180095753,0.0127903855369983,13.4569970231051,2.80069042489047e-41
"data$gamemodeHOSTAGE",0.0370351804787878,0.00588426292488828,6.29393705745923,3.09513370272384e-10
"data$gamemodeSECURE_AREA",0.00243622728229933,0.00368271051206011,0.661531031103637,0.508271821032903
"data$operatorBOPE-CAVEIRA",0.174908793910639,0.0272603682338847,6.41623005272638,1.39690306835901e-10
"data$operatorG.E.O.-JACKAL",0.0496491737774743,0.0177594543065687,2.79564748558239,0.0051795862557804
"data$operatorG.E.O.-MIRA",0.151849452292433,0.0300767473445576,5.0487325159484,4.44750932949125e-07
"data$operatorGIGN-DOC",0.132233485535814,0.0278879400733822,4.74160103571166,2.12035867655797e-06
"data$operatorGIGN-MONTAGNE",-0.0505400772411693,0.036529301148652,-1.38354897717594,0.166496600681759
"data$operatorGIGN-RESERVE",-0.084007123231083,0.0378229847828226,-2.22106012292385,0.0263468894805751
"data$operatorGIGN-ROOK",0.236759204939743,0.0277676065494991,8.5264534599945,1.50902849128528e-17
"data$operatorGIGN-TWITCH",0.0739823912933139,0.0138631840620619,5.33660888884643,9.47010094609204e-08
"data$operatorGSG9-BANDIT",0.160107352795988,0.0271447948484973,5.89827087254081,3.67330600970789e-09
"data$operatorGSG9-BLITZ",0.0027302742431344,0.0385933029605862,0.0707447674515634,0.943600890796726
"data$operatorGSG9-IQ",0.0167117403372998,0.017081137451767,0.978373974478558,0.327889395205373
"data$operatorGSG9-JAGER",0.142462961137872,0.0266863016577233,5.33843029150657,9.37547398844719e-08
"data$operatorGSG9-RESERVE",0.0421171158716516,0.0253362807585535,1.6623243274344,0.0964477625561756
"data$operatorJTF2-BUCK",0.0324493406229564,0.0156320156285733,2.0758257536311,0.0379100695590191
"data$operatorJTF2-FROST",0.231531717216031,0.0276024342847615,8.38809051504027,4.94101734835092e-17
"data$operatorNAVYSEAL-BLACKBEARD",0.00889817760032085,0.0167379403630868,0.531617236487743,0.594991124312333
"data$operatorNAVYSEAL-VALKYRIE",0.136446764889838,0.0273929625455617,4.9810882872888,6.32276835629544e-07
"data$operatorSAS-MUTE",0.158621519694299,0.027399056578318,5.78930589237233,7.06778809776506e-09
"data$operatorSAS-RESERVE",-0.0701698373715735,0.0297697609221436,-2.35708434323969,0.0184190628102681
"data$operatorSAS-SLEDGE",-0.022707100784014,0.0178691878323356,-1.27074050578414,0.20382098032088
"data$operatorSAS-SMOKE",0.0636111183467991,0.0297704765393658,2.13671817656951,0.0326209207011067
"data$operatorSAS-THATCHER",0.0235569198754463,0.0149716400642842,1.57343616158946,0.11561785927408
"data$operatorSAT-ECHO",0.109613345504166,0.0316930903473533,3.45858811188224,0.000543014624074061
"data$operatorSAT-HIBANA",-0.0181767255874808,0.0177867729413689,-1.021923743413,0.306816993787532
"data$operatorSPETSNAZ-FUZE",0.0340548718138145,0.014022789791477,2.42853756778933,0.0151598544408852
"data$operatorSPETSNAZ-GLAZ",0.061374699423692,0.0192274347126543,3.19203785325034,0.00141272817276072
"data$operatorSPETSNAZ-KAPKAN",0.116418851044613,0.0281456986589382,4.13629281174877,3.52961749026641e-05
"data$operatorSPETSNAZ-RESERVE",-0.108294966184525,0.0387931727978438,-2.79159858227797,0.00524483780584559
"data$operatorSPETSNAZ-TACHANKA",0.0126438596752813,0.0359874272945771,0.351341027292234,0.725332519005899
"data$operatorSWAT-ASH",0.0507105069702863,0.0133225773501514,3.80635860745894,0.00014102785658803
"data$operatorSWAT-CASTLE",0.0812943981784379,0.0282310080130001,2.87961372619081,0.00398162666724036
"data$operatorSWAT-PULSE",0.135338819628538,0.0274785116462721,4.92526019497488,8.42481734010225e-07
"data$operatorSWAT-RESERVE",-0.0633619749113923,0.0344858622771833,-1.83733190146485,0.0661609131646022
"data$operatorSWAT-THERMITE",0.0333947702735303,0.0136483006467216,2.44680793147328,0.0144127621524283
"data$skillrankCopper",-0.0461385070486148,0.00595213453747847,-7.75159008219607,9.07489330204431e-15
"data$skillrankDiamond",0.288772003872145,0.018751968247805,15.3995569988204,1.64794441777719e-53
"data$skillrankGold",0.0463213800041755,0.00491460108150976,9.42525735780484,4.29052089913362e-21
"data$skillrankPlatinum",0.064950793376466,0.0060982014768597,10.6508113290335,1.72851918256023e-26
"data$skillrankSilver",0.0149656771066307,0.00536206381206705,2.79102928110463,0.00525407189153139
"data$skillrankUnranked",-0.168190603978858,0.00686796951338905,-24.4891308342257,1.92858481555755e-132
"data$roleDefender",-0.449163165280102,0.0233396364645754,-19.2446513021673,1.56513036674222e-82
"data$primaryweapontypeLight_Machine_Guns",-0.0244364013182118,0.0166075617591371,-1.47140210421121,0.141182404710311
"data$primaryweapontypeMarksman_Rifles",-0.0555256472373023,0.0132962257353197,-4.17604576987632,2.96620162108543e-05
"data$primaryweapontypeShield",-0.00955735940876516,0.0324161718400957,-0.294833068380506,0.768121403764137
"data$primaryweapontypeShotguns",-0.0608142140371524,0.0115496654998646,-5.26545240967067,1.39844543850322e-07
"data$primaryweapontypeSubmachine_Guns",-0.020720245044263,0.0118847534278664,-1.74343078886936,0.0812583940915139
"data$secondaryweapontypeShotguns",-0.0170418033940198,0.0139551647042303,-1.22118253386532,0.222016915804387
"data$secondaryweapontypeSubmachine_Guns",0.0663447131481226,0.0127518936405433,5.20273419919268,1.96377644531226e-07
