"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.0362675772000288,0.0134650496326322,-2.69346034285201,0.00707145573501693
"data$gamemodeHOSTAGE",0.0351582607907867,0.00594087282451901,5.91802952685377,3.2582148501811e-09
"data$gamemodeSECURE_AREA",0.00530072260589418,0.00367260542684173,1.44331393924137,0.148932054863241
"data$operatorBOPE-CAVEIRA",0.199740257311404,0.0278347144930384,7.17594058172788,7.181174015024e-13
"data$operatorG.E.O.-JACKAL",0.0651937578602849,0.0178089773700587,3.66072439228834,0.00025150318158587
"data$operatorG.E.O.-MIRA",0.222328249910029,0.029940714836769,7.42561595880793,1.12256271426343e-13
"data$operatorGIGN-DOC",0.161037499628888,0.0283726746802897,5.6757955125309,1.38045606095448e-08
"data$operatorGIGN-MONTAGNE",0.0348011582072475,0.0363766326354161,0.956689932134215,0.338723781251777
"data$operatorGIGN-RESERVE",-0.0854535058092393,0.0384755048853318,-2.2209846515053,0.02635200097825
"data$operatorGIGN-ROOK",0.265606477536659,0.0282833329431257,9.39091860463409,5.94792199508446e-21
"data$operatorGIGN-TWITCH",0.0546392656556795,0.0143393216549195,3.81044982256423,0.000138714165716234
"data$operatorGSG9-BANDIT",0.19718643151726,0.0277138559072577,7.11508467739492,1.11844147747271e-12
"data$operatorGSG9-BLITZ",0.0761761621069098,0.0383823682150639,1.98466550266205,0.0471816993453136
"data$operatorGSG9-IQ",-0.00337239395776808,0.0175187597557716,-0.192501866843458,0.847349105729065
"data$operatorGSG9-JAGER",0.152722148321122,0.0272470919487387,5.60508066726699,2.08157994634524e-08
"data$operatorGSG9-RESERVE",-0.00725523091322982,0.0259349641793783,-0.279747095968564,0.779671542912015
"data$operatorJTF2-BUCK",0.00835633664337898,0.0164446332349186,0.508149772877579,0.611348311892263
"data$operatorJTF2-FROST",0.291232294419746,0.0280627497283144,10.377895866915,3.12588606636088e-25
"data$operatorNAVYSEAL-BLACKBEARD",0.0158159139912146,0.017162804129831,0.921522722718987,0.356777583474851
"data$operatorNAVYSEAL-VALKYRIE",0.20873038402082,0.0278297452174859,7.50026212563638,6.36903392600857e-14
"data$operatorSAS-MUTE",0.203169427163676,0.0279810693721123,7.26096006059609,3.84352433087587e-13
"data$operatorSAS-RESERVE",-0.090513547937424,0.0304281363265221,-2.97466617626954,0.00293307543034282
"data$operatorSAS-SLEDGE",-0.00840077384817094,0.0184024394937473,-0.456503272352849,0.648028118235324
"data$operatorSAS-SMOKE",0.0961493517964634,0.0303052786853744,3.17269320617949,0.00151032029731959
"data$operatorSAS-THATCHER",-0.00324217556393832,0.0150653138190988,-0.215207967312842,0.829605179444608
"data$operatorSAT-ECHO",0.156161652261437,0.0320018019274229,4.87977685180344,1.06205939395858e-06
"data$operatorSAT-HIBANA",-0.0232087058675521,0.0184064527821152,-1.26090051908878,0.207344691164903
"data$operatorSPETSNAZ-FUZE",0.0261580834853659,0.0147018060701148,1.77924286040876,0.0751999543177838
"data$operatorSPETSNAZ-GLAZ",0.0359773780323177,0.0203172251647264,1.77078206992457,0.0765969486784034
"data$operatorSPETSNAZ-KAPKAN",0.215798748131037,0.0286971082811399,7.51987782242378,5.4827453733161e-14
"data$operatorSPETSNAZ-RESERVE",-0.0627494052722986,0.0385824735288338,-1.62637072051392,0.103870815580679
"data$operatorSPETSNAZ-TACHANKA",0.0372502351013322,0.034968179087163,1.06526093361856,0.286757866180691
"data$operatorSWAT-ASH",0.0376201014731738,0.0139982539184023,2.68748528869862,0.00719922734606686
"data$operatorSWAT-CASTLE",0.132609235971427,0.0287249139111477,4.61652335605307,3.90222123253474e-06
"data$operatorSWAT-PULSE",0.15368501402694,0.028097322842415,5.4697386967751,4.50699557984026e-08
"data$operatorSWAT-RESERVE",-0.0596991586471073,0.0349317699460125,-1.70902186575067,0.0874468992601713
"data$operatorSWAT-THERMITE",0.0159871478028332,0.0141172285844386,1.1324565375711,0.257442546923372
"data$skillrankCopper",-0.0480859160816704,0.0059356854019207,-8.10115645045988,5.44391870203749e-16
"data$skillrankDiamond",0.273759015029542,0.0188438653665466,14.5277526507669,8.08289855718833e-48
"data$skillrankGold",0.0442251849906736,0.00490172223551769,9.02237680263063,1.84051924114053e-19
"data$skillrankPlatinum",0.0579554874730462,0.0060816877952903,9.52950717363809,1.58031651377068e-21
"data$skillrankSilver",0.0153497146516582,0.00535433258563909,2.86678393733475,0.00414666002860462
"data$skillrankUnranked",-0.170577302356048,0.00687169656258979,-24.8231715126491,5.04029909690219e-136
"data$roleDefender",-0.0380506410923981,0.0235793723069341,-1.61372578527921,0.10658691837831
"data$primaryweapontypeLight_Machine_Guns",-0.0580617153297085,0.0169765186670009,-3.4201190755658,0.000625937304959453
"data$primaryweapontypeMarksman_Rifles",-0.0326037820606719,0.013686149092822,-2.38224659395036,0.0172073704067554
"data$primaryweapontypeShield",-0.0866654716402405,0.0323282575370369,-2.68079625203901,0.00734472202611025
"data$primaryweapontypeShotguns",-0.0746789131769621,0.011865826758853,-6.29361229475602,3.10161940045066e-10
"data$primaryweapontypeSubmachine_Guns",-0.0457937965233479,0.0121168271526582,-3.77935543244104,0.00015723484984411
"data$secondaryweapontypeShotguns",-0.0203471554920659,0.0130393129107243,-1.56044690631906,0.11865430751537
"data$secondaryweapontypeSubmachine_Guns",0.0499165443187929,0.0128411797872878,3.88722416052519,0.000101397109555284
