"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.154992137349414,0.0134711243716301,11.5055086029659,1.237576238071e-30
"data$gamemodeHOSTAGE",0.0357907258105916,0.00576594577068399,6.20726021957467,5.39162821668332e-10
"data$gamemodeSECURE_AREA",0.00859229513140987,0.00363590378932902,2.36318000399992,0.0181188666193087
"data$operatorBOPE-CAVEIRA",0.15021994483213,0.0286073172150223,5.25110214645526,1.5119180236557e-07
"data$operatorG.E.O.-JACKAL",0.0359229166736524,0.017922432756041,2.00435494235816,0.0450320522800614
"data$operatorG.E.O.-MIRA",0.140445547580116,0.0303445827534494,4.62835652482818,3.68579083008358e-06
"data$operatorGIGN-DOC",0.105286012287366,0.028943460681593,3.63764421420151,0.000275143139097143
"data$operatorGIGN-MONTAGNE",0.0326074452635329,0.0362344840955277,0.899900911451297,0.368172985047302
"data$operatorGIGN-RESERVE",-0.0726941374918643,0.0395275917169489,-1.83907327348491,0.0659044094438387
"data$operatorGIGN-ROOK",0.186332940776959,0.0288450580814013,6.45978733171982,1.04850225801457e-10
"data$operatorGIGN-TWITCH",0.0669695579277377,0.0144195250751381,4.64436641142957,3.41121685966927e-06
"data$operatorGSG9-BANDIT",0.121355384229496,0.0282671611071886,4.2931578367321,1.76149689322498e-05
"data$operatorGSG9-BLITZ",-0.00141175087304144,0.0385034513053609,-0.0366655669863257,0.970751663736071
"data$operatorGSG9-IQ",-0.00283726064996386,0.0179807742716064,-0.157794130948199,0.874619023543408
"data$operatorGSG9-JAGER",0.120099992131012,0.0278192533401691,4.3171536871407,1.5805411312794e-05
"data$operatorGSG9-RESERVE",-0.0555638663172976,0.0264793155009313,-2.09838756275038,0.0358709230585341
"data$operatorJTF2-BUCK",0.00607204102623122,0.0165936684759666,0.365925174112381,0.714420910981673
"data$operatorJTF2-FROST",0.20762882203095,0.0287806088007491,7.21419145329359,5.42553772670185e-13
"data$operatorNAVYSEAL-BLACKBEARD",0.0237101739459133,0.0167982220838005,1.4114692511881,0.158106296034476
"data$operatorNAVYSEAL-VALKYRIE",0.135302740431212,0.0285299106978611,4.74248734474151,2.11110020699944e-06
"data$operatorSAS-MUTE",0.13002003168291,0.0283890123795639,4.57994205450085,4.65104769778736e-06
"data$operatorSAS-RESERVE",-0.178599447914681,0.031011107450652,-5.75920896081787,8.45090328726928e-09
"data$operatorSAS-SLEDGE",-0.0531779098998928,0.0187234702714553,-2.84017381013843,0.00450889593023358
"data$operatorSAS-SMOKE",0.0239773526109867,0.0310057464076323,0.773319638745562,0.439333235996741
"data$operatorSAS-THATCHER",0.0432317457127205,0.0144603268904671,2.98967969674467,0.00279270125946974
"data$operatorSAT-ECHO",0.0975916883574335,0.0326495058947112,2.98907091188912,0.00279827179583804
"data$operatorSAT-HIBANA",-0.0309102809628091,0.0186289359011838,-1.65926175959652,0.0970630573998557
"data$operatorSPETSNAZ-FUZE",0.00764208389684212,0.0146438742826857,0.521862162247446,0.601766304832874
"data$operatorSPETSNAZ-GLAZ",0.0695481193597608,0.0191044420472027,3.64041614970608,0.000272197742937333
"data$operatorSPETSNAZ-KAPKAN",0.0753135571782231,0.0294744495786025,2.55521505083163,0.0106122210752136
"data$operatorSPETSNAZ-RESERVE",-0.0999549754064132,0.0398334775601589,-2.50932084087952,0.0120963559644407
"data$operatorSPETSNAZ-TACHANKA",-0.0155695353906866,0.0350239902698703,-0.444539165032846,0.656652819449391
"data$operatorSWAT-ASH",0.0336651232087726,0.0140940046995153,2.3886130256456,0.0169121053950733
"data$operatorSWAT-CASTLE",0.0673264866972882,0.0292373010624908,2.30275997614783,0.0212923515901477
"data$operatorSWAT-PULSE",0.0994661131077316,0.0287418796020561,3.46066835171824,0.000538836195043684
"data$operatorSWAT-RESERVE",-0.0519924778546613,0.035817588723641,-1.45159067674325,0.146615452646363
"data$operatorSWAT-THERMITE",0.0420395197533848,0.0139834870298573,3.00636884516878,0.00264388080483351
"data$skillrankCopper",-0.0519092966721068,0.00580438139248065,-8.94312298970452,3.78324307505e-19
"data$skillrankDiamond",0.272913775044202,0.018907346124965,14.4342719089408,3.14954025216144e-47
"data$skillrankGold",0.0411250698705531,0.00479941396105414,8.56876906311295,1.0459705666336e-17
"data$skillrankPlatinum",0.0619787941162616,0.00598131948782528,10.3620604521154,3.68927724657843e-25
"data$skillrankSilver",0.00426578479515095,0.00523362638188524,0.815072472485959,0.415030827501953
"data$skillrankUnranked",-0.192866096599798,0.00676051667579863,-28.5283072061965,5.22086179790259e-179
"data$roleDefender",-0.385755337042941,0.0242733462542039,-15.8921367084331,7.18365941840658e-57
"data$primaryweapontypeLight_Machine_Guns",-0.0511166209706105,0.0167399896716059,-3.05356347126746,0.00226140878208752
"data$primaryweapontypeMarksman_Rifles",-0.0539955274635582,0.0127638169519471,-4.23035896447271,2.33318690339477e-05
"data$primaryweapontypeShield",-0.0704900220348442,0.0318213947342533,-2.21517700979232,0.0267479172431472
"data$primaryweapontypeShotguns",-0.0832489198627642,0.0124626321714101,-6.6798826056779,2.39133731118366e-11
"data$primaryweapontypeSubmachine_Guns",-0.0141814642613414,0.0127755335833638,-1.11004868554441,0.266978047656557
"data$secondaryweapontypeShotguns",-0.0216984517388304,0.0129068082809314,-1.68116324861568,0.0927312098547266
"data$secondaryweapontypeSubmachine_Guns",0.0778565107060233,0.01312330134075,5.93269244410824,2.98006769787277e-09
