"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.0522738003201624,0.0127820735463256,4.08961817741923,4.3208387871288e-05
"data$gamemodeHOSTAGE",0.0363537788584035,0.00587056051320762,6.19255670333601,5.91960430858822e-10
"data$gamemodeSECURE_AREA",0.00536240702427899,0.00368147111099751,1.45659353627958,0.145228612978068
"data$operatorBOPE-CAVEIRA",0.19319565656015,0.0271922906711689,7.10479521186453,1.20501083740794e-12
"data$operatorG.E.O.-JACKAL",0.0342060847443217,0.0169681665492319,2.01589751285593,0.0438106937553611
"data$operatorG.E.O.-MIRA",0.131840831829797,0.0295226686953739,4.46574912282426,7.97890658258966e-06
"data$operatorGIGN-DOC",0.122792395642545,0.0278668428653672,4.40639781965222,1.0510385393687e-05
"data$operatorGIGN-MONTAGNE",-0.028511707489504,0.0340639443289773,-0.837005462847996,0.402589497379917
"data$operatorGIGN-RESERVE",-0.105783523659099,0.0383844438886345,-2.75589569477704,0.00585316590124969
"data$operatorGIGN-ROOK",0.236289799335829,0.0278085491081262,8.49702005009607,1.94519846916462e-17
"data$operatorGIGN-TWITCH",0.0555172660058656,0.0136753737459305,4.05965255775086,4.91457895771128e-05
"data$operatorGSG9-BANDIT",0.168192617009037,0.027304970285323,6.15978026167069,7.28459526966275e-10
"data$operatorGSG9-BLITZ",0.00262131207289578,0.0361322294711588,0.0725477533842228,0.942166003852938
"data$operatorGSG9-IQ",0.0170180163236488,0.0165072358137247,1.0309428250549,0.302567632438789
"data$operatorGSG9-JAGER",0.147785147009141,0.0266961817586435,5.53581588353145,3.09782860593252e-08
"data$operatorGSG9-RESERVE",-0.00387628411950791,0.0251864505671086,-0.153903548623481,0.877685786046318
"data$operatorJTF2-BUCK",0.0289692065004278,0.0155844840004893,1.85884925670419,0.0630485083526911
"data$operatorJTF2-FROST",0.254488195895434,0.0276071334495836,9.21820428622848,3.02117142289546e-20
"data$operatorNAVYSEAL-BLACKBEARD",0.0335430301460633,0.0160568633404715,2.08901511053642,0.036706362979957
"data$operatorNAVYSEAL-VALKYRIE",0.167555421137004,0.0273574006470797,6.12468352891159,9.08640248464862e-10
"data$operatorSAS-MUTE",0.149371004712577,0.0276577226453367,5.4006979037286,6.63821329462337e-08
"data$operatorSAS-RESERVE",-0.118690820890661,0.0300460107547771,-3.95030215023769,7.80525961208356e-05
"data$operatorSAS-SLEDGE",-0.0169212646688453,0.0179597216166295,-0.942178561007169,0.346101228267067
"data$operatorSAS-SMOKE",0.0871185433818431,0.0299777581650489,2.90610601707417,0.00365957433490092
"data$operatorSAS-THATCHER",-0.0129786741633663,0.0158819672217333,-0.817195627101277,0.413816641129973
"data$operatorSAT-ECHO",0.116782093580871,0.0315668567080129,3.69951606715494,0.000216010965483146
"data$operatorSAT-HIBANA",-0.0229296739278798,0.0180916873871894,-1.26741488713298,0.205006979426179
"data$operatorSPETSNAZ-FUZE",0.052876374598945,0.0137104975561063,3.85663426017646,0.000114958968549982
"data$operatorSPETSNAZ-GLAZ",0.0990408933942989,0.0197832883816958,5.00629073809262,5.54889250539629e-07
"data$operatorSPETSNAZ-KAPKAN",0.128240002862916,0.0282669966164245,4.53673959788152,5.71305762580842e-06
"data$operatorSPETSNAZ-RESERVE",-0.0242962429702864,0.0382099577598034,-0.635861550096919,0.524866665679046
"data$operatorSPETSNAZ-TACHANKA",0.0154452062466108,0.0353656109013837,0.436729519240583,0.662307518543028
"data$operatorSWAT-ASH",0.026316403189457,0.0132749037691551,1.98241762404368,0.0474325186836946
"data$operatorSWAT-CASTLE",0.100979322221406,0.0282386678428733,3.57592372215572,0.000348993407718457
"data$operatorSWAT-PULSE",0.139572376114595,0.0276127064188199,5.05464310515637,4.31196338658127e-07
"data$operatorSWAT-RESERVE",0.00541353283438038,0.0348615136387251,0.155286798229176,0.87659522285351
"data$operatorSWAT-THERMITE",0.00398551973861844,0.0141304584668894,0.282051693365601,0.777903873072027
"data$skillrankCopper",-0.0551634035353368,0.00598835836026152,-9.21177394816561,3.20779058578501e-20
"data$skillrankDiamond",0.264719425251509,0.0189001661219702,14.0061956886077,1.42855005403978e-44
"data$skillrankGold",0.0347864352169676,0.00493022859941754,7.05574488393444,1.71678548737319e-12
"data$skillrankPlatinum",0.0600175467265426,0.00613400842016756,9.78439262150592,1.31381719082746e-22
"data$skillrankSilver",-0.00188265354175663,0.00539237182723998,-0.349132738259306,0.726989659552071
"data$skillrankUnranked",-0.184572644325091,0.00689697117265981,-26.7614057974829,9.09642040644797e-158
"data$roleDefender",-0.181010800121804,0.0233385605313176,-7.75586822841572,8.77410941913093e-15
"data$primaryweapontypeLight_Machine_Guns",-0.0451101159506718,0.0161270711700211,-2.79716728940392,0.00515528328235556
"data$primaryweapontypeMarksman_Rifles",-0.089019235977245,0.0133161162139682,-6.68507502839804,2.30806363097819e-11
"data$primaryweapontypeShield",-0.0525581752000559,0.0297915221349544,-1.76419905508586,0.0776984717811467
"data$primaryweapontypeShotguns",-0.0586329147392647,0.0119239661883515,-4.91723255610561,8.77762539103561e-07
"data$primaryweapontypeSubmachine_Guns",-0.0204479741755752,0.0120509113000623,-1.69679899440215,0.0897346689420889
"data$secondaryweapontypeShotguns",0.0045203933442235,0.0128171320477475,0.352683683634041,0.724325592901927
"data$secondaryweapontypeSubmachine_Guns",0.0501363800137951,0.0130171821423702,3.85155400496425,0.000117370638739466
