"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.0235055385103182,0.0133266818043236,-1.76379528343599,0.0777664518903164
"data$gamemodeHOSTAGE",0.0325892079430177,0.0058696633587604,5.55214259338718,2.82189255445615e-08
"data$gamemodeSECURE_AREA",0.00555123872541796,0.00370284180732357,1.49918333384877,0.133826077411239
"data$operatorBOPE-CAVEIRA",0.179597743443773,0.027686158098806,6.48691460920028,8.76119592974708e-11
"data$operatorG.E.O.-JACKAL",0.0799227001224901,0.0175885557657917,4.54401721134678,5.51921483946092e-06
"data$operatorG.E.O.-MIRA",0.218696198983084,0.0298606532401717,7.32389198669207,2.40880595471846e-13
"data$operatorGIGN-DOC",0.147998085995597,0.0281290663556837,5.26139346838624,1.42967715971545e-07
"data$operatorGIGN-MONTAGNE",0.000734932757714681,0.0363709510925545,0.0202065861803963,0.983878573947095
"data$operatorGIGN-RESERVE",-0.0724284074673841,0.0379249089948309,-1.90978460824404,0.0561609518610622
"data$operatorGIGN-ROOK",0.278874143314501,0.028087354528859,9.92881487033482,3.11940919439774e-23
"data$operatorGIGN-TWITCH",0.0667246392958168,0.0142314530104309,4.68853315588443,2.75170336740203e-06
"data$operatorGSG9-BANDIT",0.212739227338899,0.0275435937899365,7.7237280276994,1.12975764182072e-14
"data$operatorGSG9-BLITZ",0.0466228843252001,0.0383578411831287,1.21547206222092,0.224186097988445
"data$operatorGSG9-IQ",0.0216966412168866,0.0173850846462675,1.24800319689814,0.212029886454659
"data$operatorGSG9-JAGER",0.147261749405361,0.0270313888682301,5.44780551688329,5.09950729679862e-08
"data$operatorGSG9-RESERVE",0.0272212550876994,0.0257730711063427,1.05618981049566,0.290881505088984
"data$operatorJTF2-BUCK",0.0175278496629471,0.0165277482547669,1.06051044538942,0.288912440500657
"data$operatorJTF2-FROST",0.272144191810182,0.0279562339876067,9.73465138154254,2.14552099590811e-22
"data$operatorNAVYSEAL-BLACKBEARD",0.0337328334485632,0.0166666544324899,2.02397149261129,0.0429730850020443
"data$operatorNAVYSEAL-VALKYRIE",0.185894396287478,0.0277298110499707,6.70377435866715,2.03103810337923e-11
"data$operatorSAS-MUTE",0.195412683262435,0.027863718691357,7.01315877564646,2.32996777934785e-12
"data$operatorSAS-RESERVE",-0.0821657700136148,0.0301185808070802,-2.7280757529684,0.00637049765353609
"data$operatorSAS-SLEDGE",0.0447326095349322,0.0186657818640029,2.39650339111696,0.0165523403211754
"data$operatorSAS-SMOKE",0.136225767281439,0.030457197402066,4.4726954185285,7.72397581102995e-06
"data$operatorSAS-THATCHER",0.00371222023566298,0.0151938824147585,0.244323348985321,0.806980401454967
"data$operatorSAT-ECHO",0.201874554309912,0.0320418430447108,6.30034152617935,2.96990521233244e-10
"data$operatorSAT-HIBANA",0.0404401683464673,0.0187143560178542,2.16091690827544,0.0307017585479482
"data$operatorSPETSNAZ-FUZE",0.089934926686241,0.0143527890005682,6.26602444184756,3.7038222310998e-10
"data$operatorSPETSNAZ-GLAZ",0.0810267863490604,0.0193118687071725,4.19569890297393,2.72031435927176e-05
"data$operatorSPETSNAZ-KAPKAN",0.185633118758262,0.0286010706907436,6.49042550768352,8.55942799485556e-11
"data$operatorSPETSNAZ-RESERVE",-0.025285723165634,0.0384889559568997,-0.656960484819313,0.511206324919153
"data$operatorSPETSNAZ-TACHANKA",0.0502326577225567,0.0354581997400853,1.41667253528861,0.156578690478439
"data$operatorSWAT-ASH",0.0500527520745912,0.0138684588247652,3.60910701809281,0.000307252845613133
"data$operatorSWAT-CASTLE",0.119410810283911,0.0285475849570094,4.1828690750456,2.87853178742281e-05
"data$operatorSWAT-PULSE",0.149219061542779,0.0279761742285412,5.33379082943178,9.61833140357646e-08
"data$operatorSWAT-RESERVE",0.00763834002661725,0.0349642890374179,0.218461185309471,0.827069797562206
"data$operatorSWAT-THERMITE",0.0196501459495921,0.0141835043265938,1.38542249483074,0.165923316558196
"data$skillrankCopper",-0.0376528369798977,0.00600950261483646,-6.26554964581247,3.7151261144995e-10
"data$skillrankDiamond",0.27194715501792,0.0180938601085611,15.0298031147731,4.68395842817205e-51
"data$skillrankGold",0.0550295598683997,0.00494449263594074,11.1294654315791,9.01746554296449e-29
"data$skillrankPlatinum",0.065498759867011,0.00607572060646654,10.7804101125551,4.25982280843045e-27
"data$skillrankSilver",0.0188663837721886,0.00540336377552637,3.49159978042581,0.000480137091154045
"data$skillrankUnranked",-0.175920372572943,0.00689464636894102,-25.5155033571307,1.32658075591081e-143
"data$roleDefender",-0.0788979113911406,0.0234620883812483,-3.36278297605418,0.000771609984646685
"data$primaryweapontypeLight_Machine_Guns",-0.0606319228784542,0.0165868863870022,-3.65541316578659,0.000256768110644331
"data$primaryweapontypeMarksman_Rifles",-0.0429921497871036,0.013070648934781,-3.28921310652767,0.0010046792276048
"data$primaryweapontypeShield",-0.0574548818985927,0.0320100791568293,-1.79489971321532,0.0726696796510556
"data$primaryweapontypeShotguns",-0.0762331126165526,0.0122787468603502,-6.2085417578499,5.34785133173692e-10
"data$primaryweapontypeSubmachine_Guns",-0.0512612770874822,0.0124902760311951,-4.10409481419421,4.05900982934202e-05
"data$secondaryweapontypeShotguns",-0.0310547211192144,0.0130618304973401,-2.37751677496797,0.0174296501713351
"data$secondaryweapontypeSubmachine_Guns",0.0107454030152429,0.0133241047101027,0.806463417170197,0.419975693429591
