"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.00199054876130646,0.0126978120899016,-0.156763129522882,0.875431531889994
"data$gamemodeHOSTAGE",0.0328347259367134,0.00586632943177021,5.59715002687895,2.17904132728998e-08
"data$gamemodeSECURE_AREA",0.0050272851636696,0.00366201962551248,1.37281764648273,0.169809043429727
"data$operatorBOPE-CAVEIRA",0.292135729444827,0.0272985367601161,10.7015160560417,1.00126446326855e-26
"data$operatorG.E.O.-JACKAL",0.0577011126763064,0.0169578628089004,3.40261702353328,0.000667437654036054
"data$operatorG.E.O.-MIRA",0.259222716637638,0.0297160999831762,8.72330880513922,2.70188119979885e-18
"data$operatorGIGN-DOC",0.229587728819457,0.0280338711644309,8.18965484548403,2.61976378523494e-16
"data$operatorGIGN-MONTAGNE",2.321953446097e-05,0.0350505457372918,0.000662458571544172,0.999471434572254
"data$operatorGIGN-RESERVE",0.0102090077685436,0.0388143606904049,0.263021407204764,0.792534079304872
"data$operatorGIGN-ROOK",0.371216238379612,0.0279321537434377,13.289925359473,2.64842272127197e-40
"data$operatorGIGN-TWITCH",0.0638442223707195,0.0135588700107526,4.70866837133842,2.49340356215314e-06
"data$operatorGSG9-BANDIT",0.287474710664031,0.0274107561002921,10.4876607420898,9.84352647991771e-26
"data$operatorGSG9-BLITZ",0.0261519547921643,0.036961557651291,0.707544715482273,0.479228034967242
"data$operatorGSG9-IQ",0.0237583819620712,0.0164500903193746,1.44427060890292,0.148662869890581
"data$operatorGSG9-JAGER",0.262391662298956,0.0268433545095927,9.77492072405438,1.4427023010608e-22
"data$operatorGSG9-RESERVE",0.0639860517798533,0.0253748430299185,2.52163340298933,0.0116811373954174
"data$operatorJTF2-BUCK",0.0388934928719929,0.0156383895561729,2.48705231010444,0.0128806457935226
"data$operatorJTF2-FROST",0.368627429147272,0.0277225419214625,13.2970284684423,2.40851602544607e-40
"data$operatorNAVYSEAL-BLACKBEARD",0.0264083355897268,0.0163168915601113,1.6184660842072,0.105562190267204
"data$operatorNAVYSEAL-VALKYRIE",0.278454761232655,0.0274944531400305,10.1276704728213,4.16452579269366e-24
"data$operatorSAS-MUTE",0.289390189406115,0.0274530553135892,10.5412744082757,5.57383962828339e-26
"data$operatorSAS-RESERVE",-0.0268826751020057,0.0300598764378542,-0.894304244981945,0.371159129342415
"data$operatorSAS-SLEDGE",0.00466755522371331,0.0177391577519249,0.263121580459863,0.792456871034584
"data$operatorSAS-SMOKE",0.213357988717887,0.0299401627591231,7.12614658892841,1.03217789849237e-12
"data$operatorSAS-THATCHER",0.00871148516918657,0.0149119656474447,0.584194289012418,0.559089603399955
"data$operatorSAT-ECHO",0.223213761087974,0.0316977867556374,7.04193522433475,1.89587967568267e-12
"data$operatorSAT-HIBANA",-0.00402880139823239,0.0178472784423008,-0.225737577371097,0.821405529821187
"data$operatorSPETSNAZ-FUZE",0.0258480603407182,0.0139816023182772,1.84871946378626,0.0644983316906479
"data$operatorSPETSNAZ-GLAZ",0.0569968146950585,0.0201111626733124,2.83408849209368,0.00459566040065123
"data$operatorSPETSNAZ-KAPKAN",0.233020496373343,0.028338426191223,8.22277478646695,1.98848027527166e-16
"data$operatorSPETSNAZ-RESERVE",-0.0471586969674667,0.0387132856048991,-1.21815279252606,0.223165915206852
"data$operatorSPETSNAZ-TACHANKA",0.171575962775414,0.0348371292550522,4.92508901980008,8.43219579340672e-07
"data$operatorSWAT-ASH",0.0499886850928689,0.0131763674324231,3.79381383748163,0.000148350916423957
"data$operatorSWAT-CASTLE",0.244905880928386,0.0282388303557964,8.67266376980504,4.22127023250067e-18
"data$operatorSWAT-PULSE",0.235429293855917,0.0276691933444217,8.50871548459441,1.75870803195002e-17
"data$operatorSWAT-RESERVE",-0.0241437050423245,0.0346788638578465,-0.696208074788519,0.486298531530324
"data$operatorSWAT-THERMITE",0.0136551368303831,0.0137913199865673,0.990125444386986,0.322112808033496
"data$skillrankCopper",-0.0529963181535763,0.00596762676022441,-8.88063551608302,6.64794489349839e-19
"data$skillrankDiamond",0.22605099465422,0.018803951322395,12.021462445768,2.74077190435649e-33
"data$skillrankGold",0.0387274014599555,0.00490437088193716,7.89650750162245,2.86827003096815e-15
"data$skillrankPlatinum",0.0590116474882047,0.00605777171641682,9.74147760112529,2.0061577420025e-22
"data$skillrankSilver",0.00745343066900153,0.00537281988445475,1.38724744720489,0.165366321917206
"data$skillrankUnranked",-0.188282846715828,0.00685976052129804,-27.4474372875338,7.45460115428126e-166
"data$roleDefender",-0.202960293658228,0.0235545657733768,-8.6166009431441,6.89709929276907e-18
"data$primaryweapontypeLight_Machine_Guns",-0.0294686116988575,0.0165285828828127,-1.78288797701469,0.0746045406096959
"data$primaryweapontypeMarksman_Rifles",-0.0631489561747432,0.013704517901985,-4.60789329667674,4.06769301426747e-06
"data$primaryweapontypeShield",-0.0446274049980096,0.0313678586163478,-1.42271123903725,0.154819881187459
"data$primaryweapontypeShotguns",-0.0562559518999217,0.0114921034417808,-4.89518321732093,9.82141820577161e-07
"data$primaryweapontypeSubmachine_Guns",-0.0290387989392313,0.0116828657167605,-2.48558869401122,0.01293373532275
"data$secondaryweapontypeShotguns",-0.00454931475125007,0.0129446314479099,-0.351444131071388,0.725255179389968
"data$secondaryweapontypeSubmachine_Guns",0.0414353649794877,0.0128302873787832,3.22949625025603,0.00124008507555263
