"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",-0.0641068409282271,0.0133879117056144,-4.78841228847836,1.68106008331664e-06
"data$gamemodeHOSTAGE",0.033528899248011,0.00587357712849145,5.70842921009237,1.14023583523715e-08
"data$gamemodeSECURE_AREA",0.00376843618153269,0.00368987430415539,1.02129120693592,0.307116491153167
"data$operatorBOPE-CAVEIRA",0.189912351514005,0.0279396100418293,6.79724417161446,1.06639278802855e-11
"data$operatorG.E.O.-JACKAL",0.0564604330070208,0.0174511868175145,3.23533485701703,0.00121500147191395
"data$operatorG.E.O.-MIRA",0.213743332864789,0.0298445857705871,7.16187969596284,7.95782459409597e-13
"data$operatorGIGN-DOC",0.167812922898734,0.0286112864653336,5.86527009549402,4.48402174832699e-09
"data$operatorGIGN-MONTAGNE",-0.0299183523386961,0.0344294933096259,-0.868974517563739,0.384861068905322
"data$operatorGIGN-RESERVE",-0.0680663178788779,0.0385689407878246,-1.76479614136474,0.0775980334001177
"data$operatorGIGN-ROOK",0.269638495520804,0.0285637432462521,9.43988654414835,3.73183258557791e-21
"data$operatorGIGN-TWITCH",0.0705060606149795,0.014320470612615,4.9234457806764,8.50334445894964e-07
"data$operatorGSG9-BANDIT",0.185080386895326,0.0280104694409673,6.60754320042322,3.9075017999477e-11
"data$operatorGSG9-BLITZ",0.0219430675321305,0.0363356568628633,0.603899018942941,0.545910781103769
"data$operatorGSG9-IQ",0.0166606237698775,0.0177327367166855,0.939540468911419,0.347453324651732
"data$operatorGSG9-JAGER",0.159528554613118,0.0275090214551474,5.79913592612607,6.66574872663366e-09
"data$operatorGSG9-RESERVE",0.034405126103298,0.0261432529610411,1.31602314962751,0.18816627287168
"data$operatorJTF2-BUCK",0.00912728879739325,0.0165648046100343,0.551004917490202,0.581630303580181
"data$operatorJTF2-FROST",0.271956711743778,0.0283503261544072,9.59271897834944,8.57937426954821e-22
"data$operatorNAVYSEAL-BLACKBEARD",0.0119893213049447,0.0169406690539305,0.707724191221538,0.479116551597621
"data$operatorNAVYSEAL-VALKYRIE",0.178697561329727,0.0281572071817852,6.34642349917878,2.2037805390596e-10
"data$operatorSAS-MUTE",0.187500676639962,0.0282503411021891,6.63711195421401,3.1988868910699e-11
"data$operatorSAS-RESERVE",-0.094292863122022,0.0308595610817903,-3.05554777244264,0.00224649811201589
"data$operatorSAS-SLEDGE",-0.00589419871320206,0.0185470180283668,-0.317797648343641,0.750638434653585
"data$operatorSAS-SMOKE",0.0786173634710072,0.0305145596622906,2.57638859420152,0.00998383724774142
"data$operatorSAS-THATCHER",-0.0172615345686675,0.0163117627265772,-1.05822619284075,0.289952332555992
"data$operatorSAT-ECHO",0.158938890978301,0.0320735524043256,4.95545017822428,7.21630124031674e-07
"data$operatorSAT-HIBANA",-0.00362670743094045,0.0186930993032261,-0.194013168822922,0.846165570591566
"data$operatorSPETSNAZ-FUZE",0.0138113544622779,0.0153095637734109,0.902138994075388,0.366983036988183
"data$operatorSPETSNAZ-GLAZ",0.119789804367786,0.0196137685202332,6.10743438948068,1.01245410240197e-09
"data$operatorSPETSNAZ-KAPKAN",0.197877859151263,0.028822659120921,6.86535750643608,6.63249398073738e-12
"data$operatorSPETSNAZ-RESERVE",-0.0594722829789788,0.0395598622002398,-1.50334909353194,0.132749046512227
"data$operatorSPETSNAZ-TACHANKA",0.0406785137859366,0.0336323859510142,1.20950425120552,0.226469178827356
"data$operatorSWAT-ASH",0.0482520115765764,0.0139811948348502,3.45120800808105,0.000558083269851661
"data$operatorSWAT-CASTLE",0.130388164853335,0.0288458166396629,4.52017588831414,6.17882744047352e-06
"data$operatorSWAT-PULSE",0.129800675306759,0.028286884939779,4.58872285099954,4.45966049604799e-06
"data$operatorSWAT-RESERVE",0.0223353603108722,0.0350667592543427,0.636938251090486,0.524165065840113
"data$operatorSWAT-THERMITE",0.0183244654589597,0.0146699954773,1.24911186832434,0.211624160321161
"data$skillrankCopper",-0.0686670673894743,0.00598121841844951,-11.4804480601587,1.65421036460099e-30
"data$skillrankDiamond",0.270628091066142,0.0189172611362913,14.3058812328262,2.01074515124782e-46
"data$skillrankGold",0.034634026316581,0.00490630126322692,7.05909084225332,1.67595486987379e-12
"data$skillrankPlatinum",0.0527680280835063,0.00609621038574673,8.65587385351412,4.89149399819017e-18
"data$skillrankSilver",-0.000970545962564585,0.00536733993042442,-0.180824388830509,0.856505419147296
"data$skillrankUnranked",-0.181907571898426,0.00689842081028808,-26.3694513427095,3.07131751949305e-153
"data$roleDefender",0.0200608036724366,0.0239134753561048,0.838891184727584,0.401530375008023
"data$primaryweapontypeLight_Machine_Guns",-0.0334948723130378,0.0184245227629605,-1.81795060550354,0.0690716826507904
"data$primaryweapontypeMarksman_Rifles",-0.0376111018727795,0.014009838896931,-2.6846205833972,0.00726121847834613
"data$primaryweapontypeShield",0.00407941768197796,0.0309043982961327,0.132001200699269,0.894983342039488
"data$primaryweapontypeShotguns",-0.0392815657843066,0.0113698732498973,-3.45488159110845,0.000550534547211908
"data$primaryweapontypeSubmachine_Guns",-0.0378832464346571,0.0116034532957067,-3.26482517481878,0.00109531658310337
"data$secondaryweapontypeShotguns",-0.0288603336898369,0.0124774689455962,-2.31299583398465,0.020722868192436
"data$secondaryweapontypeSubmachine_Guns",0.0503020848827483,0.013112425563712,3.83621509524194,0.000124944988212645
