"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.0511178010878066,0.0122619707854955,4.1688079332462,3.0619687368841e-05
"data$gamemodeHOSTAGE",0.0343378985847197,0.00585055597582758,5.86916845622736,4.37986251962554e-09
"data$gamemodeSECURE_AREA",0.00383693305237075,0.00369688187388121,1.03788359576188,0.299324251568705
"data$operatorBOPE-CAVEIRA",0.203411545457917,0.0266438668431447,7.63446036776203,2.2676823325385e-14
"data$operatorG.E.O.-JACKAL",0.00677631414681703,0.0166444036384857,0.407122675825323,0.683917889606864
"data$operatorG.E.O.-MIRA",0.129443291426412,0.0291173633146781,4.44557050126719,8.76589265857952e-06
"data$operatorGIGN-DOC",0.119240431277847,0.0273834185489664,4.35447572276719,1.33385761150727e-05
"data$operatorGIGN-MONTAGNE",-0.0323577874088857,0.032768847222741,-0.98745577434991,0.323419253531796
"data$operatorGIGN-RESERVE",-0.0496087289608469,0.0371666494455485,-1.33476462637631,0.181953394357243
"data$operatorGIGN-ROOK",0.25268752989908,0.0272853909109765,9.26090928011691,2.02698584127359e-20
"data$operatorGIGN-TWITCH",0.0376038558625129,0.0131020057080895,2.87008391694528,0.00410362876558021
"data$operatorGSG9-BANDIT",0.187085587499874,0.0267227629440277,7.00098219228811,2.54174253159716e-12
"data$operatorGSG9-BLITZ",0.0295661621623323,0.034527566419519,0.856305996289911,0.391828545399177
"data$operatorGSG9-IQ",-0.0133465736631395,0.0158560562677975,-0.841733495247836,0.399937144981308
"data$operatorGSG9-JAGER",0.146694761794682,0.0261940605388628,5.60030628229777,2.13973404335232e-08
"data$operatorGSG9-RESERVE",0.0212766852647737,0.0247443207292032,0.859861359607379,0.389865470703574
"data$operatorJTF2-BUCK",-0.0215830173207504,0.0151646729429201,-1.42324317853666,0.154665672568997
"data$operatorJTF2-FROST",0.290139394406539,0.0268946236182588,10.7880072435579,3.92201548306493e-27
"data$operatorNAVYSEAL-BLACKBEARD",-0.00931322351957631,0.0155498809097808,-0.598925713554394,0.549222423503393
"data$operatorNAVYSEAL-VALKYRIE",0.189635002295742,0.0267867822168386,7.07942449976445,1.44754337278173e-12
"data$operatorSAS-MUTE",0.194665001039431,0.0269571780604749,7.22126776781776,5.15051208931896e-13
"data$operatorSAS-RESERVE",-0.0872330627404384,0.0294422409180107,-2.96285404984494,0.00304801054086605
"data$operatorSAS-SLEDGE",-0.0489128863326912,0.0173176933498439,-2.82444580491039,0.00473624572405755
"data$operatorSAS-SMOKE",0.108676146600692,0.0293120447425216,3.70755938575109,0.000209266352449483
"data$operatorSAS-THATCHER",-0.0271764542466226,0.0149599023614097,-1.81661976061598,0.0692753555704897
"data$operatorSAT-ECHO",0.135395399788625,0.0309607006519177,4.37313745935005,1.22473553932123e-05
"data$operatorSAT-HIBANA",-0.0538997490145504,0.0175770779378369,-3.06647949136781,0.00216595666429642
"data$operatorSPETSNAZ-FUZE",-0.00377280828567475,0.0133080867763015,-0.283497421462055,0.776795557999142
"data$operatorSPETSNAZ-GLAZ",0.0114682566998191,0.0200418820762095,0.572214558304,0.567176625791963
"data$operatorSPETSNAZ-KAPKAN",0.148300647118805,0.0276080569353557,5.3716437729048,7.80221243465263e-08
"data$operatorSPETSNAZ-RESERVE",-0.0535762545848707,0.0375944416625187,-1.42511105939061,0.154125100266477
"data$operatorSPETSNAZ-TACHANKA",-0.00323872539588388,0.0350983514192332,-0.0922757128162185,0.926478984392436
"data$operatorSWAT-ASH",0.00980987822691216,0.0127354622704306,0.770280498548442,0.441133521858334
"data$operatorSWAT-CASTLE",0.103148241606308,0.0275103730390665,3.74943085867397,0.000177236352533624
"data$operatorSWAT-PULSE",0.148926993703167,0.0269323017955486,5.52967937288533,3.20816611969401e-08
"data$operatorSWAT-RESERVE",-0.0960288004183341,0.033850546944897,-2.83684634622457,0.00455615326506754
"data$operatorSWAT-THERMITE",-0.00900940915364204,0.0135411318158318,-0.66533649300338,0.505835294414714
"data$skillrankCopper",-0.0434863591736718,0.00596959444097079,-7.28464213166883,3.22525289855308e-13
"data$skillrankDiamond",0.277330332830306,0.0190293578175744,14.5738146020976,4.12215741938365e-48
"data$skillrankGold",0.0393759092336816,0.0048868580638172,8.05751031019806,7.7864027612257e-16
"data$skillrankPlatinum",0.0619858775064789,0.00609582489171437,10.1685790861106,2.73874635971369e-24
"data$skillrankSilver",0.0102016210318378,0.00535077363078108,1.90656935534546,0.0565763765665885
"data$skillrankUnranked",-0.173035858537702,0.00686332370121104,-25.2116709149489,2.98342622415226e-140
"data$roleDefender",-0.166274875859341,0.0230401495505816,-7.21674464370584,5.32468282516237e-13
"data$primaryweapontypeLight_Machine_Guns",-0.0258844918937357,0.0159329893646449,-1.62458477196835,0.104251064034527
"data$primaryweapontypeMarksman_Rifles",-0.0410226543072138,0.0138275660299379,-2.96672995221258,0.00300985192773108
"data$primaryweapontypeShield",-0.0532234084753106,0.0288301907878389,-1.84609976628255,0.0648777207908177
"data$primaryweapontypeShotguns",-0.0890729062753508,0.0112398576577558,-7.92473614769387,2.28631271116723e-15
"data$primaryweapontypeSubmachine_Guns",-0.0449404489813527,0.0114387104249455,-3.9288037997139,8.53694534919349e-05
"data$secondaryweapontypeShotguns",0.0147006415677108,0.0129783702235808,1.13270320652441,0.257338910667119
"data$secondaryweapontypeSubmachine_Guns",0.0514112672601148,0.0127623074552094,4.02836771019254,5.61654501257367e-05
