"","Estimate","Std..Error","z.value","Pr...z.."
"(Intercept)",0.0495280027127982,0.012695760267562,3.90114508064109,9.5738749422688e-05
"data$gamemodeHOSTAGE",0.0352927438790466,0.00593428524751208,5.94726111183194,2.72666275722437e-09
"data$gamemodeSECURE_AREA",0.00492412389232257,0.00370966309525117,1.32737765287259,0.184383788211889
"data$operatorBOPE-CAVEIRA",0.223411306118172,0.0268039769951899,8.33500588954633,7.74943353936275e-17
"data$operatorG.E.O.-JACKAL",0.033036111797094,0.0167634110065876,1.97072730508794,0.0487550755797128
"data$operatorG.E.O.-MIRA",0.175457537322993,0.0292267287431125,6.00332452068694,1.93317682111609e-09
"data$operatorGIGN-DOC",0.151311814169134,0.0275380370692847,5.49464777712511,3.91490984094903e-08
"data$operatorGIGN-MONTAGNE",-0.0382514597234712,0.0351865838409009,-1.0871035362918,0.276991055197628
"data$operatorGIGN-RESERVE",-0.138719188585256,0.0376876025332203,-3.68076447587716,0.000232535724026698
"data$operatorGIGN-ROOK",0.276685069792849,0.0274652710352066,10.073997428905,7.19912330660286e-24
"data$operatorGIGN-TWITCH",0.0531509624588408,0.0134676743578165,3.94655833269331,7.92826126231394e-05
"data$operatorGSG9-BANDIT",0.196085050676539,0.0269111649157767,7.28638285597156,3.18387377154214e-13
"data$operatorGSG9-BLITZ",-0.0414845830607544,0.0368145317327581,-1.12685347628205,0.259804436338466
"data$operatorGSG9-IQ",0.0168176784295655,0.0163060289542017,1.03137793246908,0.302363625151698
"data$operatorGSG9-JAGER",0.166114368181388,0.0263707147163778,6.2991985605237,2.99188529522773e-10
"data$operatorGSG9-RESERVE",0.00477739394896561,0.0249059609134338,0.19181729087147,0.847885326307995
"data$operatorJTF2-BUCK",0.00688207711792391,0.0154074715588765,0.446671414685106,0.655112324045566
"data$operatorJTF2-FROST",0.28530780049215,0.0271877613996409,10.493979121647,9.20675310667002e-26
"data$operatorNAVYSEAL-BLACKBEARD",0.00322159318107124,0.0163261156964255,0.197327597144041,0.843571184501743
"data$operatorNAVYSEAL-VALKYRIE",0.188477056610096,0.0270791710512444,6.96022253611176,3.3973565163666e-12
"data$operatorSAS-MUTE",0.170964117135943,0.027208251238323,6.28353934394499,3.30950403992976e-10
"data$operatorSAS-RESERVE",-0.0775278371185208,0.0293508428940537,-2.6414177404843,0.00825598529755812
"data$operatorSAS-SLEDGE",-0.0137555589124822,0.0176677983542089,-0.778566668959364,0.436235019739861
"data$operatorSAS-SMOKE",0.116286225431617,0.029570031459942,3.93257023040871,8.40424146171579e-05
"data$operatorSAS-THATCHER",-0.0147046930824967,0.0151389690513635,-0.971314032851684,0.331391922919129
"data$operatorSAT-ECHO",0.179915233306626,0.0312794510024101,5.75186672210977,8.82633722321356e-09
"data$operatorSAT-HIBANA",-0.00810728450229604,0.0178278155117906,-0.454754790172368,0.649285658604881
"data$operatorSPETSNAZ-FUZE",0.0300447573600746,0.0142350063920921,2.11062478881395,0.0348045752543321
"data$operatorSPETSNAZ-GLAZ",0.051229683821282,0.0206629262034532,2.4793043984603,0.0131638909557869
"data$operatorSPETSNAZ-KAPKAN",0.153715589771619,0.0278505770357889,5.51929640718356,3.40359671686325e-08
"data$operatorSPETSNAZ-RESERVE",-0.0677022604065343,0.0381919806567618,-1.77268262190921,0.0762813122974963
"data$operatorSPETSNAZ-TACHANKA",0.0378459701423864,0.0348607073400927,1.08563402839679,0.277640938593848
"data$operatorSWAT-ASH",0.0262170870857955,0.0131605566911518,1.99209560059279,0.0463605695833214
"data$operatorSWAT-CASTLE",0.13443523684401,0.0278436337378891,4.82822170804069,1.37757675375948e-06
"data$operatorSWAT-PULSE",0.153722351217948,0.0272698046103043,5.63709030609857,1.72947429709618e-08
"data$operatorSWAT-RESERVE",0.00654303356072234,0.0339651276240335,0.192639746069805,0.847241115039096
"data$operatorSWAT-THERMITE",0.00568766017199394,0.0137263472383721,0.414360796300857,0.67860989544975
"data$skillrankCopper",-0.0371201517495765,0.00603526854743158,-6.15053853160746,7.72202949220751e-10
"data$skillrankDiamond",0.278448312147175,0.0190282647208771,14.6334054224961,1.71960121284e-48
"data$skillrankGold",0.0398866772298593,0.00493615104811485,8.08052201828231,6.44901118570117e-16
"data$skillrankPlatinum",0.0647989419766126,0.00612637731174599,10.577040668451,3.80795977529099e-26
"data$skillrankSilver",0.0064367671715364,0.00539266216804495,1.19361587486019,0.232628261296206
"data$skillrankUnranked",-0.171865211646385,0.00690053258391897,-24.9060792853729,6.39333561252454e-137
"data$roleDefender",-0.201557421069861,0.0229983509530622,-8.76399449165827,1.88451045093163e-18
"data$primaryweapontypeLight_Machine_Guns",-0.0430690492860841,0.0170463129719107,-2.52659031645461,0.0115175769944707
"data$primaryweapontypeMarksman_Rifles",-0.0643033819989242,0.0137601577563596,-4.67315732402886,2.966043897293e-06
"data$primaryweapontypeShield",-0.0301136140643771,0.031518456664012,-0.955427938156663,0.339361331164771
"data$primaryweapontypeShotguns",-0.0576904446885254,0.0112216468911408,-5.14099625912044,2.73285495642394e-07
"data$primaryweapontypeSubmachine_Guns",-0.0312210589284357,0.0113944940804779,-2.74001273842659,0.00614368031852315
"data$secondaryweapontypeShotguns",-0.00794048378896,0.0127049553138015,-0.624991083623427,0.531976910127251
"data$secondaryweapontypeSubmachine_Guns",0.0432165580492653,0.0127919871341356,3.37840849870318,0.000729066906812691
